t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223112656000000,600,RECORD,P01,S01,extensionGrip,62,212,418,246,358,RECORD_START,0,0,223112656000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112671000000,601,RECORD,P01,S01,extensionGrip,62,212,419,248,359,,0,0,223112671000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112671000000,602,RECORD,P01,S01,extensionGrip,62,214,417,247,358,,0,0,223112671000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112687000000,603,RECORD,P01,S01,extensionGrip,62,212,417,248,358,,0,0,223112687000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112687000000,604,RECORD,P01,S01,extensionGrip,62,208,418,248,360,,0,0,223112687000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112703000000,605,RECORD,P01,S01,extensionGrip,62,214,420,248,360,,0,0,223112703000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112718000000,606,RECORD,P01,S01,extensionGrip,62,214,415,248,359,,0,0,223112718000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112718000000,607,RECORD,P01,S01,extensionGrip,62,209,418,248,361,,0,0,223112718000000,23.28,18.19,19.81,17.21,5.16,3.16,10.53,5.03,2.28,16.99,3.71,3.34,25.03,5.2,2.79,0
223112734000000,608,RECORD,P01,S01,extensionGrip,62,219,419,248,359,,0,0,223112734000000,23.32,17.81,17.49,17.08,5.04,3.05,10.09,4.74,2.11,17.06,3.67,3.26,25.1,5.12,2.69,0
223112750000000,609,RECORD,P01,S01,extensionGrip,62,214,421,248,359,,0,0,223112750000000,23.32,17.81,17.49,17.08,5.04,3.05,10.09,4.74,2.11,17.06,3.67,3.26,25.1,5.12,2.69,0
223112750000000,610,RECORD,P01,S01,extensionGrip,62,212,419,248,359,,0,0,223112750000000,23.32,17.81,17.49,17.08,5.04,3.05,10.09,4.74,2.11,17.06,3.67,3.26,25.1,5.12,2.69,0
223112765000000,611,RECORD,P01,S01,extensionGrip,62,217,419,247,358,,0,0,223112765000000,23.32,17.81,17.49,17.08,5.04,3.05,10.09,4.74,2.11,17.06,3.67,3.26,25.1,5.12,2.69,0
223112781000000,612,RECORD,P01,S01,extensionGrip,62,215,419,249,359,,0,0,223112781000000,23.59,17.89,17.29,17.3,5.15,3.16,10.36,4.95,2.18,17.22,3.89,3.17,25.46,5.15,2.65,0
223112781000000,613,RECORD,P01,S01,extensionGrip,62,214,420,248,359,,0,0,223112781000000,23.59,17.89,17.29,17.3,5.15,3.16,10.36,4.95,2.18,17.22,3.89,3.17,25.46,5.15,2.65,0
223112796000000,614,RECORD,P01,S01,extensionGrip,62,214,421,248,359,,0,0,223112796000000,23.59,17.89,17.29,17.3,5.15,3.16,10.36,4.95,2.18,17.22,3.89,3.17,25.46,5.15,2.65,0
223112796000000,615,RECORD,P01,S01,extensionGrip,62,215,422,248,359,,0,0,223112796000000,23.59,17.89,17.29,17.3,5.15,3.16,10.36,4.95,2.18,17.22,3.89,3.17,25.46,5.15,2.65,0
223112812000000,616,RECORD,P01,S01,extensionGrip,62,213,421,248,360,,0,0,223112812000000,23.59,17.89,17.29,17.3,5.15,3.16,10.36,4.95,2.18,17.22,3.89,3.17,25.46,5.15,2.65,0
223112828000000,617,RECORD,P01,S01,extensionGrip,62,212,419,249,361,,0,0,223112828000000,23.12,18.07,18.08,17.47,5.32,3.18,10.47,5.2,2.3,17.5,4.22,3.42,25.82,5.51,2.69,0
223112828000000,618,RECORD,P01,S01,extensionGrip,62,213,420,247,360,,0,0,223112828000000,23.12,18.07,18.08,17.47,5.32,3.18,10.47,5.2,2.3,17.5,4.22,3.42,25.82,5.51,2.69,0
223112843000000,619,RECORD,P01,S01,extensionGrip,62,213,421,246,361,,0,0,223112843000000,23.12,18.07,18.08,17.47,5.32,3.18,10.47,5.2,2.3,17.5,4.22,3.42,25.82,5.51,2.69,0
223112859000000,620,RECORD,P01,S01,extensionGrip,62,212,423,250,364,,0,0,223112859000000,23.12,18.07,18.08,17.47,5.32,3.18,10.47,5.2,2.3,17.5,4.22,3.42,25.82,5.51,2.69,0
