t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223245656000000,600,RECORD,P01,S01,fingerSpread,69,785,929,419,583,RECORD_START,0,0,223245656000000,6.33,4.98,18.51,3.74,3.46,3.64,3.48,3.61,2.79,3.47,7.1,3.47,6.68,8.27,4.45,0
223245671000000,601,RECORD,P01,S01,fingerSpread,69,785,930,420,585,,0,0,223245671000000,6.33,4.98,18.51,3.74,3.46,3.64,3.48,3.61,2.79,3.47,7.1,3.47,6.68,8.27,4.45,0
223245671000000,602,RECORD,P01,S01,fingerSpread,69,785,930,422,585,,0,0,223245671000000,6.33,4.98,18.51,3.74,3.46,3.64,3.48,3.61,2.79,3.47,7.1,3.47,6.68,8.27,4.45,0
223245687000000,603,RECORD,P01,S01,fingerSpread,69,785,927,419,585,,0,0,223245687000000,6.31,4.58,18.57,3.86,3.52,3.51,3.82,3.32,2.94,3.53,6.58,3.22,6.44,7.85,4.8,0
223245703000000,604,RECORD,P01,S01,fingerSpread,69,786,931,421,585,,0,0,223245703000000,6.31,4.58,18.57,3.86,3.52,3.51,3.82,3.32,2.94,3.53,6.58,3.22,6.44,7.85,4.8,0
223245703000000,605,RECORD,P01,S01,fingerSpread,69,786,931,420,585,,0,0,223245703000000,6.31,4.58,18.57,3.86,3.52,3.51,3.82,3.32,2.94,3.53,6.58,3.22,6.44,7.85,4.8,0
223245718000000,606,RECORD,P01,S01,fingerSpread,69,788,935,419,582,,0,0,223245718000000,6.31,4.58,18.57,3.86,3.52,3.51,3.82,3.32,2.94,3.53,6.58,3.22,6.44,7.85,4.8,0
223245718000000,607,RECORD,P01,S01,fingerSpread,69,787,930,421,582,,0,0,223245718000000,6.31,4.58,18.57,3.86,3.52,3.51,3.82,3.32,2.94,3.53,6.58,3.22,6.44,7.85,4.8,0
223245734000000,608,RECORD,P01,S01,fingerSpread,69,788,929,420,585,,0,0,223245734000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245750000000,609,RECORD,P01,S01,fingerSpread,69,788,931,418,584,,0,0,223245750000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245750000000,610,RECORD,P01,S01,fingerSpread,69,786,930,420,584,,0,0,223245750000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245765000000,611,RECORD,P01,S01,fingerSpread,69,785,929,418,584,,0,0,223245765000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245781000000,612,RECORD,P01,S01,fingerSpread,69,786,928,423,585,,0,0,223245781000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245781000000,613,RECORD,P01,S01,fingerSpread,69,785,929,419,585,,0,0,223245781000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245796000000,614,RECORD,P01,S01,fingerSpread,69,785,928,418,584,,0,0,223245796000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245812000000,615,RECORD,P01,S01,fingerSpread,69,785,928,417,583,,0,0,223245812000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
223245812000000,616,RECORD,P01,S01,fingerSpread,69,784,928,413,582,,0,0,223245812000000,6.42,5.24,17.61,4.14,3.4,3.71,3.93,3.39,3.03,3.89,6.52,3.01,7.14,7.82,4.35,0
