t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223169656000000,600,RECORD,P01,S01,handOpen,65,672,834,394,578,RECORD_START,0,0,223169656000000,22.32,17.13,9.69,11.78,3.12,3.9,8.64,3.58,2.29,15.89,4.2,4.39,23.77,7.37,5.14,0
223169671000000,601,RECORD,P01,S01,handOpen,65,674,830,391,578,,0,0,223169671000000,22.32,17.13,9.69,11.78,3.12,3.9,8.64,3.58,2.29,15.89,4.2,4.39,23.77,7.37,5.14,0
223169671000000,602,RECORD,P01,S01,handOpen,65,673,832,392,572,,0,0,223169671000000,22.32,17.13,9.69,11.78,3.12,3.9,8.64,3.58,2.29,15.89,4.2,4.39,23.77,7.37,5.14,0
223169687000000,603,RECORD,P01,S01,handOpen,65,671,826,392,573,,0,0,223169687000000,21.89,17.11,11.92,11.38,3.17,4.2,8.94,4.03,2.47,16.52,4.82,4.89,24.25,7.87,5.46,0
223169687000000,604,RECORD,P01,S01,handOpen,65,671,823,392,570,,0,0,223169687000000,21.89,17.11,11.92,11.38,3.17,4.2,8.94,4.03,2.47,16.52,4.82,4.89,24.25,7.87,5.46,0
223169703000000,605,RECORD,P01,S01,handOpen,65,675,824,392,569,,0,0,223169703000000,21.89,17.11,11.92,11.38,3.17,4.2,8.94,4.03,2.47,16.52,4.82,4.89,24.25,7.87,5.46,0
223169718000000,606,RECORD,P01,S01,handOpen,65,672,824,394,568,,0,0,223169718000000,21.89,17.11,11.92,11.38,3.17,4.2,8.94,4.03,2.47,16.52,4.82,4.89,24.25,7.87,5.46,0
223169718000000,607,RECORD,P01,S01,handOpen,65,674,827,393,569,,0,0,223169718000000,21.89,17.11,11.92,11.38,3.17,4.2,8.94,4.03,2.47,16.52,4.82,4.89,24.25,7.87,5.46,0
223169734000000,608,RECORD,P01,S01,handOpen,65,674,825,392,570,,0,0,223169734000000,20.56,18.0,13.02,11.25,3.2,4.08,7.96,3.83,2.57,16.02,4.8,4.89,23.63,7.9,5.49,0
223169750000000,609,RECORD,P01,S01,handOpen,65,678,826,393,570,,0,0,223169750000000,20.56,18.0,13.02,11.25,3.2,4.08,7.96,3.83,2.57,16.02,4.8,4.89,23.63,7.9,5.49,0
223169750000000,610,RECORD,P01,S01,handOpen,65,674,822,393,570,,0,0,223169750000000,20.56,18.0,13.02,11.25,3.2,4.08,7.96,3.83,2.57,16.02,4.8,4.89,23.63,7.9,5.49,0
223169765000000,611,RECORD,P01,S01,handOpen,65,674,822,388,570,,0,0,223169765000000,20.56,18.0,13.02,11.25,3.2,4.08,7.96,3.83,2.57,16.02,4.8,4.89,23.63,7.9,5.49,0
223169781000000,612,RECORD,P01,S01,handOpen,65,676,820,389,568,,0,0,223169781000000,17.62,16.0,9.86,8.63,2.95,4.14,8.25,4.05,2.43,16.77,4.91,4.54,23.31,7.87,5.93,0
223169781000000,613,RECORD,P01,S01,handOpen,65,673,813,392,566,,0,0,223169781000000,17.62,16.0,9.86,8.63,2.95,4.14,8.25,4.05,2.43,16.77,4.91,4.54,23.31,7.87,5.93,0
223169796000000,614,RECORD,P01,S01,handOpen,65,674,811,392,558,,0,0,223169796000000,17.62,16.0,9.86,8.63,2.95,4.14,8.25,4.05,2.43,16.77,4.91,4.54,23.31,7.87,5.93,0
223169796000000,615,RECORD,P01,S01,handOpen,65,674,811,390,559,,0,0,223169796000000,17.62,16.0,9.86,8.63,2.95,4.14,8.25,4.05,2.43,16.77,4.91,4.54,23.31,7.87,5.93,0
