t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222257500000000,601,RECORD,P01,S01,indexDipIso,17,644,647,267,457,RECORD_START,1,0,222257500000000,18.83,17.31,17.49,14.68,5.18,4.72,9.68,5.34,2.22,12.96,4.29,3.26,21.86,5.63,4.17,0
222257515000000,602,RECORD,P01,S01,indexDipIso,17,645,648,268,457,,1,0,222257515000000,18.83,17.31,17.49,14.68,5.18,4.72,9.68,5.34,2.22,12.96,4.29,3.26,21.86,5.63,4.17,0
222257531000000,603,RECORD,P01,S01,indexDipIso,17,643,647,268,457,,1,0,222257531000000,19.23,17.2,16.97,14.11,5.73,5.1,9.94,5.44,2.27,13.54,4.31,3.22,22.33,5.77,4.02,0
222257531000000,604,RECORD,P01,S01,indexDipIso,17,643,647,267,457,,1,0,222257531000000,19.23,17.2,16.97,14.11,5.73,5.1,9.94,5.44,2.27,13.54,4.31,3.22,22.33,5.77,4.02,0
222257546000000,605,RECORD,P01,S01,indexDipIso,17,643,647,268,458,,1,0,222257546000000,19.23,17.2,16.97,14.11,5.73,5.1,9.94,5.44,2.27,13.54,4.31,3.22,22.33,5.77,4.02,0
222257562000000,606,RECORD,P01,S01,indexDipIso,17,645,652,269,459,,0,0,222257562000000,19.23,17.2,16.97,14.11,5.73,5.1,9.94,5.44,2.27,13.54,4.31,3.22,22.33,5.77,4.02,0
222257562000000,607,RECORD,P01,S01,indexDipIso,17,647,653,270,459,,0,0,222257562000000,19.23,17.2,16.97,14.11,5.73,5.1,9.94,5.44,2.27,13.54,4.31,3.22,22.33,5.77,4.02,0
222257578000000,608,RECORD,P01,S01,indexDipIso,17,647,653,269,458,,0,0,222257578000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257593000000,609,RECORD,P01,S01,indexDipIso,17,649,652,270,459,,0,0,222257593000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257593000000,610,RECORD,P01,S01,indexDipIso,17,649,653,270,459,,0,0,222257593000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257609000000,611,RECORD,P01,S01,indexDipIso,17,648,653,270,459,,0,0,222257609000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257609000000,612,RECORD,P01,S01,indexDipIso,17,646,652,270,459,,0,0,222257609000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257625000000,613,RECORD,P01,S01,indexDipIso,17,643,652,269,460,,0,0,222257625000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257640000000,614,RECORD,P01,S01,indexDipIso,17,642,653,270,459,,0,0,222257640000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257640000000,615,RECORD,P01,S01,indexDipIso,17,642,653,271,459,,0,0,222257640000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257656000000,616,RECORD,P01,S01,indexDipIso,17,642,652,271,459,,0,0,222257656000000,18.11,16.68,17.29,13.14,5.32,4.92,9.43,5.17,2.21,13.02,4.18,3.32,22.47,5.75,3.99,0
222257671000000,617,RECORD,P01,S01,indexDipIso,17,643,651,273,458,,0,0,222257671000000,18.46,17.07,17.31,12.86,5.47,5.22,9.67,5.06,2.28,13.09,4.08,3.19,22.14,5.71,3.88,0
222257671000000,618,RECORD,P01,S01,indexDipIso,17,642,651,276,457,,0,0,222257671000000,18.46,17.07,17.31,12.86,5.47,5.22,9.67,5.06,2.28,13.09,4.08,3.19,22.14,5.71,3.88,0
222257687000000,619,RECORD,P01,S01,indexDipIso,17,642,651,276,457,,0,0,222257687000000,18.46,17.07,17.31,12.86,5.47,5.22,9.67,5.06,2.28,13.09,4.08,3.19,22.14,5.71,3.88,0
222257703000000,620,RECORD,P01,S01,indexDipIso,17,642,651,275,455,,0,0,222257703000000,18.46,17.07,17.31,12.86,5.47,5.22,9.67,5.06,2.28,13.09,4.08,3.19,22.14,5.71,3.88,0
