t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222143484000000,600,RECORD,P01,S01,indexMcpIso,11,262,496,211,330,RECORD_START,1,0,222143484000000,17.67,21.73,26.16,15.89,5.6,4.23,11.76,6.19,2.46,18.19,6.12,3.91,23.21,7.73,4.42,0
222143500000000,601,RECORD,P01,S01,indexMcpIso,11,259,495,211,330,,1,0,222143500000000,17.67,21.73,26.16,15.89,5.6,4.23,11.76,6.19,2.46,18.19,6.12,3.91,23.21,7.73,4.42,0
222143500000000,602,RECORD,P01,S01,indexMcpIso,11,260,495,211,333,,1,0,222143500000000,17.67,21.73,26.16,15.89,5.6,4.23,11.76,6.19,2.46,18.19,6.12,3.91,23.21,7.73,4.42,0
222143515000000,603,RECORD,P01,S01,indexMcpIso,11,259,495,211,329,,1,0,222143515000000,17.84,22.1,27.3,15.59,5.65,4.12,11.1,6.13,2.6,17.89,5.95,4.0,23.1,7.58,4.44,0
222143531000000,604,RECORD,P01,S01,indexMcpIso,11,261,495,211,330,,1,0,222143531000000,17.84,22.1,27.3,15.59,5.65,4.12,11.1,6.13,2.6,17.89,5.95,4.0,23.1,7.58,4.44,0
222143531000000,605,RECORD,P01,S01,indexMcpIso,11,260,495,211,331,,1,0,222143531000000,17.84,22.1,27.3,15.59,5.65,4.12,11.1,6.13,2.6,17.89,5.95,4.0,23.1,7.58,4.44,0
222143546000000,606,RECORD,P01,S01,indexMcpIso,11,260,495,211,329,,1,0,222143546000000,17.84,22.1,27.3,15.59,5.65,4.12,11.1,6.13,2.6,17.89,5.95,4.0,23.1,7.58,4.44,0
222143562000000,607,RECORD,P01,S01,indexMcpIso,11,260,498,212,333,,0,0,222143562000000,17.58,21.7,26.23,15.82,5.68,4.15,11.77,6.2,2.47,18.35,6.07,3.92,23.32,7.79,4.38,0
222143562000000,608,RECORD,P01,S01,indexMcpIso,11,261,497,211,332,,0,0,222143562000000,17.58,21.7,26.23,15.82,5.68,4.15,11.77,6.2,2.47,18.35,6.07,3.92,23.32,7.79,4.38,0
222143578000000,609,RECORD,P01,S01,indexMcpIso,11,260,496,211,333,,0,0,222143578000000,17.58,21.7,26.23,15.82,5.68,4.15,11.77,6.2,2.47,18.35,6.07,3.92,23.32,7.79,4.38,0
222143578000000,610,RECORD,P01,S01,indexMcpIso,11,258,496,211,332,,0,0,222143578000000,17.58,21.7,26.23,15.82,5.68,4.15,11.77,6.2,2.47,18.35,6.07,3.92,23.32,7.79,4.38,0
222143593000000,611,RECORD,P01,S01,indexMcpIso,11,255,497,208,330,,0,0,222143593000000,17.58,21.7,26.23,15.82,5.68,4.15,11.77,6.2,2.47,18.35,6.07,3.92,23.32,7.79,4.38,0
222143609000000,612,RECORD,P01,S01,indexMcpIso,11,254,497,210,330,,0,0,222143609000000,18.45,21.55,26.12,15.29,5.64,4.42,11.68,6.18,2.6,18.67,5.65,3.74,23.51,7.38,4.34,0
222143609000000,613,RECORD,P01,S01,indexMcpIso,11,254,496,210,329,,0,0,222143609000000,18.45,21.55,26.12,15.29,5.64,4.42,11.68,6.18,2.6,18.67,5.65,3.74,23.51,7.38,4.34,0
222143625000000,614,RECORD,P01,S01,indexMcpIso,11,254,494,210,330,,0,0,222143625000000,18.45,21.55,26.12,15.29,5.64,4.42,11.68,6.18,2.6,18.67,5.65,3.74,23.51,7.38,4.34,0
222143640000000,615,RECORD,P01,S01,indexMcpIso,11,259,496,210,329,,0,0,222143640000000,18.45,21.55,26.12,15.29,5.64,4.42,11.68,6.18,2.6,18.67,5.65,3.74,23.51,7.38,4.34,0
222143640000000,616,RECORD,P01,S01,indexMcpIso,11,255,496,210,329,,0,0,222143640000000,18.45,21.55,26.12,15.29,5.64,4.42,11.68,6.18,2.6,18.67,5.65,3.74,23.51,7.38,4.34,0
222143656000000,617,RECORD,P01,S01,indexMcpIso,11,252,495,210,331,,0,0,222143656000000,17.58,20.99,27.09,15.93,6.65,3.9,11.53,6.78,2.72,18.06,6.19,4.03,22.74,7.79,4.59,0
222143671000000,618,RECORD,P01,S01,indexMcpIso,11,253,496,212,327,,0,0,222143671000000,17.58,20.99,27.09,15.93,6.65,3.9,11.53,6.78,2.72,18.06,6.19,4.03,22.74,7.79,4.59,0
222143671000000,619,RECORD,P01,S01,indexMcpIso,11,253,496,211,328,,0,0,222143671000000,17.58,20.99,27.09,15.93,6.65,3.9,11.53,6.78,2.72,18.06,6.19,4.03,22.74,7.79,4.59,0
