t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223017656000000,600,RECORD,P01,S01,lateralGrip,57,701,435,374,430,RECORD_START,0,0,223017656000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017656000000,601,RECORD,P01,S01,lateralGrip,57,700,437,374,430,,0,0,223017656000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017671000000,602,RECORD,P01,S01,lateralGrip,57,700,437,373,430,,0,0,223017671000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017687000000,603,RECORD,P01,S01,lateralGrip,57,701,437,374,430,,0,0,223017687000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017687000000,604,RECORD,P01,S01,lateralGrip,57,702,434,374,430,,0,0,223017687000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017703000000,605,RECORD,P01,S01,lateralGrip,57,702,440,373,430,,0,0,223017703000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017718000000,606,RECORD,P01,S01,lateralGrip,57,701,437,373,430,,0,0,223017718000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017718000000,607,RECORD,P01,S01,lateralGrip,57,701,438,374,431,,0,0,223017718000000,33.07,27.07,8.33,30.42,127.17,34.25,37.65,118.86,42.32,48.56,116.85,39.89,56.32,107.69,49.09,0
223017734000000,608,RECORD,P01,S01,lateralGrip,57,701,437,374,430,,0,0,223017734000000,32.46,26.94,8.36,30.89,127.04,34.18,37.83,119.45,41.27,48.5,117.28,39.21,56.12,108.57,47.79,0
223017750000000,609,RECORD,P01,S01,lateralGrip,57,702,434,374,430,,0,0,223017750000000,32.46,26.94,8.36,30.89,127.04,34.18,37.83,119.45,41.27,48.5,117.28,39.21,56.12,108.57,47.79,0
