t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222447500000000,600,RECORD,P01,S01,middleDipIso,27,304,446,256,432,RECORD_START,1,0,222447500000000,30.06,26.97,26.81,22.69,6.76,2.6,16.29,7.22,1.91,22.35,4.64,4.76,27.83,4.53,4.29,0
222447515000000,601,RECORD,P01,S01,middleDipIso,27,303,447,256,431,,1,0,222447515000000,30.06,26.97,26.81,22.69,6.76,2.6,16.29,7.22,1.91,22.35,4.64,4.76,27.83,4.53,4.29,0
222447515000000,602,RECORD,P01,S01,middleDipIso,27,304,446,256,431,,1,0,222447515000000,30.06,26.97,26.81,22.69,6.76,2.6,16.29,7.22,1.91,22.35,4.64,4.76,27.83,4.53,4.29,0
222447531000000,603,RECORD,P01,S01,middleDipIso,27,303,446,256,431,,1,0,222447531000000,30.06,26.97,26.81,22.69,6.76,2.6,16.29,7.22,1.91,22.35,4.64,4.76,27.83,4.53,4.29,0
222447531000000,604,RECORD,P01,S01,middleDipIso,27,304,446,254,430,,1,0,222447531000000,30.06,26.97,26.81,22.69,6.76,2.6,16.29,7.22,1.91,22.35,4.64,4.76,27.83,4.53,4.29,0
222447546000000,605,RECORD,P01,S01,middleDipIso,27,303,448,255,430,,1,0,222447546000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447562000000,606,RECORD,P01,S01,middleDipIso,27,306,447,256,432,,0,0,222447562000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447562000000,607,RECORD,P01,S01,middleDipIso,27,305,447,251,431,,0,0,222447562000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447578000000,608,RECORD,P01,S01,middleDipIso,27,304,447,254,431,,0,0,222447578000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447593000000,609,RECORD,P01,S01,middleDipIso,27,304,446,255,430,,0,0,222447593000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447593000000,610,RECORD,P01,S01,middleDipIso,27,304,447,257,432,,0,0,222447593000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447609000000,611,RECORD,P01,S01,middleDipIso,27,310,448,261,430,,0,0,222447609000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447625000000,612,RECORD,P01,S01,middleDipIso,27,304,447,259,432,,0,0,222447625000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447625000000,613,RECORD,P01,S01,middleDipIso,27,304,448,259,432,,0,0,222447625000000,29.93,26.72,26.25,22.84,6.96,2.77,16.39,7.51,2.18,22.48,4.93,4.97,28.2,4.56,4.44,0
222447640000000,614,RECORD,P01,S01,middleDipIso,27,304,450,259,431,,0,0,222447640000000,29.32,27.09,26.15,22.07,6.93,2.68,15.91,7.2,1.74,21.79,4.81,4.59,27.37,4.63,4.11,0
222447656000000,615,RECORD,P01,S01,middleDipIso,27,304,450,259,433,,0,0,222447656000000,29.32,27.09,26.15,22.07,6.93,2.68,15.91,7.2,1.74,21.79,4.81,4.59,27.37,4.63,4.11,0
222447656000000,616,RECORD,P01,S01,middleDipIso,27,305,448,259,432,,0,0,222447656000000,29.32,27.09,26.15,22.07,6.93,2.68,15.91,7.2,1.74,21.79,4.81,4.59,27.37,4.63,4.11,0
222447671000000,617,RECORD,P01,S01,middleDipIso,27,305,451,257,432,,0,0,222447671000000,29.32,27.09,26.15,22.07,6.93,2.68,15.91,7.2,1.74,21.79,4.81,4.59,27.37,4.63,4.11,0
222447671000000,618,RECORD,P01,S01,middleDipIso,27,304,450,259,433,,0,0,222447671000000,29.32,27.09,26.15,22.07,6.93,2.68,15.91,7.2,1.74,21.79,4.81,4.59,27.37,4.63,4.11,0
222447687000000,619,RECORD,P01,S01,middleDipIso,27,305,449,260,435,,0,0,222447687000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447703000000,620,RECORD,P01,S01,middleDipIso,27,305,450,261,432,,0,0,222447703000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447703000000,621,RECORD,P01,S01,middleDipIso,27,306,449,260,432,,0,0,222447703000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447718000000,622,RECORD,P01,S01,middleDipIso,27,306,449,261,432,,0,0,222447718000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447734000000,623,RECORD,P01,S01,middleDipIso,27,297,451,260,432,,0,0,222447734000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447734000000,624,RECORD,P01,S01,middleDipIso,27,305,452,257,430,,0,0,222447734000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447750000000,625,RECORD,P01,S01,middleDipIso,27,307,451,261,432,,0,0,222447750000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447750000000,626,RECORD,P01,S01,middleDipIso,27,306,451,260,430,,0,0,222447750000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447765000000,627,RECORD,P01,S01,middleDipIso,27,305,451,261,431,,0,0,222447765000000,29.55,27.29,25.98,22.4,6.73,2.65,15.8,7.1,1.54,21.7,4.69,4.33,27.23,4.73,4.12,0
222447781000000,628,RECORD,P01,S01,middleDipIso,27,305,451,261,431,,0,0,222447781000000,29.42,27.11,25.0,21.74,6.37,2.57,15.41,6.66,1.49,21.61,4.11,4.42,26.96,4.69,4.46,0
222447796000000,629,RECORD,P01,S01,middleDipIso,27,305,452,260,430,,0,0,222447796000000,29.42,27.11,25.0,21.74,6.37,2.57,15.41,6.66,1.49,21.61,4.11,4.42,26.96,4.69,4.46,0
222447796000000,630,RECORD,P01,S01,middleDipIso,27,305,451,261,431,,0,0,222447796000000,29.42,27.11,25.0,21.74,6.37,2.57,15.41,6.66,1.49,21.61,4.11,4.42,26.96,4.69,4.46,0
222447812000000,631,RECORD,P01,S01,middleDipIso,27,305,450,260,430,,0,0,222447812000000,29.42,27.11,25.0,21.74,6.37,2.57,15.41,6.66,1.49,21.61,4.11,4.42,26.96,4.69,4.46,0
222447812000000,632,RECORD,P01,S01,middleDipIso,27,304,451,261,434,,0,0,222447812000000,29.42,27.11,25.0,21.74,6.37,2.57,15.41,6.66,1.49,21.61,4.11,4.42,26.96,4.69,4.46,0
222447828000000,633,RECORD,P01,S01,middleDipIso,27,305,448,260,431,,0,0,222447828000000,30.13,26.54,22.8,22.5,6.99,2.59,16.0,7.08,1.52,21.95,4.66,4.2,27.06,4.8,4.02,0
222447843000000,634,RECORD,P01,S01,middleDipIso,27,307,450,260,430,,0,0,222447843000000,30.13,26.54,22.8,22.5,6.99,2.59,16.0,7.08,1.52,21.95,4.66,4.2,27.06,4.8,4.02,0
222447843000000,635,RECORD,P01,S01,middleDipIso,27,307,450,261,430,,0,0,222447843000000,30.13,26.54,22.8,22.5,6.99,2.59,16.0,7.08,1.52,21.95,4.66,4.2,27.06,4.8,4.02,0
222447859000000,636,RECORD,P01,S01,middleDipIso,27,306,450,261,431,,0,0,222447859000000,30.13,26.54,22.8,22.5,6.99,2.59,16.0,7.08,1.52,21.95,4.66,4.2,27.06,4.8,4.02,0
222447875000000,637,RECORD,P01,S01,middleDipIso,27,307,451,257,431,,0,0,222447875000000,30.08,27.03,25.24,22.24,6.77,2.62,15.72,7.08,1.67,21.79,4.64,4.32,27.25,4.64,3.96,0
222447875000000,638,RECORD,P01,S01,middleDipIso,27,306,450,256,431,,0,0,222447875000000,30.08,27.03,25.24,22.24,6.77,2.62,15.72,7.08,1.67,21.79,4.64,4.32,27.25,4.64,3.96,0
222447890000000,639,RECORD,P01,S01,middleDipIso,27,306,450,261,432,,0,0,222447890000000,30.08,27.03,25.24,22.24,6.77,2.62,15.72,7.08,1.67,21.79,4.64,4.32,27.25,4.64,3.96,0
222447890000000,640,RECORD,P01,S01,middleDipIso,27,307,450,265,434,,0,0,222447890000000,30.08,27.03,25.24,22.24,6.77,2.62,15.72,7.08,1.67,21.79,4.64,4.32,27.25,4.64,3.96,0
222447906000000,641,RECORD,P01,S01,middleDipIso,27,309,450,261,431,,0,0,222447906000000,30.08,27.03,25.24,22.24,6.77,2.62,15.72,7.08,1.67,21.79,4.64,4.32,27.25,4.64,3.96,0
222447921000000,642,RECORD,P01,S01,middleDipIso,27,310,451,261,439,,0,0,222447921000000,29.56,27.16,25.88,21.95,6.37,2.58,15.62,6.82,1.61,21.73,4.39,4.49,27.07,4.68,4.16,0
222447921000000,643,RECORD,P01,S01,middleDipIso,27,312,452,262,443,,0,0,222447921000000,29.56,27.16,25.88,21.95,6.37,2.58,15.62,6.82,1.61,21.73,4.39,4.49,27.07,4.68,4.16,0
222447937000000,644,RECORD,P01,S01,middleDipIso,27,314,454,262,442,,0,0,222447937000000,29.56,27.16,25.88,21.95,6.37,2.58,15.62,6.82,1.61,21.73,4.39,4.49,27.07,4.68,4.16,0
222447953000000,645,RECORD,P01,S01,middleDipIso,27,314,455,263,446,,0,0,222447953000000,29.56,27.16,25.88,21.95,6.37,2.58,15.62,6.82,1.61,21.73,4.39,4.49,27.07,4.68,4.16,0
222447953000000,646,RECORD,P01,S01,middleDipIso,27,319,463,263,449,,0,0,222447953000000,29.56,27.16,25.88,21.95,6.37,2.58,15.62,6.82,1.61,21.73,4.39,4.49,27.07,4.68,4.16,0
222447968000000,647,RECORD,P01,S01,middleDipIso,27,325,462,264,452,,0,0,222447968000000,29.85,26.96,25.33,21.98,6.35,2.54,15.73,6.7,1.58,21.85,4.31,4.4,27.0,4.63,4.16,0
222447984000000,648,RECORD,P01,S01,middleDipIso,27,331,463,265,454,,0,0,222447984000000,29.85,26.96,25.33,21.98,6.35,2.54,15.73,6.7,1.58,21.85,4.31,4.4,27.0,4.63,4.16,0
