t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222333500000000,600,RECORD,P01,S01,middleMcpIso,21,560,545,288,432,RECORD_START,1,0,222333500000000,19.73,23.55,19.97,16.88,4.99,3.84,12.75,5.1,1.45,17.61,4.47,3.18,23.53,6.0,4.87,0
222333500000000,601,RECORD,P01,S01,middleMcpIso,21,558,557,287,432,,1,0,222333500000000,19.73,23.55,19.97,16.88,4.99,3.84,12.75,5.1,1.45,17.61,4.47,3.18,23.53,6.0,4.87,0
222333515000000,602,RECORD,P01,S01,middleMcpIso,21,561,557,287,433,,1,0,222333515000000,19.73,23.55,19.97,16.88,4.99,3.84,12.75,5.1,1.45,17.61,4.47,3.18,23.53,6.0,4.87,0
222333531000000,603,RECORD,P01,S01,middleMcpIso,21,564,556,286,434,,1,0,222333531000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333531000000,604,RECORD,P01,S01,middleMcpIso,21,563,559,288,432,,1,0,222333531000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333546000000,605,RECORD,P01,S01,middleMcpIso,21,564,556,290,432,,1,0,222333546000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333562000000,606,RECORD,P01,S01,middleMcpIso,21,573,562,289,433,,0,0,222333562000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333562000000,607,RECORD,P01,S01,middleMcpIso,21,566,563,288,436,,0,0,222333562000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333578000000,608,RECORD,P01,S01,middleMcpIso,21,565,562,289,436,,0,0,222333578000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333593000000,609,RECORD,P01,S01,middleMcpIso,21,567,560,288,437,,0,0,222333593000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333593000000,610,RECORD,P01,S01,middleMcpIso,21,567,562,290,437,,0,0,222333593000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333609000000,611,RECORD,P01,S01,middleMcpIso,21,565,561,289,441,,0,0,222333609000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333609000000,612,RECORD,P01,S01,middleMcpIso,21,567,561,291,437,,0,0,222333609000000,19.97,23.67,20.65,16.57,4.66,3.8,12.46,4.79,1.3,17.3,4.06,3.25,23.24,5.81,4.92,0
222333625000000,613,RECORD,P01,S01,middleMcpIso,21,566,560,289,437,,0,0,222333625000000,20.06,24.05,19.5,16.99,4.9,3.93,12.7,5.0,1.53,17.53,4.28,3.15,23.4,5.96,4.83,0
222333640000000,614,RECORD,P01,S01,middleMcpIso,21,567,559,290,436,,0,0,222333640000000,20.06,24.05,19.5,16.99,4.9,3.93,12.7,5.0,1.53,17.53,4.28,3.15,23.4,5.96,4.83,0
222333640000000,615,RECORD,P01,S01,middleMcpIso,21,567,561,289,437,,0,0,222333640000000,20.06,24.05,19.5,16.99,4.9,3.93,12.7,5.0,1.53,17.53,4.28,3.15,23.4,5.96,4.83,0
222333656000000,616,RECORD,P01,S01,middleMcpIso,21,562,562,290,433,,0,0,222333656000000,20.06,24.05,19.5,16.99,4.9,3.93,12.7,5.0,1.53,17.53,4.28,3.15,23.4,5.96,4.83,0
222333671000000,617,RECORD,P01,S01,middleMcpIso,21,567,560,288,437,,0,0,222333671000000,19.65,23.35,21.16,16.7,4.77,3.69,12.44,4.8,1.32,17.29,4.05,3.34,23.4,5.73,4.84,0
222333671000000,618,RECORD,P01,S01,middleMcpIso,21,567,560,289,437,,0,0,222333671000000,19.65,23.35,21.16,16.7,4.77,3.69,12.44,4.8,1.32,17.29,4.05,3.34,23.4,5.73,4.84,0
222333687000000,619,RECORD,P01,S01,middleMcpIso,21,568,559,289,437,,0,0,222333687000000,19.65,23.35,21.16,16.7,4.77,3.69,12.44,4.8,1.32,17.29,4.05,3.34,23.4,5.73,4.84,0
222333703000000,620,RECORD,P01,S01,middleMcpIso,21,567,559,290,437,,0,0,222333703000000,19.65,23.35,21.16,16.7,4.77,3.69,12.44,4.8,1.32,17.29,4.05,3.34,23.4,5.73,4.84,0
222333703000000,621,RECORD,P01,S01,middleMcpIso,21,566,556,287,438,,0,0,222333703000000,19.65,23.35,21.16,16.7,4.77,3.69,12.44,4.8,1.32,17.29,4.05,3.34,23.4,5.73,4.84,0
222333718000000,622,RECORD,P01,S01,middleMcpIso,21,564,559,289,436,,0,0,222333718000000,19.95,23.65,20.64,16.52,4.73,3.9,12.48,4.85,1.45,17.46,4.13,3.22,23.64,5.73,4.79,0
222333734000000,623,RECORD,P01,S01,middleMcpIso,21,568,558,288,437,,0,0,222333734000000,19.95,23.65,20.64,16.52,4.73,3.9,12.48,4.85,1.45,17.46,4.13,3.22,23.64,5.73,4.79,0
222333734000000,624,RECORD,P01,S01,middleMcpIso,21,568,557,289,438,,0,0,222333734000000,19.95,23.65,20.64,16.52,4.73,3.9,12.48,4.85,1.45,17.46,4.13,3.22,23.64,5.73,4.79,0
222333750000000,625,RECORD,P01,S01,middleMcpIso,21,568,559,290,436,,0,0,222333750000000,19.95,23.65,20.64,16.52,4.73,3.9,12.48,4.85,1.45,17.46,4.13,3.22,23.64,5.73,4.79,0
222333750000000,626,RECORD,P01,S01,middleMcpIso,21,568,558,284,438,,0,0,222333750000000,19.95,23.65,20.64,16.52,4.73,3.9,12.48,4.85,1.45,17.46,4.13,3.22,23.64,5.73,4.79,0
222333765000000,627,RECORD,P01,S01,middleMcpIso,21,569,559,288,438,,0,0,222333765000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333781000000,628,RECORD,P01,S01,middleMcpIso,21,565,561,288,437,,0,0,222333781000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333781000000,629,RECORD,P01,S01,middleMcpIso,21,570,562,295,439,,0,0,222333781000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333796000000,630,RECORD,P01,S01,middleMcpIso,21,568,561,298,441,,0,0,222333796000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333812000000,631,RECORD,P01,S01,middleMcpIso,21,562,562,301,437,,0,0,222333812000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333812000000,632,RECORD,P01,S01,middleMcpIso,21,569,564,301,436,,0,0,222333812000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333828000000,633,RECORD,P01,S01,middleMcpIso,21,568,564,297,437,,0,0,222333828000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
222333843000000,634,RECORD,P01,S01,middleMcpIso,21,568,561,306,439,,0,0,222333843000000,19.85,23.41,19.33,16.21,4.78,3.96,12.26,4.88,1.49,17.12,4.34,3.29,23.41,5.87,4.82,0
