t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222390500000000,600,RECORD,P01,S01,middlePipIso,24,408,477,303,498,RECORD_START,1,0,222390500000000,29.27,26.53,23.48,27.51,6.71,2.71,18.42,6.72,1.98,21.75,5.15,4.56,27.1,4.63,4.78,0
222390500000000,601,RECORD,P01,S01,middlePipIso,24,409,477,302,498,,1,0,222390500000000,29.27,26.53,23.48,27.51,6.71,2.71,18.42,6.72,1.98,21.75,5.15,4.56,27.1,4.63,4.78,0
222390515000000,602,RECORD,P01,S01,middlePipIso,24,410,478,303,497,,1,0,222390515000000,29.27,26.53,23.48,27.51,6.71,2.71,18.42,6.72,1.98,21.75,5.15,4.56,27.1,4.63,4.78,0
222390531000000,603,RECORD,P01,S01,middlePipIso,24,410,478,302,497,,1,0,222390531000000,29.37,25.95,21.1,27.23,6.72,3.07,18.16,6.63,1.98,21.73,5.13,4.8,27.16,4.56,4.84,0
222390531000000,604,RECORD,P01,S01,middlePipIso,24,411,480,303,498,,1,0,222390531000000,29.37,25.95,21.1,27.23,6.72,3.07,18.16,6.63,1.98,21.73,5.13,4.8,27.16,4.56,4.84,0
222390546000000,605,RECORD,P01,S01,middlePipIso,24,412,480,302,497,,1,0,222390546000000,29.37,25.95,21.1,27.23,6.72,3.07,18.16,6.63,1.98,21.73,5.13,4.8,27.16,4.56,4.84,0
222390562000000,606,RECORD,P01,S01,middlePipIso,24,413,481,305,499,,0,0,222390562000000,29.37,25.95,21.1,27.23,6.72,3.07,18.16,6.63,1.98,21.73,5.13,4.8,27.16,4.56,4.84,0
222390562000000,607,RECORD,P01,S01,middlePipIso,24,414,482,304,499,,0,0,222390562000000,29.37,25.95,21.1,27.23,6.72,3.07,18.16,6.63,1.98,21.73,5.13,4.8,27.16,4.56,4.84,0
222390578000000,608,RECORD,P01,S01,middlePipIso,24,414,482,304,499,,0,0,222390578000000,29.98,26.22,21.55,27.09,6.26,2.71,17.72,6.26,1.88,21.34,4.5,4.05,27.04,4.33,4.39,0
222390593000000,609,RECORD,P01,S01,middlePipIso,24,415,482,304,498,,0,0,222390593000000,29.98,26.22,21.55,27.09,6.26,2.71,17.72,6.26,1.88,21.34,4.5,4.05,27.04,4.33,4.39,0
222390593000000,610,RECORD,P01,S01,middlePipIso,24,414,482,303,496,,0,0,222390593000000,29.98,26.22,21.55,27.09,6.26,2.71,17.72,6.26,1.88,21.34,4.5,4.05,27.04,4.33,4.39,0
222390609000000,611,RECORD,P01,S01,middlePipIso,24,414,482,303,496,,0,0,222390609000000,29.98,26.22,21.55,27.09,6.26,2.71,17.72,6.26,1.88,21.34,4.5,4.05,27.04,4.33,4.39,0
222390625000000,612,RECORD,P01,S01,middlePipIso,24,415,482,303,495,,0,0,222390625000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390625000000,613,RECORD,P01,S01,middlePipIso,24,414,482,304,496,,0,0,222390625000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390640000000,614,RECORD,P01,S01,middlePipIso,24,414,481,303,496,,0,0,222390640000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390640000000,615,RECORD,P01,S01,middlePipIso,24,416,482,303,495,,0,0,222390640000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390656000000,616,RECORD,P01,S01,middlePipIso,24,415,482,302,495,,0,0,222390656000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390671000000,617,RECORD,P01,S01,middlePipIso,24,415,482,301,495,,0,0,222390671000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390671000000,618,RECORD,P01,S01,middlePipIso,24,414,482,302,495,,0,0,222390671000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390687000000,619,RECORD,P01,S01,middlePipIso,24,414,482,301,495,,0,0,222390687000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390703000000,620,RECORD,P01,S01,middlePipIso,24,414,482,301,495,,0,0,222390703000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390703000000,621,RECORD,P01,S01,middlePipIso,24,415,481,300,495,,0,0,222390703000000,29.17,25.65,22.07,26.69,6.42,2.97,17.56,6.35,2.02,21.52,4.93,4.73,27.38,4.37,4.75,0
222390718000000,622,RECORD,P01,S01,middlePipIso,24,414,481,298,495,,0,0,222390718000000,29.94,26.17,22.18,26.47,5.79,2.58,17.32,5.82,1.92,21.15,4.05,4.03,26.77,4.27,4.44,0
222390734000000,623,RECORD,P01,S01,middlePipIso,24,416,481,296,493,,0,0,222390734000000,29.94,26.17,22.18,26.47,5.79,2.58,17.32,5.82,1.92,21.15,4.05,4.03,26.77,4.27,4.44,0
222390734000000,624,RECORD,P01,S01,middlePipIso,24,415,482,296,492,,0,0,222390734000000,29.94,26.17,22.18,26.47,5.79,2.58,17.32,5.82,1.92,21.15,4.05,4.03,26.77,4.27,4.44,0
222390750000000,625,RECORD,P01,S01,middlePipIso,24,415,481,296,494,,0,0,222390750000000,29.94,26.17,22.18,26.47,5.79,2.58,17.32,5.82,1.92,21.15,4.05,4.03,26.77,4.27,4.44,0
222390750000000,626,RECORD,P01,S01,middlePipIso,24,415,481,295,494,,0,0,222390750000000,29.94,26.17,22.18,26.47,5.79,2.58,17.32,5.82,1.92,21.15,4.05,4.03,26.77,4.27,4.44,0
222390765000000,627,RECORD,P01,S01,middlePipIso,24,413,481,295,494,,0,0,222390765000000,29.86,25.39,22.22,26.65,6.73,2.88,17.92,6.62,1.88,21.93,5.07,4.61,27.26,4.41,4.56,0
222390781000000,628,RECORD,P01,S01,middlePipIso,24,413,481,295,494,,0,0,222390781000000,29.86,25.39,22.22,26.65,6.73,2.88,17.92,6.62,1.88,21.93,5.07,4.61,27.26,4.41,4.56,0
222390781000000,629,RECORD,P01,S01,middlePipIso,24,412,482,295,495,,0,0,222390781000000,29.86,25.39,22.22,26.65,6.73,2.88,17.92,6.62,1.88,21.93,5.07,4.61,27.26,4.41,4.56,0
222390796000000,630,RECORD,P01,S01,middlePipIso,24,411,481,295,495,,0,0,222390796000000,29.86,25.39,22.22,26.65,6.73,2.88,17.92,6.62,1.88,21.93,5.07,4.61,27.26,4.41,4.56,0
222390812000000,631,RECORD,P01,S01,middlePipIso,24,409,480,295,496,,0,0,222390812000000,28.8,26.62,23.16,26.19,5.64,2.73,16.86,5.86,1.92,20.69,4.36,4.27,26.62,4.23,4.35,0
222390812000000,632,RECORD,P01,S01,middlePipIso,24,411,482,295,495,,0,0,222390812000000,28.8,26.62,23.16,26.19,5.64,2.73,16.86,5.86,1.92,20.69,4.36,4.27,26.62,4.23,4.35,0
222390828000000,633,RECORD,P01,S01,middlePipIso,24,411,481,295,495,,0,0,222390828000000,28.8,26.62,23.16,26.19,5.64,2.73,16.86,5.86,1.92,20.69,4.36,4.27,26.62,4.23,4.35,0
222390843000000,634,RECORD,P01,S01,middlePipIso,24,412,481,294,495,,0,0,222390843000000,28.8,26.62,23.16,26.19,5.64,2.73,16.86,5.86,1.92,20.69,4.36,4.27,26.62,4.23,4.35,0
222390843000000,635,RECORD,P01,S01,middlePipIso,24,412,482,295,496,,0,0,222390843000000,28.8,26.62,23.16,26.19,5.64,2.73,16.86,5.86,1.92,20.69,4.36,4.27,26.62,4.23,4.35,0
222390859000000,636,RECORD,P01,S01,middlePipIso,24,411,481,295,495,,0,0,222390859000000,30.2,25.55,22.06,26.72,6.62,2.94,18.03,6.62,1.74,22.06,5.21,4.49,27.21,4.61,4.5,0
222390875000000,637,RECORD,P01,S01,middlePipIso,24,410,481,294,495,,0,0,222390875000000,30.2,25.55,22.06,26.72,6.62,2.94,18.03,6.62,1.74,22.06,5.21,4.49,27.21,4.61,4.5,0
222390875000000,638,RECORD,P01,S01,middlePipIso,24,410,482,295,495,,0,0,222390875000000,30.2,25.55,22.06,26.72,6.62,2.94,18.03,6.62,1.74,22.06,5.21,4.49,27.21,4.61,4.5,0
222390890000000,639,RECORD,P01,S01,middlePipIso,24,410,484,294,496,,0,0,222390890000000,30.2,25.55,22.06,26.72,6.62,2.94,18.03,6.62,1.74,22.06,5.21,4.49,27.21,4.61,4.5,0
222390890000000,640,RECORD,P01,S01,middlePipIso,24,412,483,294,495,,0,0,222390890000000,30.2,25.55,22.06,26.72,6.62,2.94,18.03,6.62,1.74,22.06,5.21,4.49,27.21,4.61,4.5,0
222390906000000,641,RECORD,P01,S01,middlePipIso,24,413,483,294,495,,0,0,222390906000000,29.42,26.74,23.27,26.9,6.08,2.72,17.53,6.22,1.71,21.26,4.42,3.9,26.78,4.3,4.26,0
222390921000000,642,RECORD,P01,S01,middlePipIso,24,413,483,294,496,,0,0,222390921000000,29.42,26.74,23.27,26.9,6.08,2.72,17.53,6.22,1.71,21.26,4.42,3.9,26.78,4.3,4.26,0
