t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222751593000000,604,RECORD,P01,S01,pinkyDipIso,43,343,347,269,399,RECORD_START,0,0,222751593000000,26.83,29.23,29.03,26.18,6.42,2.63,17.9,7.17,1.54,25.34,5.0,3.97,30.95,5.31,3.57,0
222751593000000,605,RECORD,P01,S01,pinkyDipIso,43,344,346,270,401,,0,0,222751593000000,26.83,29.23,29.03,26.18,6.42,2.63,17.9,7.17,1.54,25.34,5.0,3.97,30.95,5.31,3.57,0
222751609000000,606,RECORD,P01,S01,pinkyDipIso,43,343,343,270,400,,0,0,222751609000000,26.83,29.23,29.03,26.18,6.42,2.63,17.9,7.17,1.54,25.34,5.0,3.97,30.95,5.31,3.57,0
222751625000000,607,RECORD,P01,S01,pinkyDipIso,43,344,346,270,395,,0,0,222751625000000,26.83,29.23,29.03,26.18,6.42,2.63,17.9,7.17,1.54,25.34,5.0,3.97,30.95,5.31,3.57,0
222751625000000,608,RECORD,P01,S01,pinkyDipIso,43,344,348,271,401,,0,0,222751625000000,26.83,29.23,29.03,26.18,6.42,2.63,17.9,7.17,1.54,25.34,5.0,3.97,30.95,5.31,3.57,0
222751640000000,609,RECORD,P01,S01,pinkyDipIso,43,341,348,271,401,,0,0,222751640000000,27.33,28.71,29.81,26.18,6.97,2.49,19.0,7.72,1.68,26.09,5.37,4.38,31.22,5.5,4.07,0
222751656000000,610,RECORD,P01,S01,pinkyDipIso,43,339,347,272,402,,0,0,222751656000000,27.33,28.71,29.81,26.18,6.97,2.49,19.0,7.72,1.68,26.09,5.37,4.38,31.22,5.5,4.07,0
222751656000000,611,RECORD,P01,S01,pinkyDipIso,43,339,348,273,400,,0,0,222751656000000,27.33,28.71,29.81,26.18,6.97,2.49,19.0,7.72,1.68,26.09,5.37,4.38,31.22,5.5,4.07,0
222751671000000,612,RECORD,P01,S01,pinkyDipIso,43,338,348,269,403,,0,0,222751671000000,27.33,28.71,29.81,26.18,6.97,2.49,19.0,7.72,1.68,26.09,5.37,4.38,31.22,5.5,4.07,0
222751687000000,613,RECORD,P01,S01,pinkyDipIso,43,334,347,270,400,,0,0,222751687000000,27.04,28.97,30.42,26.38,6.88,2.4,18.87,7.62,1.49,26.16,5.22,4.3,31.22,5.62,4.33,0
222751687000000,614,RECORD,P01,S01,pinkyDipIso,43,334,346,272,401,,0,0,222751687000000,27.04,28.97,30.42,26.38,6.88,2.4,18.87,7.62,1.49,26.16,5.22,4.3,31.22,5.62,4.33,0
222751703000000,615,RECORD,P01,S01,pinkyDipIso,43,332,347,270,402,,0,0,222751703000000,27.04,28.97,30.42,26.38,6.88,2.4,18.87,7.62,1.49,26.16,5.22,4.3,31.22,5.62,4.33,0
222751703000000,616,RECORD,P01,S01,pinkyDipIso,43,334,347,270,400,,0,0,222751703000000,27.04,28.97,30.42,26.38,6.88,2.4,18.87,7.62,1.49,26.16,5.22,4.3,31.22,5.62,4.33,0
222751718000000,617,RECORD,P01,S01,pinkyDipIso,43,333,346,270,396,,0,0,222751718000000,27.04,28.97,30.42,26.38,6.88,2.4,18.87,7.62,1.49,26.16,5.22,4.3,31.22,5.62,4.33,0
222751734000000,618,RECORD,P01,S01,pinkyDipIso,43,335,346,268,400,,0,0,222751734000000,27.47,28.79,30.21,25.86,6.61,2.38,18.35,7.26,1.53,25.81,4.81,4.35,30.96,5.24,4.08,0
222751734000000,619,RECORD,P01,S01,pinkyDipIso,43,334,348,262,401,,0,0,222751734000000,27.47,28.79,30.21,25.86,6.61,2.38,18.35,7.26,1.53,25.81,4.81,4.35,30.96,5.24,4.08,0
222751750000000,620,RECORD,P01,S01,pinkyDipIso,43,333,346,257,400,,0,0,222751750000000,27.47,28.79,30.21,25.86,6.61,2.38,18.35,7.26,1.53,25.81,4.81,4.35,30.96,5.24,4.08,0
222751765000000,621,RECORD,P01,S01,pinkyDipIso,43,333,346,259,398,,0,0,222751765000000,27.47,28.79,30.21,25.86,6.61,2.38,18.35,7.26,1.53,25.81,4.81,4.35,30.96,5.24,4.08,0
222751765000000,622,RECORD,P01,S01,pinkyDipIso,43,333,346,259,394,,0,0,222751765000000,27.47,28.79,30.21,25.86,6.61,2.38,18.35,7.26,1.53,25.81,4.81,4.35,30.96,5.24,4.08,0
222751781000000,623,RECORD,P01,S01,pinkyDipIso,43,333,346,259,396,,0,0,222751781000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751796000000,624,RECORD,P01,S01,pinkyDipIso,43,332,347,259,396,,0,0,222751796000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751796000000,625,RECORD,P01,S01,pinkyDipIso,43,332,346,260,396,,0,0,222751796000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751812000000,626,RECORD,P01,S01,pinkyDipIso,43,334,346,265,395,,0,0,222751812000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751828000000,627,RECORD,P01,S01,pinkyDipIso,43,332,346,262,396,,0,0,222751828000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751828000000,628,RECORD,P01,S01,pinkyDipIso,43,334,346,261,394,,0,0,222751828000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751843000000,629,RECORD,P01,S01,pinkyDipIso,43,334,347,260,396,,0,0,222751843000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751843000000,630,RECORD,P01,S01,pinkyDipIso,43,333,353,260,399,,0,0,222751843000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751859000000,631,RECORD,P01,S01,pinkyDipIso,43,333,348,261,398,,0,0,222751859000000,27.13,28.68,30.59,25.64,6.46,2.27,18.19,7.08,1.41,25.81,4.56,4.33,30.8,5.33,4.36,0
222751875000000,632,RECORD,P01,S01,pinkyDipIso,43,336,359,262,403,,0,0,222751875000000,27.51,28.91,30.26,25.89,6.63,2.29,18.43,7.31,1.4,25.86,4.74,4.16,30.82,5.29,4.11,0
222751875000000,633,RECORD,P01,S01,pinkyDipIso,43,337,367,270,406,,0,0,222751875000000,27.51,28.91,30.26,25.89,6.63,2.29,18.43,7.31,1.4,25.86,4.74,4.16,30.82,5.29,4.11,0
222751890000000,634,RECORD,P01,S01,pinkyDipIso,43,339,376,275,406,,0,0,222751890000000,27.51,28.91,30.26,25.89,6.63,2.29,18.43,7.31,1.4,25.86,4.74,4.16,30.82,5.29,4.11,0
222751906000000,635,RECORD,P01,S01,pinkyDipIso,43,339,376,272,407,,0,0,222751906000000,27.51,28.91,30.26,25.89,6.63,2.29,18.43,7.31,1.4,25.86,4.74,4.16,30.82,5.29,4.11,0
222751906000000,636,RECORD,P01,S01,pinkyDipIso,43,341,380,275,410,,0,0,222751906000000,27.51,28.91,30.26,25.89,6.63,2.29,18.43,7.31,1.4,25.86,4.74,4.16,30.82,5.29,4.11,0
222751921000000,637,RECORD,P01,S01,pinkyDipIso,43,342,380,278,411,,0,0,222751921000000,28.04,28.79,29.72,25.97,6.86,2.46,18.53,7.58,1.57,26.02,5.0,4.13,31.04,5.22,3.85,0
222751937000000,638,RECORD,P01,S01,pinkyDipIso,43,343,379,273,407,,0,0,222751937000000,28.04,28.79,29.72,25.97,6.86,2.46,18.53,7.58,1.57,26.02,5.0,4.13,31.04,5.22,3.85,0
