t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222656515000000,602,RECORD,P01,S01,pinkyMcpIso,38,552,435,358,462,RECORD_START,1,0,222656515000000,27.78,22.51,21.36,30.94,7.53,5.07,18.82,6.63,1.06,22.79,5.24,3.47,29.96,5.37,4.23,0
222656531000000,603,RECORD,P01,S01,pinkyMcpIso,38,555,432,360,463,,1,0,222656531000000,27.6,22.62,20.94,31.66,7.86,5.15,19.52,6.94,1.12,23.39,5.46,3.65,30.22,5.52,4.46,0
222656546000000,604,RECORD,P01,S01,pinkyMcpIso,38,557,435,359,462,,1,0,222656546000000,27.6,22.62,20.94,31.66,7.86,5.15,19.52,6.94,1.12,23.39,5.46,3.65,30.22,5.52,4.46,0
222656546000000,605,RECORD,P01,S01,pinkyMcpIso,38,559,435,360,462,,1,0,222656546000000,27.6,22.62,20.94,31.66,7.86,5.15,19.52,6.94,1.12,23.39,5.46,3.65,30.22,5.52,4.46,0
222656562000000,606,RECORD,P01,S01,pinkyMcpIso,38,562,436,362,464,,0,0,222656562000000,27.6,22.62,20.94,31.66,7.86,5.15,19.52,6.94,1.12,23.39,5.46,3.65,30.22,5.52,4.46,0
222656562000000,607,RECORD,P01,S01,pinkyMcpIso,38,566,437,362,463,,0,0,222656562000000,27.6,22.62,20.94,31.66,7.86,5.15,19.52,6.94,1.12,23.39,5.46,3.65,30.22,5.52,4.46,0
222656578000000,608,RECORD,P01,S01,pinkyMcpIso,38,572,438,363,463,,0,0,222656578000000,27.53,22.89,21.57,31.68,7.71,5.09,19.45,6.93,1.1,23.41,5.57,3.44,30.14,5.59,4.42,0
222656593000000,609,RECORD,P01,S01,pinkyMcpIso,38,574,437,363,464,,0,0,222656593000000,27.53,22.89,21.57,31.68,7.71,5.09,19.45,6.93,1.1,23.41,5.57,3.44,30.14,5.59,4.42,0
222656593000000,610,RECORD,P01,S01,pinkyMcpIso,38,575,437,363,465,,0,0,222656593000000,27.53,22.89,21.57,31.68,7.71,5.09,19.45,6.93,1.1,23.41,5.57,3.44,30.14,5.59,4.42,0
222656609000000,611,RECORD,P01,S01,pinkyMcpIso,38,578,437,363,465,,0,0,222656609000000,27.53,22.89,21.57,31.68,7.71,5.09,19.45,6.93,1.1,23.41,5.57,3.44,30.14,5.59,4.42,0
222656625000000,612,RECORD,P01,S01,pinkyMcpIso,38,578,437,363,465,,0,0,222656625000000,27.53,22.89,21.57,31.68,7.71,5.09,19.45,6.93,1.1,23.41,5.57,3.44,30.14,5.59,4.42,0
