t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222713562000000,601,RECORD,P01,S01,pinkyPipIso,41,372,360,300,426,RECORD_START,0,0,222713562000000,31.7,30.17,28.17,33.0,7.34,3.43,22.41,7.76,2.59,28.54,4.58,1.54,27.8,3.27,2.55,0
222713562000000,602,RECORD,P01,S01,pinkyPipIso,41,374,358,304,429,,0,0,222713562000000,31.7,30.17,28.17,33.0,7.34,3.43,22.41,7.76,2.59,28.54,4.58,1.54,27.8,3.27,2.55,0
222713578000000,603,RECORD,P01,S01,pinkyPipIso,41,377,358,310,429,,0,0,222713578000000,31.7,30.17,28.17,33.0,7.34,3.43,22.41,7.76,2.59,28.54,4.58,1.54,27.8,3.27,2.55,0
222713593000000,604,RECORD,P01,S01,pinkyPipIso,41,380,361,311,429,,0,0,222713593000000,31.74,29.53,28.27,33.25,7.79,3.65,23.31,8.13,3.43,29.54,4.43,1.55,28.56,3.3,2.58,0
222713593000000,605,RECORD,P01,S01,pinkyPipIso,41,382,362,311,430,,0,0,222713593000000,31.74,29.53,28.27,33.25,7.79,3.65,23.31,8.13,3.43,29.54,4.43,1.55,28.56,3.3,2.58,0
222713609000000,606,RECORD,P01,S01,pinkyPipIso,41,384,363,312,431,,0,0,222713609000000,31.74,29.53,28.27,33.25,7.79,3.65,23.31,8.13,3.43,29.54,4.43,1.55,28.56,3.3,2.58,0
222713625000000,607,RECORD,P01,S01,pinkyPipIso,41,385,373,312,431,,0,0,222713625000000,31.74,29.53,28.27,33.25,7.79,3.65,23.31,8.13,3.43,29.54,4.43,1.55,28.56,3.3,2.58,0
222713625000000,608,RECORD,P01,S01,pinkyPipIso,41,385,376,313,432,,0,0,222713625000000,31.74,29.53,28.27,33.25,7.79,3.65,23.31,8.13,3.43,29.54,4.43,1.55,28.56,3.3,2.58,0
222713640000000,609,RECORD,P01,S01,pinkyPipIso,41,386,378,315,434,,0,0,222713640000000,31.6,29.57,27.68,31.93,6.99,3.48,21.23,7.28,2.32,28.08,4.35,1.67,28.35,3.26,2.58,0
222713656000000,610,RECORD,P01,S01,pinkyPipIso,41,385,372,316,432,,0,0,222713656000000,31.6,29.57,27.68,31.93,6.99,3.48,21.23,7.28,2.32,28.08,4.35,1.67,28.35,3.26,2.58,0
222713656000000,611,RECORD,P01,S01,pinkyPipIso,41,385,372,317,433,,0,0,222713656000000,31.6,29.57,27.68,31.93,6.99,3.48,21.23,7.28,2.32,28.08,4.35,1.67,28.35,3.26,2.58,0
222713671000000,612,RECORD,P01,S01,pinkyPipIso,41,387,372,318,434,,0,0,222713671000000,31.6,29.57,27.68,31.93,6.99,3.48,21.23,7.28,2.32,28.08,4.35,1.67,28.35,3.26,2.58,0
222713687000000,613,RECORD,P01,S01,pinkyPipIso,41,387,375,319,433,,0,0,222713687000000,31.46,29.16,28.22,33.19,7.85,3.62,23.56,8.11,3.2,29.9,4.46,1.64,29.39,3.32,2.6,0
222713687000000,614,RECORD,P01,S01,pinkyPipIso,41,387,362,320,434,,0,0,222713687000000,31.46,29.16,28.22,33.19,7.85,3.62,23.56,8.11,3.2,29.9,4.46,1.64,29.39,3.32,2.6,0
222713703000000,615,RECORD,P01,S01,pinkyPipIso,41,388,374,320,433,,0,0,222713703000000,31.46,29.16,28.22,33.19,7.85,3.62,23.56,8.11,3.2,29.9,4.46,1.64,29.39,3.32,2.6,0
222713703000000,616,RECORD,P01,S01,pinkyPipIso,41,387,376,320,434,,0,0,222713703000000,31.46,29.16,28.22,33.19,7.85,3.62,23.56,8.11,3.2,29.9,4.46,1.64,29.39,3.32,2.6,0
222713718000000,617,RECORD,P01,S01,pinkyPipIso,41,388,375,319,435,,0,0,222713718000000,31.46,29.16,28.22,33.19,7.85,3.62,23.56,8.11,3.2,29.9,4.46,1.64,29.39,3.32,2.6,0
222713734000000,618,RECORD,P01,S01,pinkyPipIso,41,389,371,321,435,,0,0,222713734000000,31.86,29.81,27.38,31.8,6.71,3.36,20.93,6.95,2.3,28.0,4.05,1.59,28.37,3.14,2.62,0
222713734000000,619,RECORD,P01,S01,pinkyPipIso,41,389,374,321,435,,0,0,222713734000000,31.86,29.81,27.38,31.8,6.71,3.36,20.93,6.95,2.3,28.0,4.05,1.59,28.37,3.14,2.62,0
222713750000000,620,RECORD,P01,S01,pinkyPipIso,41,390,371,321,435,,0,0,222713750000000,31.86,29.81,27.38,31.8,6.71,3.36,20.93,6.95,2.3,28.0,4.05,1.59,28.37,3.14,2.62,0
222713765000000,621,RECORD,P01,S01,pinkyPipIso,41,390,373,323,435,,0,0,222713765000000,31.86,29.81,27.38,31.8,6.71,3.36,20.93,6.95,2.3,28.0,4.05,1.59,28.37,3.14,2.62,0
222713765000000,622,RECORD,P01,S01,pinkyPipIso,41,392,373,321,436,,0,0,222713765000000,31.86,29.81,27.38,31.8,6.71,3.36,20.93,6.95,2.3,28.0,4.05,1.59,28.37,3.14,2.62,0
222713781000000,623,RECORD,P01,S01,pinkyPipIso,41,391,373,322,435,,0,0,222713781000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713796000000,624,RECORD,P01,S01,pinkyPipIso,41,390,378,323,434,,0,0,222713796000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713796000000,625,RECORD,P01,S01,pinkyPipIso,41,392,378,322,434,,0,0,222713796000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713812000000,626,RECORD,P01,S01,pinkyPipIso,41,390,379,323,435,,0,0,222713812000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713828000000,627,RECORD,P01,S01,pinkyPipIso,41,385,378,321,435,,0,0,222713828000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713828000000,628,RECORD,P01,S01,pinkyPipIso,41,395,379,323,436,,0,0,222713828000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713843000000,629,RECORD,P01,S01,pinkyPipIso,41,391,380,322,434,,0,0,222713843000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713843000000,630,RECORD,P01,S01,pinkyPipIso,41,390,378,322,435,,0,0,222713843000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713859000000,631,RECORD,P01,S01,pinkyPipIso,41,391,379,322,436,,0,0,222713859000000,32.58,29.51,28.35,32.66,7.54,3.55,22.89,7.45,3.45,29.4,3.79,1.63,28.96,3.03,2.71,0
222713875000000,632,RECORD,P01,S01,pinkyPipIso,41,392,378,322,434,,0,0,222713875000000,31.12,30.04,25.63,32.85,7.02,3.51,22.54,7.09,2.39,28.64,4.22,1.79,29.53,4.76,3.47,0
222713875000000,633,RECORD,P01,S01,pinkyPipIso,41,392,380,322,434,,0,0,222713875000000,31.12,30.04,25.63,32.85,7.02,3.51,22.54,7.09,2.39,28.64,4.22,1.79,29.53,4.76,3.47,0
222713890000000,634,RECORD,P01,S01,pinkyPipIso,41,390,379,323,434,,0,0,222713890000000,31.12,30.04,25.63,32.85,7.02,3.51,22.54,7.09,2.39,28.64,4.22,1.79,29.53,4.76,3.47,0
222713906000000,635,RECORD,P01,S01,pinkyPipIso,41,392,379,324,433,,0,0,222713906000000,31.12,30.04,25.63,32.85,7.02,3.51,22.54,7.09,2.39,28.64,4.22,1.79,29.53,4.76,3.47,0
222713906000000,636,RECORD,P01,S01,pinkyPipIso,41,392,379,323,433,,0,0,222713906000000,31.12,30.04,25.63,32.85,7.02,3.51,22.54,7.09,2.39,28.64,4.22,1.79,29.53,4.76,3.47,0
222713921000000,637,RECORD,P01,S01,pinkyPipIso,41,390,380,324,433,,0,0,222713921000000,30.92,29.4,28.74,34.56,8.01,3.88,25.78,8.51,3.1,31.09,5.16,2.11,30.41,6.05,4.42,0
222713937000000,638,RECORD,P01,S01,pinkyPipIso,41,392,381,325,434,,0,0,222713937000000,30.92,29.4,28.74,34.56,8.01,3.88,25.78,8.51,3.1,31.09,5.16,2.11,30.41,6.05,4.42,0
222713937000000,639,RECORD,P01,S01,pinkyPipIso,41,392,381,322,434,,0,0,222713937000000,30.92,29.4,28.74,34.56,8.01,3.88,25.78,8.51,3.1,31.09,5.16,2.11,30.41,6.05,4.42,0
222713953000000,640,RECORD,P01,S01,pinkyPipIso,41,392,380,323,431,,0,0,222713953000000,30.92,29.4,28.74,34.56,8.01,3.88,25.78,8.51,3.1,31.09,5.16,2.11,30.41,6.05,4.42,0
222713953000000,641,RECORD,P01,S01,pinkyPipIso,41,392,381,323,434,,0,0,222713953000000,30.92,29.4,28.74,34.56,8.01,3.88,25.78,8.51,3.1,31.09,5.16,2.11,30.41,6.05,4.42,0
