t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222827625000000,601,RECORD,P01,S01,powerGrip,47,267,353,218,366,RECORD_START,0,0,222827625000000,20.22,22.43,21.83,18.75,11.57,5.49,22.25,9.63,2.97,29.56,9.37,6.1,31.58,10.14,7.36,0
222827625000000,602,RECORD,P01,S01,powerGrip,47,271,353,217,365,,0,0,222827625000000,20.22,22.43,21.83,18.75,11.57,5.49,22.25,9.63,2.97,29.56,9.37,6.1,31.58,10.14,7.36,0
222827640000000,603,RECORD,P01,S01,powerGrip,47,274,353,218,367,,0,0,222827640000000,20.05,22.79,21.7,18.9,11.63,5.56,22.47,9.57,3.02,29.79,9.13,6.16,31.54,10.05,7.4,0
222827656000000,604,RECORD,P01,S01,powerGrip,47,275,358,217,366,,0,0,222827656000000,20.05,22.79,21.7,18.9,11.63,5.56,22.47,9.57,3.02,29.79,9.13,6.16,31.54,10.05,7.4,0
222827656000000,605,RECORD,P01,S01,powerGrip,47,280,358,218,367,,0,0,222827656000000,20.05,22.79,21.7,18.9,11.63,5.56,22.47,9.57,3.02,29.79,9.13,6.16,31.54,10.05,7.4,0
222827671000000,606,RECORD,P01,S01,powerGrip,47,293,359,222,369,,0,0,222827671000000,20.05,22.79,21.7,18.9,11.63,5.56,22.47,9.57,3.02,29.79,9.13,6.16,31.54,10.05,7.4,0
222827687000000,607,RECORD,P01,S01,powerGrip,47,301,354,221,368,,0,0,222827687000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827687000000,608,RECORD,P01,S01,powerGrip,47,308,357,223,375,,0,0,222827687000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827703000000,609,RECORD,P01,S01,powerGrip,47,315,356,222,377,,0,0,222827703000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827718000000,610,RECORD,P01,S01,powerGrip,47,334,354,224,376,,0,0,222827718000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827718000000,611,RECORD,P01,S01,powerGrip,47,343,355,224,378,,0,0,222827718000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827734000000,612,RECORD,P01,S01,powerGrip,47,344,356,231,379,,0,0,222827734000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827734000000,613,RECORD,P01,S01,powerGrip,47,358,356,245,378,,0,0,222827734000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827750000000,614,RECORD,P01,S01,powerGrip,47,367,356,250,378,,0,0,222827750000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827765000000,615,RECORD,P01,S01,powerGrip,47,377,355,253,379,,0,0,222827765000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827765000000,616,RECORD,P01,S01,powerGrip,47,381,355,256,379,,0,0,222827765000000,20.19,22.62,21.76,18.9,11.76,5.81,22.5,9.74,3.3,29.9,9.32,6.25,31.69,10.13,7.56,0
222827781000000,617,RECORD,P01,S01,powerGrip,47,388,353,256,378,,0,0,222827781000000,19.8,23.15,20.74,19.39,11.38,5.18,22.78,9.74,2.94,30.0,9.3,5.97,31.76,10.2,7.27,0
222827796000000,618,RECORD,P01,S01,powerGrip,47,396,355,253,378,,0,0,222827796000000,19.8,23.15,20.74,19.39,11.38,5.18,22.78,9.74,2.94,30.0,9.3,5.97,31.76,10.2,7.27,0
222827796000000,619,RECORD,P01,S01,powerGrip,47,402,355,254,374,,0,0,222827796000000,19.8,23.15,20.74,19.39,11.38,5.18,22.78,9.74,2.94,30.0,9.3,5.97,31.76,10.2,7.27,0
222827812000000,620,RECORD,P01,S01,powerGrip,47,405,355,259,374,,0,0,222827812000000,19.8,23.15,20.74,19.39,11.38,5.18,22.78,9.74,2.94,30.0,9.3,5.97,31.76,10.2,7.27,0
222827828000000,621,RECORD,P01,S01,powerGrip,47,414,355,257,372,,0,0,222827828000000,19.87,22.83,20.97,19.34,11.78,5.72,22.15,10.21,3.3,29.48,9.75,6.31,31.65,10.51,7.33,0
222827828000000,622,RECORD,P01,S01,powerGrip,47,420,355,254,370,,0,0,222827828000000,19.87,22.83,20.97,19.34,11.78,5.72,22.15,10.21,3.3,29.48,9.75,6.31,31.65,10.51,7.33,0
222827843000000,623,RECORD,P01,S01,powerGrip,47,437,353,253,368,,0,0,222827843000000,19.87,22.83,20.97,19.34,11.78,5.72,22.15,10.21,3.3,29.48,9.75,6.31,31.65,10.51,7.33,0
222827859000000,624,RECORD,P01,S01,powerGrip,47,440,354,252,369,,0,0,222827859000000,19.87,22.83,20.97,19.34,11.78,5.72,22.15,10.21,3.3,29.48,9.75,6.31,31.65,10.51,7.33,0
222827859000000,625,RECORD,P01,S01,powerGrip,47,441,355,253,373,,0,0,222827859000000,19.87,22.83,20.97,19.34,11.78,5.72,22.15,10.21,3.3,29.48,9.75,6.31,31.65,10.51,7.33,0
222827875000000,626,RECORD,P01,S01,powerGrip,47,446,357,256,377,,0,0,222827875000000,20.54,23.18,20.71,18.87,11.4,5.55,21.91,9.6,2.93,29.27,9.43,6.02,31.62,10.31,7.21,0
222827875000000,627,RECORD,P01,S01,powerGrip,47,471,360,256,373,,0,0,222827875000000,20.54,23.18,20.71,18.87,11.4,5.55,21.91,9.6,2.93,29.27,9.43,6.02,31.62,10.31,7.21,0
222827890000000,628,RECORD,P01,S01,powerGrip,47,484,358,259,386,,0,0,222827890000000,20.54,23.18,20.71,18.87,11.4,5.55,21.91,9.6,2.93,29.27,9.43,6.02,31.62,10.31,7.21,0
222827906000000,629,RECORD,P01,S01,powerGrip,47,516,358,261,394,,0,0,222827906000000,20.54,23.18,20.71,18.87,11.4,5.55,21.91,9.6,2.93,29.27,9.43,6.02,31.62,10.31,7.21,0
222827906000000,630,RECORD,P01,S01,powerGrip,47,530,359,261,397,,0,0,222827906000000,20.54,23.18,20.71,18.87,11.4,5.55,21.91,9.6,2.93,29.27,9.43,6.02,31.62,10.31,7.21,0
222827921000000,631,RECORD,P01,S01,powerGrip,47,535,363,259,395,,0,0,222827921000000,21.23,22.99,20.47,19.77,11.25,5.25,22.17,9.98,3.03,29.43,9.61,6.27,31.74,10.37,7.52,0
222827937000000,632,RECORD,P01,S01,powerGrip,47,543,361,258,390,,0,0,222827937000000,21.23,22.99,20.47,19.77,11.25,5.25,22.17,9.98,3.03,29.43,9.61,6.27,31.74,10.37,7.52,0
222827937000000,633,RECORD,P01,S01,powerGrip,47,545,364,259,391,,0,0,222827937000000,21.23,22.99,20.47,19.77,11.25,5.25,22.17,9.98,3.03,29.43,9.61,6.27,31.74,10.37,7.52,0
222827953000000,634,RECORD,P01,S01,powerGrip,47,552,370,260,389,,0,0,222827953000000,21.23,22.99,20.47,19.77,11.25,5.25,22.17,9.98,3.03,29.43,9.61,6.27,31.74,10.37,7.52,0
222827953000000,635,RECORD,P01,S01,powerGrip,47,565,374,261,389,,0,0,222827953000000,21.23,22.99,20.47,19.77,11.25,5.25,22.17,9.98,3.03,29.43,9.61,6.27,31.74,10.37,7.52,0
222827968000000,636,RECORD,P01,S01,powerGrip,47,574,375,265,390,,0,0,222827968000000,20.78,22.85,21.17,20.25,11.44,5.34,22.34,9.98,3.09,29.54,9.53,6.33,31.89,10.1,7.41,0
222827984000000,637,RECORD,P01,S01,powerGrip,47,596,375,262,396,,0,0,222827984000000,20.78,22.85,21.17,20.25,11.44,5.34,22.34,9.98,3.09,29.54,9.53,6.33,31.89,10.1,7.41,0
222828000000000,638,RECORD,P01,S01,powerGrip,47,607,378,265,403,,0,0,222828000000000,20.78,22.85,21.17,20.25,11.44,5.34,22.34,9.98,3.09,29.54,9.53,6.33,31.89,10.1,7.41,0
222828000000000,639,RECORD,P01,S01,powerGrip,47,614,378,262,403,,0,0,222828000000000,20.78,22.85,21.17,20.25,11.44,5.34,22.34,9.98,3.09,29.54,9.53,6.33,31.89,10.1,7.41,0
222828015000000,640,RECORD,P01,S01,powerGrip,47,618,377,264,407,,0,0,222828015000000,20.58,22.61,21.56,19.77,10.46,4.81,22.33,9.6,2.99,29.35,9.54,6.31,31.72,10.28,7.49,0
222828015000000,641,RECORD,P01,S01,powerGrip,47,636,379,264,407,,0,0,222828015000000,20.58,22.61,21.56,19.77,10.46,4.81,22.33,9.6,2.99,29.35,9.54,6.31,31.72,10.28,7.49,0
222828031000000,642,RECORD,P01,S01,powerGrip,47,642,375,264,405,,0,0,222828031000000,20.58,22.61,21.56,19.77,10.46,4.81,22.33,9.6,2.99,29.35,9.54,6.31,31.72,10.28,7.49,0
222828046000000,643,RECORD,P01,S01,powerGrip,47,650,375,264,412,,0,0,222828046000000,20.58,22.61,21.56,19.77,10.46,4.81,22.33,9.6,2.99,29.35,9.54,6.31,31.72,10.28,7.49,0
222828046000000,644,RECORD,P01,S01,powerGrip,47,657,380,266,413,,0,0,222828046000000,20.58,22.61,21.56,19.77,10.46,4.81,22.33,9.6,2.99,29.35,9.54,6.31,31.72,10.28,7.49,0
222828062000000,645,RECORD,P01,S01,powerGrip,47,654,387,268,414,,0,0,222828062000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828078000000,646,RECORD,P01,S01,powerGrip,47,667,386,272,412,,0,0,222828078000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828078000000,647,RECORD,P01,S01,powerGrip,47,669,384,275,418,,0,0,222828078000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828093000000,648,RECORD,P01,S01,powerGrip,47,674,386,280,421,,0,0,222828093000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828109000000,649,RECORD,P01,S01,powerGrip,47,678,387,282,425,,0,0,222828109000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828109000000,650,RECORD,P01,S01,powerGrip,47,682,388,281,424,,0,0,222828109000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828125000000,651,RECORD,P01,S01,powerGrip,47,684,390,282,426,,0,0,222828125000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828125000000,652,RECORD,P01,S01,powerGrip,47,688,389,281,428,,0,0,222828125000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828140000000,653,RECORD,P01,S01,powerGrip,47,692,392,279,426,,0,0,222828140000000,20.41,22.69,21.47,21.12,10.97,5.08,22.86,9.96,3.05,29.61,9.86,6.21,31.65,10.32,7.42,0
222828156000000,654,RECORD,P01,S01,powerGrip,47,692,417,277,426,,0,0,222828156000000,20.95,22.29,21.89,22.01,11.25,5.6,23.69,10.24,3.25,30.07,10.0,6.27,31.41,10.19,7.43,0
222828156000000,655,RECORD,P01,S01,powerGrip,47,697,416,303,426,,0,0,222828156000000,20.95,22.29,21.89,22.01,11.25,5.6,23.69,10.24,3.25,30.07,10.0,6.27,31.41,10.19,7.43,0
222828171000000,656,RECORD,P01,S01,powerGrip,47,701,419,307,426,,0,0,222828171000000,20.95,22.29,21.89,22.01,11.25,5.6,23.69,10.24,3.25,30.07,10.0,6.27,31.41,10.19,7.43,0
222828187000000,657,RECORD,P01,S01,powerGrip,47,703,425,321,429,,0,0,222828187000000,20.95,22.29,21.89,22.01,11.25,5.6,23.69,10.24,3.25,30.07,10.0,6.27,31.41,10.19,7.43,0
222828187000000,658,RECORD,P01,S01,powerGrip,47,709,434,321,432,,0,0,222828187000000,20.95,22.29,21.89,22.01,11.25,5.6,23.69,10.24,3.25,30.07,10.0,6.27,31.41,10.19,7.43,0
222828203000000,659,RECORD,P01,S01,powerGrip,47,710,455,327,438,,0,0,222828203000000,21.35,21.17,20.16,26.16,11.8,6.99,26.98,12.21,3.8,32.05,13.57,6.62,32.11,11.99,8.31,0
222828203000000,660,RECORD,P01,S01,powerGrip,47,710,460,335,437,,0,0,222828203000000,21.35,21.17,20.16,26.16,11.8,6.99,26.98,12.21,3.8,32.05,13.57,6.62,32.11,11.99,8.31,0
222828218000000,661,RECORD,P01,S01,powerGrip,47,712,453,338,436,,0,0,222828218000000,21.35,21.17,20.16,26.16,11.8,6.99,26.98,12.21,3.8,32.05,13.57,6.62,32.11,11.99,8.31,0
222828234000000,662,RECORD,P01,S01,powerGrip,47,714,454,338,433,,0,0,222828234000000,21.35,21.17,20.16,26.16,11.8,6.99,26.98,12.21,3.8,32.05,13.57,6.62,32.11,11.99,8.31,0
222828250000000,663,RECORD,P01,S01,powerGrip,47,716,443,340,433,,0,0,222828250000000,21.35,21.17,20.16,26.16,11.8,6.99,26.98,12.21,3.8,32.05,13.57,6.62,32.11,11.99,8.31,0
222828250000000,664,RECORD,P01,S01,powerGrip,47,720,435,342,433,,0,0,222828250000000,21.35,21.17,20.16,26.16,11.8,6.99,26.98,12.21,3.8,32.05,13.57,6.62,32.11,11.99,8.31,0
