t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222580500000000,600,RECORD,P01,S01,ringDipIso,34,439,454,322,428,RECORD_START,1,0,222580500000000,30.03,25.12,25.29,33.19,7.13,3.82,23.63,8.15,1.04,26.81,6.67,3.7,31.87,6.06,4.46,0
222580515000000,601,RECORD,P01,S01,ringDipIso,34,438,454,322,430,,1,0,222580515000000,30.03,25.12,25.29,33.19,7.13,3.82,23.63,8.15,1.04,26.81,6.67,3.7,31.87,6.06,4.46,0
222580515000000,602,RECORD,P01,S01,ringDipIso,34,436,454,323,429,,1,0,222580515000000,30.03,25.12,25.29,33.19,7.13,3.82,23.63,8.15,1.04,26.81,6.67,3.7,31.87,6.06,4.46,0
222580531000000,603,RECORD,P01,S01,ringDipIso,34,439,457,324,430,,1,0,222580531000000,29.77,25.16,25.24,33.18,7.26,3.71,23.64,8.25,1.25,26.77,6.97,4.43,31.79,6.29,4.85,0
222580546000000,604,RECORD,P01,S01,ringDipIso,34,440,456,323,430,,1,0,222580546000000,29.77,25.16,25.24,33.18,7.26,3.71,23.64,8.25,1.25,26.77,6.97,4.43,31.79,6.29,4.85,0
222580546000000,605,RECORD,P01,S01,ringDipIso,34,439,456,321,431,,1,0,222580546000000,29.77,25.16,25.24,33.18,7.26,3.71,23.64,8.25,1.25,26.77,6.97,4.43,31.79,6.29,4.85,0
222580562000000,606,RECORD,P01,S01,ringDipIso,34,438,456,325,432,,0,0,222580562000000,29.77,25.16,25.24,33.18,7.26,3.71,23.64,8.25,1.25,26.77,6.97,4.43,31.79,6.29,4.85,0
222580562000000,607,RECORD,P01,S01,ringDipIso,34,440,458,325,430,,0,0,222580562000000,29.77,25.16,25.24,33.18,7.26,3.71,23.64,8.25,1.25,26.77,6.97,4.43,31.79,6.29,4.85,0
222580578000000,608,RECORD,P01,S01,ringDipIso,34,441,459,318,431,,0,0,222580578000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580593000000,609,RECORD,P01,S01,ringDipIso,34,441,458,324,432,,0,0,222580593000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580593000000,610,RECORD,P01,S01,ringDipIso,34,437,459,328,432,,0,0,222580593000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580609000000,611,RECORD,P01,S01,ringDipIso,34,442,460,325,432,,0,0,222580609000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580625000000,612,RECORD,P01,S01,ringDipIso,34,442,458,324,432,,0,0,222580625000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580625000000,613,RECORD,P01,S01,ringDipIso,34,443,462,327,432,,0,0,222580625000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580640000000,614,RECORD,P01,S01,ringDipIso,34,442,459,326,432,,0,0,222580640000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580656000000,615,RECORD,P01,S01,ringDipIso,34,441,459,327,432,,0,0,222580656000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580656000000,616,RECORD,P01,S01,ringDipIso,34,441,459,324,433,,0,0,222580656000000,29.89,25.17,25.56,33.3,7.24,3.78,23.65,8.12,1.1,26.8,6.66,4.03,31.89,6.05,4.52,0
222580671000000,617,RECORD,P01,S01,ringDipIso,34,443,460,327,434,,0,0,222580671000000,29.89,24.95,25.52,33.26,7.15,3.86,23.52,8.16,1.07,26.74,6.73,3.82,31.88,6.06,4.42,0
222580687000000,618,RECORD,P01,S01,ringDipIso,34,439,459,325,432,,0,0,222580687000000,29.89,24.95,25.52,33.26,7.15,3.86,23.52,8.16,1.07,26.74,6.73,3.82,31.88,6.06,4.42,0
222580687000000,619,RECORD,P01,S01,ringDipIso,34,442,461,327,431,,0,0,222580687000000,29.89,24.95,25.52,33.26,7.15,3.86,23.52,8.16,1.07,26.74,6.73,3.82,31.88,6.06,4.42,0
222580703000000,620,RECORD,P01,S01,ringDipIso,34,441,465,327,430,,0,0,222580703000000,29.89,24.95,25.52,33.26,7.15,3.86,23.52,8.16,1.07,26.74,6.73,3.82,31.88,6.06,4.42,0
222580703000000,621,RECORD,P01,S01,ringDipIso,34,443,466,326,432,,0,0,222580703000000,29.89,24.95,25.52,33.26,7.15,3.86,23.52,8.16,1.07,26.74,6.73,3.82,31.88,6.06,4.42,0
