t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222504500000000,600,RECORD,P01,S01,ringMcpIso,30,461,467,300,422,RECORD_START,1,0,222504500000000,29.74,24.05,24.69,26.52,6.34,2.78,17.08,6.75,1.05,22.09,4.68,3.65,28.6,5.06,4.21,0
222504515000000,601,RECORD,P01,S01,ringMcpIso,30,468,468,301,422,,1,0,222504515000000,29.74,24.05,24.69,26.52,6.34,2.78,17.08,6.75,1.05,22.09,4.68,3.65,28.6,5.06,4.21,0
222504515000000,602,RECORD,P01,S01,ringMcpIso,30,463,469,301,422,,1,0,222504515000000,29.74,24.05,24.69,26.52,6.34,2.78,17.08,6.75,1.05,22.09,4.68,3.65,28.6,5.06,4.21,0
222504531000000,603,RECORD,P01,S01,ringMcpIso,30,461,468,301,422,,1,0,222504531000000,29.62,24.0,24.68,26.42,6.34,2.91,17.23,6.73,1.06,22.27,4.6,3.71,28.89,4.93,4.2,0
222504531000000,604,RECORD,P01,S01,ringMcpIso,30,462,468,300,422,,1,0,222504531000000,29.62,24.0,24.68,26.42,6.34,2.91,17.23,6.73,1.06,22.27,4.6,3.71,28.89,4.93,4.2,0
222504546000000,605,RECORD,P01,S01,ringMcpIso,30,470,468,300,422,,1,0,222504546000000,29.62,24.0,24.68,26.42,6.34,2.91,17.23,6.73,1.06,22.27,4.6,3.71,28.89,4.93,4.2,0
222504562000000,606,RECORD,P01,S01,ringMcpIso,30,473,471,302,423,,0,0,222504562000000,29.62,24.0,24.68,26.42,6.34,2.91,17.23,6.73,1.06,22.27,4.6,3.71,28.89,4.93,4.2,0
222504562000000,607,RECORD,P01,S01,ringMcpIso,30,476,470,305,430,,0,0,222504562000000,29.62,24.0,24.68,26.42,6.34,2.91,17.23,6.73,1.06,22.27,4.6,3.71,28.89,4.93,4.2,0
222504578000000,608,RECORD,P01,S01,ringMcpIso,30,478,470,306,432,,0,0,222504578000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504593000000,609,RECORD,P01,S01,ringMcpIso,30,486,471,304,434,,0,0,222504593000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504593000000,610,RECORD,P01,S01,ringMcpIso,30,490,473,306,434,,0,0,222504593000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504609000000,611,RECORD,P01,S01,ringMcpIso,30,489,476,306,439,,0,0,222504609000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504625000000,612,RECORD,P01,S01,ringMcpIso,30,492,480,307,441,,0,0,222504625000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504625000000,613,RECORD,P01,S01,ringMcpIso,30,499,480,309,440,,0,0,222504625000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504640000000,614,RECORD,P01,S01,ringMcpIso,30,501,480,310,436,,0,0,222504640000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
222504656000000,615,RECORD,P01,S01,ringMcpIso,30,501,480,310,448,,0,0,222504656000000,29.6,24.07,24.36,26.59,6.33,2.75,17.48,6.86,0.92,22.54,4.65,3.49,29.0,4.9,4.02,0
