t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222523500000000,600,RECORD,P01,S01,ringPipIso,31,590,527,395,437,RECORD_START,1,0,222523500000000,29.46,26.23,26.12,27.06,6.29,2.91,17.95,6.99,1.08,23.16,5.22,3.44,27.82,5.46,3.53,0
222523515000000,601,RECORD,P01,S01,ringPipIso,31,589,528,393,437,,1,0,222523515000000,29.46,26.23,26.12,27.06,6.29,2.91,17.95,6.99,1.08,23.16,5.22,3.44,27.82,5.46,3.53,0
222523515000000,602,RECORD,P01,S01,ringPipIso,31,589,527,396,436,,1,0,222523515000000,29.46,26.23,26.12,27.06,6.29,2.91,17.95,6.99,1.08,23.16,5.22,3.44,27.82,5.46,3.53,0
222523531000000,603,RECORD,P01,S01,ringPipIso,31,590,523,401,437,,1,0,222523531000000,29.29,25.25,25.75,27.84,6.68,3.11,19.12,7.49,1.48,24.14,6.02,4.0,28.68,5.93,3.62,0
222523531000000,604,RECORD,P01,S01,ringPipIso,31,590,520,399,436,,1,0,222523531000000,29.29,25.25,25.75,27.84,6.68,3.11,19.12,7.49,1.48,24.14,6.02,4.0,28.68,5.93,3.62,0
222523546000000,605,RECORD,P01,S01,ringPipIso,31,589,519,400,436,,1,0,222523546000000,29.29,25.25,25.75,27.84,6.68,3.11,19.12,7.49,1.48,24.14,6.02,4.0,28.68,5.93,3.62,0
222523562000000,606,RECORD,P01,S01,ringPipIso,31,589,527,402,442,,0,0,222523562000000,29.29,25.25,25.75,27.84,6.68,3.11,19.12,7.49,1.48,24.14,6.02,4.0,28.68,5.93,3.62,0
222523562000000,607,RECORD,P01,S01,ringPipIso,31,589,522,404,441,,0,0,222523562000000,29.29,25.25,25.75,27.84,6.68,3.11,19.12,7.49,1.48,24.14,6.02,4.0,28.68,5.93,3.62,0
222523578000000,608,RECORD,P01,S01,ringPipIso,31,591,523,405,443,,0,0,222523578000000,28.72,25.57,24.82,27.65,6.5,2.96,18.99,7.04,1.15,24.18,5.68,4.13,27.99,6.1,3.76,0
222523593000000,609,RECORD,P01,S01,ringPipIso,31,592,531,405,443,,0,0,222523593000000,28.72,25.57,24.82,27.65,6.5,2.96,18.99,7.04,1.15,24.18,5.68,4.13,27.99,6.1,3.76,0
222523593000000,610,RECORD,P01,S01,ringPipIso,31,592,534,404,442,,0,0,222523593000000,28.72,25.57,24.82,27.65,6.5,2.96,18.99,7.04,1.15,24.18,5.68,4.13,27.99,6.1,3.76,0
222523609000000,611,RECORD,P01,S01,ringPipIso,31,593,537,405,438,,0,0,222523609000000,28.72,25.57,24.82,27.65,6.5,2.96,18.99,7.04,1.15,24.18,5.68,4.13,27.99,6.1,3.76,0
222523625000000,612,RECORD,P01,S01,ringPipIso,31,592,539,405,447,,0,0,222523625000000,29.34,25.57,22.26,27.41,6.3,3.08,18.79,7.03,1.11,23.57,5.79,4.4,27.64,6.25,3.89,0
222523625000000,613,RECORD,P01,S01,ringPipIso,31,594,540,405,450,,0,0,222523625000000,29.34,25.57,22.26,27.41,6.3,3.08,18.79,7.03,1.11,23.57,5.79,4.4,27.64,6.25,3.89,0
222523640000000,614,RECORD,P01,S01,ringPipIso,31,594,541,405,450,,0,0,222523640000000,29.34,25.57,22.26,27.41,6.3,3.08,18.79,7.03,1.11,23.57,5.79,4.4,27.64,6.25,3.89,0
222523656000000,615,RECORD,P01,S01,ringPipIso,31,593,540,406,453,,0,0,222523656000000,29.34,25.57,22.26,27.41,6.3,3.08,18.79,7.03,1.11,23.57,5.79,4.4,27.64,6.25,3.89,0
222523656000000,616,RECORD,P01,S01,ringPipIso,31,593,538,406,452,,0,0,222523656000000,29.34,25.57,22.26,27.41,6.3,3.08,18.79,7.03,1.11,23.57,5.79,4.4,27.64,6.25,3.89,0
222523671000000,617,RECORD,P01,S01,ringPipIso,31,594,541,408,460,,0,0,222523671000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523671000000,618,RECORD,P01,S01,ringPipIso,31,594,541,407,463,,0,0,222523671000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523687000000,619,RECORD,P01,S01,ringPipIso,31,592,539,406,465,,0,0,222523687000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523703000000,620,RECORD,P01,S01,ringPipIso,31,591,541,407,470,,0,0,222523703000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523703000000,621,RECORD,P01,S01,ringPipIso,31,590,541,406,470,,0,0,222523703000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523718000000,622,RECORD,P01,S01,ringPipIso,31,590,539,409,469,,0,0,222523718000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523734000000,623,RECORD,P01,S01,ringPipIso,31,589,543,410,476,,0,0,222523734000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523734000000,624,RECORD,P01,S01,ringPipIso,31,589,544,406,476,,0,0,222523734000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523750000000,625,RECORD,P01,S01,ringPipIso,31,592,542,404,473,,0,0,222523750000000,29.67,25.29,21.71,27.79,6.22,3.04,19.19,6.97,1.43,24.0,6.19,4.9,27.92,6.4,4.0,0
222523765000000,626,RECORD,P01,S01,ringPipIso,31,593,546,403,474,,0,0,222523765000000,29.84,25.46,21.68,27.55,6.28,3.13,19.06,7.01,1.46,23.75,6.39,5.1,27.71,6.45,3.94,0
222523765000000,627,RECORD,P01,S01,ringPipIso,31,588,552,399,481,,0,0,222523765000000,29.84,25.46,21.68,27.55,6.28,3.13,19.06,7.01,1.46,23.75,6.39,5.1,27.71,6.45,3.94,0
