t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223055656000000,600,RECORD,P01,S01,sphericalGrip,59,456,453,293,416,RECORD_START,0,0,223055656000000,36.83,22.63,33.41,38.84,58.17,68.81,30.48,62.74,63.67,29.02,61.68,63.18,27.24,47.64,64.99,0
223055671000000,601,RECORD,P01,S01,sphericalGrip,59,454,452,293,416,,0,0,223055671000000,36.83,22.63,33.41,38.84,58.17,68.81,30.48,62.74,63.67,29.02,61.68,63.18,27.24,47.64,64.99,0
223055671000000,602,RECORD,P01,S01,sphericalGrip,59,454,452,293,415,,0,0,223055671000000,36.83,22.63,33.41,38.84,58.17,68.81,30.48,62.74,63.67,29.02,61.68,63.18,27.24,47.64,64.99,0
223055687000000,603,RECORD,P01,S01,sphericalGrip,59,454,451,292,415,,0,0,223055687000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
223055687000000,604,RECORD,P01,S01,sphericalGrip,59,454,450,293,416,,0,0,223055687000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
223055703000000,605,RECORD,P01,S01,sphericalGrip,59,454,449,293,416,,0,0,223055703000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
223055718000000,606,RECORD,P01,S01,sphericalGrip,59,454,448,293,416,,0,0,223055718000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
223055718000000,607,RECORD,P01,S01,sphericalGrip,59,454,448,293,416,,0,0,223055718000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
223055734000000,608,RECORD,P01,S01,sphericalGrip,59,453,448,293,416,,0,0,223055734000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
223055750000000,609,RECORD,P01,S01,sphericalGrip,59,453,448,294,417,,0,0,223055750000000,36.35,22.77,32.7,38.52,57.39,69.7,30.28,61.94,64.44,29.02,61.91,64.0,27.42,47.98,67.22,0
