t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
221953484000000,601,RECORD,P01,S01,thumbCmcIso,1,297,552,236,402,RECORD_START,1,0,221953484000000,27.18,22.63,11.93,22.21,5.09,3.46,15.89,5.4,1.1,23.09,4.21,1.68,30.24,4.78,3.3,0
221953500000000,602,RECORD,P01,S01,thumbCmcIso,1,299,552,236,401,,1,0,221953500000000,27.18,22.63,11.93,22.21,5.09,3.46,15.89,5.4,1.1,23.09,4.21,1.68,30.24,4.78,3.3,0
221953500000000,603,RECORD,P01,S01,thumbCmcIso,1,295,550,235,401,,1,0,221953500000000,27.18,22.63,11.93,22.21,5.09,3.46,15.89,5.4,1.1,23.09,4.21,1.68,30.24,4.78,3.3,0
221953515000000,604,RECORD,P01,S01,thumbCmcIso,1,297,548,234,400,,1,0,221953515000000,27.31,23.0,11.84,22.32,5.09,3.53,16.17,5.66,1.01,23.33,4.37,1.65,30.24,4.95,3.31,0
221953531000000,605,RECORD,P01,S01,thumbCmcIso,1,298,550,234,400,,1,0,221953531000000,27.31,23.0,11.84,22.32,5.09,3.53,16.17,5.66,1.01,23.33,4.37,1.65,30.24,4.95,3.31,0
221953531000000,606,RECORD,P01,S01,thumbCmcIso,1,296,550,234,400,,1,0,221953531000000,27.31,23.0,11.84,22.32,5.09,3.53,16.17,5.66,1.01,23.33,4.37,1.65,30.24,4.95,3.31,0
221953546000000,607,RECORD,P01,S01,thumbCmcIso,1,297,549,236,401,,1,0,221953546000000,27.31,23.0,11.84,22.32,5.09,3.53,16.17,5.66,1.01,23.33,4.37,1.65,30.24,4.95,3.31,0
221953546000000,608,RECORD,P01,S01,thumbCmcIso,1,298,551,237,404,,0,0,221953546000000,27.31,23.0,11.84,22.32,5.09,3.53,16.17,5.66,1.01,23.33,4.37,1.65,30.24,4.95,3.31,0
221953562000000,609,RECORD,P01,S01,thumbCmcIso,1,300,553,235,403,,0,0,221953562000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953578000000,610,RECORD,P01,S01,thumbCmcIso,1,300,554,238,404,,0,0,221953578000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953578000000,611,RECORD,P01,S01,thumbCmcIso,1,300,553,239,405,,0,0,221953578000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953593000000,612,RECORD,P01,S01,thumbCmcIso,1,300,554,239,405,,0,0,221953593000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953609000000,613,RECORD,P01,S01,thumbCmcIso,1,294,554,238,406,,0,0,221953609000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953609000000,614,RECORD,P01,S01,thumbCmcIso,1,301,555,239,404,,0,0,221953609000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953625000000,615,RECORD,P01,S01,thumbCmcIso,1,313,555,239,404,,0,0,221953625000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953640000000,616,RECORD,P01,S01,thumbCmcIso,1,302,555,240,406,,0,0,221953640000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953640000000,617,RECORD,P01,S01,thumbCmcIso,1,302,555,237,409,,0,0,221953640000000,27.45,22.41,10.35,22.26,4.75,3.59,16.01,5.33,0.93,23.33,4.31,1.48,30.21,4.86,3.11,0
221953656000000,618,RECORD,P01,S01,thumbCmcIso,1,304,556,241,405,,0,0,221953656000000,27.41,22.87,12.08,22.47,4.76,3.55,15.75,5.5,0.96,22.77,4.18,1.73,29.81,5.01,3.32,0
221953671000000,619,RECORD,P01,S01,thumbCmcIso,1,303,555,241,406,,0,0,221953671000000,27.41,22.87,12.08,22.47,4.76,3.55,15.75,5.5,0.96,22.77,4.18,1.73,29.81,5.01,3.32,0
221953671000000,620,RECORD,P01,S01,thumbCmcIso,1,304,554,241,412,,0,0,221953671000000,27.41,22.87,12.08,22.47,4.76,3.55,15.75,5.5,0.96,22.77,4.18,1.73,29.81,5.01,3.32,0
221953687000000,621,RECORD,P01,S01,thumbCmcIso,1,303,556,243,406,,0,0,221953687000000,27.41,22.87,12.08,22.47,4.76,3.55,15.75,5.5,0.96,22.77,4.18,1.73,29.81,5.01,3.32,0
