t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222067484000000,600,RECORD,P01,S01,thumbIpIso,7,294,559,216,345,RECORD_START,1,0,222067484000000,14.68,15.74,4.28,17.98,7.28,3.87,15.59,8.21,2.59,22.21,7.73,4.41,28.3,7.98,4.58,0
222067500000000,601,RECORD,P01,S01,thumbIpIso,7,279,559,219,345,,1,0,222067500000000,14.68,15.74,4.28,17.98,7.28,3.87,15.59,8.21,2.59,22.21,7.73,4.41,28.3,7.98,4.58,0
222067500000000,602,RECORD,P01,S01,thumbIpIso,7,277,560,217,345,,1,0,222067500000000,14.68,15.74,4.28,17.98,7.28,3.87,15.59,8.21,2.59,22.21,7.73,4.41,28.3,7.98,4.58,0
222067515000000,603,RECORD,P01,S01,thumbIpIso,7,281,559,216,345,,1,0,222067515000000,14.85,15.67,4.43,17.88,7.06,3.91,16.14,8.18,2.41,22.72,7.71,4.46,28.42,8.02,4.78,0
222067531000000,604,RECORD,P01,S01,thumbIpIso,7,281,561,217,346,,1,0,222067531000000,14.85,15.67,4.43,17.88,7.06,3.91,16.14,8.18,2.41,22.72,7.71,4.46,28.42,8.02,4.78,0
222067531000000,605,RECORD,P01,S01,thumbIpIso,7,280,563,217,348,,1,0,222067531000000,14.85,15.67,4.43,17.88,7.06,3.91,16.14,8.18,2.41,22.72,7.71,4.46,28.42,8.02,4.78,0
222067546000000,606,RECORD,P01,S01,thumbIpIso,7,279,564,217,347,,1,0,222067546000000,14.85,15.67,4.43,17.88,7.06,3.91,16.14,8.18,2.41,22.72,7.71,4.46,28.42,8.02,4.78,0
222067562000000,607,RECORD,P01,S01,thumbIpIso,7,282,566,217,359,,0,0,222067562000000,14.89,16.36,6.21,17.86,7.19,3.93,15.9,8.38,2.7,22.5,8.15,4.72,28.0,8.43,4.75,0
222067562000000,608,RECORD,P01,S01,thumbIpIso,7,283,569,217,363,,0,0,222067562000000,14.89,16.36,6.21,17.86,7.19,3.93,15.9,8.38,2.7,22.5,8.15,4.72,28.0,8.43,4.75,0
222067578000000,609,RECORD,P01,S01,thumbIpIso,7,280,569,218,363,,0,0,222067578000000,14.89,16.36,6.21,17.86,7.19,3.93,15.9,8.38,2.7,22.5,8.15,4.72,28.0,8.43,4.75,0
222067578000000,610,RECORD,P01,S01,thumbIpIso,7,281,567,216,368,,0,0,222067578000000,14.89,16.36,6.21,17.86,7.19,3.93,15.9,8.38,2.7,22.5,8.15,4.72,28.0,8.43,4.75,0
222067593000000,611,RECORD,P01,S01,thumbIpIso,7,282,568,217,368,,0,0,222067593000000,14.89,16.36,6.21,17.86,7.19,3.93,15.9,8.38,2.7,22.5,8.15,4.72,28.0,8.43,4.75,0
222067609000000,612,RECORD,P01,S01,thumbIpIso,7,283,568,220,372,,0,0,222067609000000,14.96,17.18,6.08,17.89,6.95,3.89,16.44,8.19,2.41,22.91,7.98,4.32,28.31,8.44,4.63,0
