t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222010484000000,600,RECORD,P01,S01,thumbMcpIso,4,215,518,214,370,RECORD_START,1,0,222010484000000,22.03,23.58,10.52,20.24,5.84,3.57,14.63,5.69,1.56,21.35,4.56,2.84,27.47,5.87,4.07,0
222010500000000,601,RECORD,P01,S01,thumbMcpIso,4,215,518,214,370,,1,0,222010500000000,22.03,23.58,10.52,20.24,5.84,3.57,14.63,5.69,1.56,21.35,4.56,2.84,27.47,5.87,4.07,0
222010500000000,602,RECORD,P01,S01,thumbMcpIso,4,215,518,214,371,,1,0,222010500000000,22.03,23.58,10.52,20.24,5.84,3.57,14.63,5.69,1.56,21.35,4.56,2.84,27.47,5.87,4.07,0
222010515000000,603,RECORD,P01,S01,thumbMcpIso,4,214,518,214,370,,1,0,222010515000000,21.98,23.59,10.6,20.31,6.03,3.68,14.48,5.84,1.78,21.18,4.71,3.03,27.29,5.94,4.19,0
222010531000000,604,RECORD,P01,S01,thumbMcpIso,4,215,518,215,371,,1,0,222010531000000,21.98,23.59,10.6,20.31,6.03,3.68,14.48,5.84,1.78,21.18,4.71,3.03,27.29,5.94,4.19,0
222010531000000,605,RECORD,P01,S01,thumbMcpIso,4,215,518,214,371,,1,0,222010531000000,21.98,23.59,10.6,20.31,6.03,3.68,14.48,5.84,1.78,21.18,4.71,3.03,27.29,5.94,4.19,0
222010546000000,606,RECORD,P01,S01,thumbMcpIso,4,215,518,214,371,,1,0,222010546000000,21.98,23.59,10.6,20.31,6.03,3.68,14.48,5.84,1.78,21.18,4.71,3.03,27.29,5.94,4.19,0
222010546000000,607,RECORD,P01,S01,thumbMcpIso,4,216,521,215,373,,0,0,222010546000000,21.98,23.59,10.6,20.31,6.03,3.68,14.48,5.84,1.78,21.18,4.71,3.03,27.29,5.94,4.19,0
222010562000000,608,RECORD,P01,S01,thumbMcpIso,4,216,521,215,373,,0,0,222010562000000,21.43,23.69,10.75,20.44,6.16,3.52,14.9,5.93,1.57,21.65,4.75,2.79,27.67,5.96,4.03,0
222010578000000,609,RECORD,P01,S01,thumbMcpIso,4,216,520,215,373,,0,0,222010578000000,21.43,23.69,10.75,20.44,6.16,3.52,14.9,5.93,1.57,21.65,4.75,2.79,27.67,5.96,4.03,0
222010578000000,610,RECORD,P01,S01,thumbMcpIso,4,216,521,215,373,,0,0,222010578000000,21.43,23.69,10.75,20.44,6.16,3.52,14.9,5.93,1.57,21.65,4.75,2.79,27.67,5.96,4.03,0
222010593000000,611,RECORD,P01,S01,thumbMcpIso,4,216,521,215,373,,0,0,222010593000000,21.43,23.69,10.75,20.44,6.16,3.52,14.9,5.93,1.57,21.65,4.75,2.79,27.67,5.96,4.03,0
222010609000000,612,RECORD,P01,S01,thumbMcpIso,4,216,521,215,374,,0,0,222010609000000,21.81,23.62,12.22,20.68,6.2,3.62,15.19,6.07,1.73,21.99,4.91,2.91,27.8,6.07,4.08,0
222010609000000,613,RECORD,P01,S01,thumbMcpIso,4,216,521,215,373,,0,0,222010609000000,21.81,23.62,12.22,20.68,6.2,3.62,15.19,6.07,1.73,21.99,4.91,2.91,27.8,6.07,4.08,0
222010625000000,614,RECORD,P01,S01,thumbMcpIso,4,216,520,215,374,,0,0,222010625000000,21.81,23.62,12.22,20.68,6.2,3.62,15.19,6.07,1.73,21.99,4.91,2.91,27.8,6.07,4.08,0
222010640000000,615,RECORD,P01,S01,thumbMcpIso,4,216,521,215,374,,0,0,222010640000000,21.81,23.62,12.22,20.68,6.2,3.62,15.19,6.07,1.73,21.99,4.91,2.91,27.8,6.07,4.08,0
222010640000000,616,RECORD,P01,S01,thumbMcpIso,4,216,521,215,374,,0,0,222010640000000,21.81,23.62,12.22,20.68,6.2,3.62,15.19,6.07,1.73,21.99,4.91,2.91,27.8,6.07,4.08,0
222010656000000,617,RECORD,P01,S01,thumbMcpIso,4,216,521,215,374,,0,0,222010656000000,21.61,23.72,12.28,20.75,6.21,3.5,15.29,6.01,1.5,21.93,4.74,2.72,27.76,6.0,4.03,0
222010671000000,618,RECORD,P01,S01,thumbMcpIso,4,218,520,215,374,,0,0,222010671000000,21.61,23.72,12.28,20.75,6.21,3.5,15.29,6.01,1.5,21.93,4.74,2.72,27.76,6.0,4.03,0
222010671000000,619,RECORD,P01,S01,thumbMcpIso,4,216,521,215,374,,0,0,222010671000000,21.61,23.72,12.28,20.75,6.21,3.5,15.29,6.01,1.5,21.93,4.74,2.72,27.76,6.0,4.03,0
222010687000000,620,RECORD,P01,S01,thumbMcpIso,4,216,520,216,374,,0,0,222010687000000,21.61,23.72,12.28,20.75,6.21,3.5,15.29,6.01,1.5,21.93,4.74,2.72,27.76,6.0,4.03,0
222010687000000,621,RECORD,P01,S01,thumbMcpIso,4,217,521,215,375,,0,0,222010687000000,21.61,23.72,12.28,20.75,6.21,3.5,15.29,6.01,1.5,21.93,4.74,2.72,27.76,6.0,4.03,0
222010703000000,622,RECORD,P01,S01,thumbMcpIso,4,216,521,216,374,,0,0,222010703000000,21.91,23.76,10.86,19.77,5.74,3.56,14.3,5.56,1.52,21.32,4.43,2.82,27.39,5.85,4.12,0
222010718000000,623,RECORD,P01,S01,thumbMcpIso,4,215,520,215,374,,0,0,222010718000000,21.91,23.76,10.86,19.77,5.74,3.56,14.3,5.56,1.52,21.32,4.43,2.82,27.39,5.85,4.12,0
222010718000000,624,RECORD,P01,S01,thumbMcpIso,4,216,522,216,374,,0,0,222010718000000,21.91,23.76,10.86,19.77,5.74,3.56,14.3,5.56,1.52,21.32,4.43,2.82,27.39,5.85,4.12,0
222010734000000,625,RECORD,P01,S01,thumbMcpIso,4,215,522,215,374,,0,0,222010734000000,21.91,23.76,10.86,19.77,5.74,3.56,14.3,5.56,1.52,21.32,4.43,2.82,27.39,5.85,4.12,0
222010750000000,626,RECORD,P01,S01,thumbMcpIso,4,216,522,215,373,,0,0,222010750000000,21.18,23.72,12.34,19.68,5.49,3.58,14.31,5.54,1.56,21.52,4.47,2.86,27.42,5.89,4.34,0
222010750000000,627,RECORD,P01,S01,thumbMcpIso,4,216,522,215,374,,0,0,222010750000000,21.18,23.72,12.34,19.68,5.49,3.58,14.31,5.54,1.56,21.52,4.47,2.86,27.42,5.89,4.34,0
222010765000000,628,RECORD,P01,S01,thumbMcpIso,4,216,522,215,374,,0,0,222010765000000,21.18,23.72,12.34,19.68,5.49,3.58,14.31,5.54,1.56,21.52,4.47,2.86,27.42,5.89,4.34,0
222010781000000,629,RECORD,P01,S01,thumbMcpIso,4,216,523,216,374,,0,0,222010781000000,21.18,23.72,12.34,19.68,5.49,3.58,14.31,5.54,1.56,21.52,4.47,2.86,27.42,5.89,4.34,0
222010781000000,630,RECORD,P01,S01,thumbMcpIso,4,216,523,215,377,,0,0,222010781000000,21.18,23.72,12.34,19.68,5.49,3.58,14.31,5.54,1.56,21.52,4.47,2.86,27.42,5.89,4.34,0
222010796000000,631,RECORD,P01,S01,thumbMcpIso,4,216,523,215,377,,0,0,222010796000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010796000000,632,RECORD,P01,S01,thumbMcpIso,4,215,523,215,378,,0,0,222010796000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010812000000,633,RECORD,P01,S01,thumbMcpIso,4,216,524,215,378,,0,0,222010812000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010828000000,634,RECORD,P01,S01,thumbMcpIso,4,216,524,216,379,,0,0,222010828000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010828000000,635,RECORD,P01,S01,thumbMcpIso,4,217,524,215,379,,0,0,222010828000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010843000000,636,RECORD,P01,S01,thumbMcpIso,4,217,524,215,381,,0,0,222010843000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010859000000,637,RECORD,P01,S01,thumbMcpIso,4,217,525,215,379,,0,0,222010859000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010859000000,638,RECORD,P01,S01,thumbMcpIso,4,217,524,216,379,,0,0,222010859000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010875000000,639,RECORD,P01,S01,thumbMcpIso,4,217,524,216,379,,0,0,222010875000000,21.35,23.61,12.37,20.0,5.48,3.62,14.15,5.59,1.59,21.45,4.6,2.95,27.92,5.74,4.24,0
222010890000000,640,RECORD,P01,S01,thumbMcpIso,4,217,524,216,380,,0,0,222010890000000,22.68,23.66,10.39,20.66,5.92,3.69,15.19,5.82,1.66,21.95,4.65,2.94,28.01,5.94,4.23,0
222010890000000,641,RECORD,P01,S01,thumbMcpIso,4,216,524,215,378,,0,0,222010890000000,22.68,23.66,10.39,20.66,5.92,3.69,15.19,5.82,1.66,21.95,4.65,2.94,28.01,5.94,4.23,0
222010906000000,642,RECORD,P01,S01,thumbMcpIso,4,216,525,216,378,,0,0,222010906000000,22.68,23.66,10.39,20.66,5.92,3.69,15.19,5.82,1.66,21.95,4.65,2.94,28.01,5.94,4.23,0
222010921000000,643,RECORD,P01,S01,thumbMcpIso,4,217,524,215,379,,0,0,222010921000000,22.68,23.66,10.39,20.66,5.92,3.69,15.19,5.82,1.66,21.95,4.65,2.94,28.01,5.94,4.23,0
222010921000000,644,RECORD,P01,S01,thumbMcpIso,4,217,525,216,380,,0,0,222010921000000,22.68,23.66,10.39,20.66,5.92,3.69,15.19,5.82,1.66,21.95,4.65,2.94,28.01,5.94,4.23,0
222010937000000,645,RECORD,P01,S01,thumbMcpIso,4,217,527,216,379,,0,0,222010937000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222010937000000,646,RECORD,P01,S01,thumbMcpIso,4,217,528,215,380,,0,0,222010937000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222010953000000,647,RECORD,P01,S01,thumbMcpIso,4,217,530,216,380,,0,0,222010953000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222010968000000,648,RECORD,P01,S01,thumbMcpIso,4,218,531,216,379,,0,0,222010968000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222010968000000,649,RECORD,P01,S01,thumbMcpIso,4,217,532,216,379,,0,0,222010968000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222010984000000,650,RECORD,P01,S01,thumbMcpIso,4,216,533,216,378,,0,0,222010984000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222011000000000,651,RECORD,P01,S01,thumbMcpIso,4,218,533,216,379,,0,0,222011000000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222011000000000,652,RECORD,P01,S01,thumbMcpIso,4,217,534,216,376,,0,0,222011000000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
222011015000000,653,RECORD,P01,S01,thumbMcpIso,4,216,541,216,377,,0,0,222011015000000,22.4,23.47,10.46,20.56,6.28,3.59,15.29,6.24,1.58,22.01,4.97,2.84,28.2,5.72,4.06,0
