t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222941640000000,600,RECORD,P01,S01,tipPinch,53,201,296,199,337,RECORD_START,0,0,222941640000000,24.78,21.47,3.14,18.12,9.01,3.73,18.79,7.62,2.47,24.74,6.71,4.98,26.34,7.61,4.84,0
222941656000000,601,RECORD,P01,S01,tipPinch,53,201,297,199,336,,0,0,222941656000000,24.78,21.47,3.14,18.12,9.01,3.73,18.79,7.62,2.47,24.74,6.71,4.98,26.34,7.61,4.84,0
222941656000000,602,RECORD,P01,S01,tipPinch,53,200,296,200,338,,0,0,222941656000000,24.78,21.47,3.14,18.12,9.01,3.73,18.79,7.62,2.47,24.74,6.71,4.98,26.34,7.61,4.84,0
222941671000000,603,RECORD,P01,S01,tipPinch,53,201,297,200,337,,0,0,222941671000000,25.32,21.46,1.95,18.09,9.11,3.79,19.21,7.89,2.54,25.43,6.84,4.85,27.2,7.8,4.73,0
222941687000000,604,RECORD,P01,S01,tipPinch,53,200,299,200,338,,0,0,222941687000000,25.32,21.46,1.95,18.09,9.11,3.79,19.21,7.89,2.54,25.43,6.84,4.85,27.2,7.8,4.73,0
222941687000000,605,RECORD,P01,S01,tipPinch,53,201,299,201,336,,0,0,222941687000000,25.32,21.46,1.95,18.09,9.11,3.79,19.21,7.89,2.54,25.43,6.84,4.85,27.2,7.8,4.73,0
222941703000000,606,RECORD,P01,S01,tipPinch,53,203,304,201,337,,0,0,222941703000000,25.32,21.46,1.95,18.09,9.11,3.79,19.21,7.89,2.54,25.43,6.84,4.85,27.2,7.8,4.73,0
222941718000000,607,RECORD,P01,S01,tipPinch,53,202,304,200,338,,0,0,222941718000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941718000000,608,RECORD,P01,S01,tipPinch,53,202,305,201,338,,0,0,222941718000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941734000000,609,RECORD,P01,S01,tipPinch,53,201,304,201,339,,0,0,222941734000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941750000000,610,RECORD,P01,S01,tipPinch,53,203,304,199,338,,0,0,222941750000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941750000000,611,RECORD,P01,S01,tipPinch,53,203,304,201,339,,0,0,222941750000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941765000000,612,RECORD,P01,S01,tipPinch,53,203,306,201,338,,0,0,222941765000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941765000000,613,RECORD,P01,S01,tipPinch,53,203,305,199,339,,0,0,222941765000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941781000000,614,RECORD,P01,S01,tipPinch,53,208,306,201,340,,0,0,222941781000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941796000000,615,RECORD,P01,S01,tipPinch,53,208,305,204,339,,0,0,222941796000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941796000000,616,RECORD,P01,S01,tipPinch,53,209,306,202,345,,0,0,222941796000000,24.78,21.53,3.17,17.81,8.8,3.53,18.9,7.4,2.34,24.97,6.55,4.81,26.7,7.39,4.61,0
222941812000000,617,RECORD,P01,S01,tipPinch,53,209,305,202,348,,0,0,222941812000000,24.77,21.49,3.0,17.85,8.88,3.87,18.83,7.66,2.52,25.06,6.79,5.02,26.81,7.93,5.12,0
222941828000000,618,RECORD,P01,S01,tipPinch,53,209,305,203,349,,0,0,222941828000000,24.77,21.49,3.0,17.85,8.88,3.87,18.83,7.66,2.52,25.06,6.79,5.02,26.81,7.93,5.12,0
222941828000000,619,RECORD,P01,S01,tipPinch,53,211,305,206,349,,0,0,222941828000000,24.77,21.49,3.0,17.85,8.88,3.87,18.83,7.66,2.52,25.06,6.79,5.02,26.81,7.93,5.12,0
222941843000000,620,RECORD,P01,S01,tipPinch,53,210,306,203,349,,0,0,222941843000000,24.77,21.49,3.0,17.85,8.88,3.87,18.83,7.66,2.52,25.06,6.79,5.02,26.81,7.93,5.12,0
