t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222884640000000,600,RECORD,P01,S01,tripodGrip,50,200,323,218,340,RECORD_START,0,0,222884640000000,21.24,21.4,8.95,17.49,9.43,3.57,23.62,6.74,0.92,28.3,5.41,3.13,27.16,5.46,2.95,0
222884656000000,601,RECORD,P01,S01,tripodGrip,50,205,322,218,340,,0,0,222884656000000,21.24,21.4,8.95,17.49,9.43,3.57,23.62,6.74,0.92,28.3,5.41,3.13,27.16,5.46,2.95,0
222884656000000,602,RECORD,P01,S01,tripodGrip,50,205,322,217,343,,0,0,222884656000000,21.24,21.4,8.95,17.49,9.43,3.57,23.62,6.74,0.92,28.3,5.41,3.13,27.16,5.46,2.95,0
222884671000000,603,RECORD,P01,S01,tripodGrip,50,208,322,217,343,,0,0,222884671000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884687000000,604,RECORD,P01,S01,tripodGrip,50,207,322,218,343,,0,0,222884687000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884687000000,605,RECORD,P01,S01,tripodGrip,50,207,322,223,343,,0,0,222884687000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884703000000,606,RECORD,P01,S01,tripodGrip,50,210,321,222,343,,0,0,222884703000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884718000000,607,RECORD,P01,S01,tripodGrip,50,211,323,225,344,,0,0,222884718000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884718000000,608,RECORD,P01,S01,tripodGrip,50,212,323,225,346,,0,0,222884718000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884734000000,609,RECORD,P01,S01,tripodGrip,50,213,323,226,345,,0,0,222884734000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884750000000,610,RECORD,P01,S01,tripodGrip,50,212,324,225,346,,0,0,222884750000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884750000000,611,RECORD,P01,S01,tripodGrip,50,213,323,227,348,,0,0,222884750000000,22.11,21.69,8.15,17.85,9.27,3.24,23.72,7.0,1.11,28.32,5.59,3.16,27.14,5.47,3.05,0
222884765000000,612,RECORD,P01,S01,tripodGrip,50,214,324,226,348,,0,0,222884765000000,22.02,21.9,8.07,17.34,9.1,2.88,23.54,6.62,1.07,28.18,5.23,3.03,26.98,5.32,3.05,0
222884765000000,613,RECORD,P01,S01,tripodGrip,50,214,326,227,350,,0,0,222884765000000,22.02,21.9,8.07,17.34,9.1,2.88,23.54,6.62,1.07,28.18,5.23,3.03,26.98,5.32,3.05,0
222884781000000,614,RECORD,P01,S01,tripodGrip,50,217,324,226,348,,0,0,222884781000000,22.02,21.9,8.07,17.34,9.1,2.88,23.54,6.62,1.07,28.18,5.23,3.03,26.98,5.32,3.05,0
222884796000000,615,RECORD,P01,S01,tripodGrip,50,240,325,227,348,,0,0,222884796000000,22.02,21.9,8.07,17.34,9.1,2.88,23.54,6.62,1.07,28.18,5.23,3.03,26.98,5.32,3.05,0
222884796000000,616,RECORD,P01,S01,tripodGrip,50,239,325,227,349,,0,0,222884796000000,22.02,21.9,8.07,17.34,9.1,2.88,23.54,6.62,1.07,28.18,5.23,3.03,26.98,5.32,3.05,0
222884812000000,617,RECORD,P01,S01,tripodGrip,50,240,326,226,352,,0,0,222884812000000,22.0,21.95,8.2,17.23,9.11,3.07,23.4,6.49,1.01,28.14,5.11,2.95,27.06,5.13,2.97,0
222884828000000,618,RECORD,P01,S01,tripodGrip,50,244,325,228,353,,0,0,222884828000000,22.0,21.95,8.2,17.23,9.11,3.07,23.4,6.49,1.01,28.14,5.11,2.95,27.06,5.13,2.97,0
222884828000000,619,RECORD,P01,S01,tripodGrip,50,248,326,229,353,,0,0,222884828000000,22.0,21.95,8.2,17.23,9.11,3.07,23.4,6.49,1.01,28.14,5.11,2.95,27.06,5.13,2.97,0
222884843000000,620,RECORD,P01,S01,tripodGrip,50,248,326,231,353,,0,0,222884843000000,22.0,21.95,8.2,17.23,9.11,3.07,23.4,6.49,1.01,28.14,5.11,2.95,27.06,5.13,2.97,0
222884859000000,621,RECORD,P01,S01,tripodGrip,50,246,335,229,355,,0,0,222884859000000,22.28,21.95,7.82,17.32,9.16,2.95,23.47,6.43,1.0,28.11,4.99,2.95,26.96,5.08,2.96,0
222884859000000,622,RECORD,P01,S01,tripodGrip,50,246,335,229,368,,0,0,222884859000000,22.28,21.95,7.82,17.32,9.16,2.95,23.47,6.43,1.0,28.11,4.99,2.95,26.96,5.08,2.96,0
222884875000000,623,RECORD,P01,S01,tripodGrip,50,246,334,230,370,,0,0,222884875000000,22.28,21.95,7.82,17.32,9.16,2.95,23.47,6.43,1.0,28.11,4.99,2.95,26.96,5.08,2.96,0
222884875000000,624,RECORD,P01,S01,tripodGrip,50,247,333,229,374,,0,0,222884875000000,22.28,21.95,7.82,17.32,9.16,2.95,23.47,6.43,1.0,28.11,4.99,2.95,26.96,5.08,2.96,0
222884890000000,625,RECORD,P01,S01,tripodGrip,50,249,338,229,371,,0,0,222884890000000,22.28,21.95,7.82,17.32,9.16,2.95,23.47,6.43,1.0,28.11,4.99,2.95,26.96,5.08,2.96,0
222884906000000,626,RECORD,P01,S01,tripodGrip,50,245,338,229,374,,0,0,222884906000000,22.27,22.03,7.93,17.63,9.13,2.92,23.7,6.46,0.99,28.27,5.06,2.95,27.05,5.12,3.0,0
222884906000000,627,RECORD,P01,S01,tripodGrip,50,246,339,227,373,,0,0,222884906000000,22.27,22.03,7.93,17.63,9.13,2.92,23.7,6.46,0.99,28.27,5.06,2.95,27.05,5.12,3.0,0
222884921000000,628,RECORD,P01,S01,tripodGrip,50,252,338,229,373,,0,0,222884921000000,22.27,22.03,7.93,17.63,9.13,2.92,23.7,6.46,0.99,28.27,5.06,2.95,27.05,5.12,3.0,0
222884937000000,629,RECORD,P01,S01,tripodGrip,50,249,338,228,373,,0,0,222884937000000,22.27,22.03,7.93,17.63,9.13,2.92,23.7,6.46,0.99,28.27,5.06,2.95,27.05,5.12,3.0,0
222884937000000,630,RECORD,P01,S01,tripodGrip,50,248,337,226,373,,0,0,222884937000000,22.27,22.03,7.93,17.63,9.13,2.92,23.7,6.46,0.99,28.27,5.06,2.95,27.05,5.12,3.0,0
222884953000000,631,RECORD,P01,S01,tripodGrip,50,253,337,227,374,,0,0,222884953000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
222884968000000,632,RECORD,P01,S01,tripodGrip,50,257,339,227,372,,0,0,222884968000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
222884968000000,633,RECORD,P01,S01,tripodGrip,50,271,341,226,375,,0,0,222884968000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
222884984000000,634,RECORD,P01,S01,tripodGrip,50,274,340,228,387,,0,0,222884984000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
222885000000000,635,RECORD,P01,S01,tripodGrip,50,292,341,229,388,,0,0,222885000000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
222885000000000,636,RECORD,P01,S01,tripodGrip,50,301,341,228,387,,0,0,222885000000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
222885015000000,637,RECORD,P01,S01,tripodGrip,50,302,344,228,387,,0,0,222885015000000,22.52,22.15,7.39,18.11,8.92,2.83,24.12,6.67,1.23,28.71,5.4,2.93,27.43,5.35,3.02,0
