t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223264656000000,600,RECORD,P01,S01,counting,70,752,650,592,584,RECORD_START,0,0,223264656000000,32.84,30.39,40.35,31.87,153.31,23.78,22.58,140.73,31.19,33.19,136.02,29.72,43.27,125.39,42.46,0
223264671000000,601,RECORD,P01,S01,counting,70,752,649,591,584,,0,0,223264671000000,32.84,30.39,40.35,31.87,153.31,23.78,22.58,140.73,31.19,33.19,136.02,29.72,43.27,125.39,42.46,0
223264671000000,602,RECORD,P01,S01,counting,70,753,649,592,584,,0,0,223264671000000,32.84,30.39,40.35,31.87,153.31,23.78,22.58,140.73,31.19,33.19,136.02,29.72,43.27,125.39,42.46,0
223264687000000,603,RECORD,P01,S01,counting,70,754,649,591,584,,0,0,223264687000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264703000000,604,RECORD,P01,S01,counting,70,752,647,590,583,,0,0,223264703000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264703000000,605,RECORD,P01,S01,counting,70,753,644,592,584,,0,0,223264703000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264718000000,606,RECORD,P01,S01,counting,70,752,643,590,583,,0,0,223264718000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264718000000,607,RECORD,P01,S01,counting,70,753,643,590,583,,0,0,223264718000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264734000000,608,RECORD,P01,S01,counting,70,752,644,591,584,,0,0,223264734000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264750000000,609,RECORD,P01,S01,counting,70,752,643,590,584,,0,0,223264750000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264750000000,610,RECORD,P01,S01,counting,70,754,643,591,584,,0,0,223264750000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264765000000,611,RECORD,P01,S01,counting,70,753,643,590,583,,0,0,223264765000000,32.56,31.0,40.34,33.77,153.68,22.45,23.67,140.3,30.52,33.8,135.8,29.23,43.69,124.79,42.52,0
223264781000000,612,RECORD,P01,S01,counting,70,753,643,591,583,,0,0,223264781000000,32.2,30.35,39.16,32.17,154.79,22.77,22.37,141.77,29.84,32.61,136.44,29.06,42.91,125.11,42.32,0
223264781000000,613,RECORD,P01,S01,counting,70,752,643,591,583,,0,0,223264781000000,32.2,30.35,39.16,32.17,154.79,22.77,22.37,141.77,29.84,32.61,136.44,29.06,42.91,125.11,42.32,0
223264796000000,614,RECORD,P01,S01,counting,70,756,643,590,583,,0,0,223264796000000,32.2,30.35,39.16,32.17,154.79,22.77,22.37,141.77,29.84,32.61,136.44,29.06,42.91,125.11,42.32,0
223264812000000,615,RECORD,P01,S01,counting,70,752,644,591,582,,0,0,223264812000000,32.2,30.35,39.16,32.17,154.79,22.77,22.37,141.77,29.84,32.61,136.44,29.06,42.91,125.11,42.32,0
223264812000000,616,RECORD,P01,S01,counting,70,753,643,590,581,,0,0,223264812000000,32.2,30.35,39.16,32.17,154.79,22.77,22.37,141.77,29.84,32.61,136.44,29.06,42.91,125.11,42.32,0
223264828000000,617,RECORD,P01,S01,counting,70,753,644,590,581,,0,0,223264828000000,32.33,30.33,38.58,33.11,153.2,22.64,23.25,140.21,30.25,33.38,135.85,28.99,43.35,125.59,41.53,0
223264828000000,618,RECORD,P01,S01,counting,70,753,644,590,581,,0,0,223264828000000,32.33,30.33,38.58,33.11,153.2,22.64,23.25,140.21,30.25,33.38,135.85,28.99,43.35,125.59,41.53,0
