t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223131656000000,600,RECORD,P01,S01,extensionGrip,63,311,437,253,386,RECORD_START,0,0,223131656000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131656000000,601,RECORD,P01,S01,extensionGrip,63,310,436,253,384,,0,0,223131656000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131671000000,602,RECORD,P01,S01,extensionGrip,63,310,435,254,386,,0,0,223131671000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131687000000,603,RECORD,P01,S01,extensionGrip,63,310,435,254,386,,0,0,223131687000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131687000000,604,RECORD,P01,S01,extensionGrip,63,311,437,253,385,,0,0,223131687000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131703000000,605,RECORD,P01,S01,extensionGrip,63,312,437,255,387,,0,0,223131703000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131718000000,606,RECORD,P01,S01,extensionGrip,63,311,437,253,384,,0,0,223131718000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131718000000,607,RECORD,P01,S01,extensionGrip,63,311,436,255,387,,0,0,223131718000000,23.47,18.03,17.16,17.05,5.05,3.22,10.23,5.01,2.15,16.72,3.86,3.29,25.42,5.22,2.91,0
223131734000000,608,RECORD,P01,S01,extensionGrip,63,311,438,254,387,,0,0,223131734000000,23.38,17.7,16.86,16.97,5.16,3.22,10.29,4.98,2.37,16.88,3.79,3.37,25.56,5.32,2.9,0
223131750000000,609,RECORD,P01,S01,extensionGrip,63,311,437,254,384,,0,0,223131750000000,23.38,17.7,16.86,16.97,5.16,3.22,10.29,4.98,2.37,16.88,3.79,3.37,25.56,5.32,2.9,0
223131750000000,610,RECORD,P01,S01,extensionGrip,63,311,437,254,385,,0,0,223131750000000,23.38,17.7,16.86,16.97,5.16,3.22,10.29,4.98,2.37,16.88,3.79,3.37,25.56,5.32,2.9,0
223131765000000,611,RECORD,P01,S01,extensionGrip,63,310,437,253,385,,0,0,223131765000000,23.38,17.7,16.86,16.97,5.16,3.22,10.29,4.98,2.37,16.88,3.79,3.37,25.56,5.32,2.9,0
223131781000000,612,RECORD,P01,S01,extensionGrip,63,311,436,254,385,,0,0,223131781000000,22.9,17.65,16.7,17.12,5.15,3.13,10.0,4.96,2.22,16.66,4.03,3.22,25.37,5.4,2.82,0
223131781000000,613,RECORD,P01,S01,extensionGrip,63,310,436,254,391,,0,0,223131781000000,22.9,17.65,16.7,17.12,5.15,3.13,10.0,4.96,2.22,16.66,4.03,3.22,25.37,5.4,2.82,0
223131796000000,614,RECORD,P01,S01,extensionGrip,63,309,436,255,385,,0,0,223131796000000,22.9,17.65,16.7,17.12,5.15,3.13,10.0,4.96,2.22,16.66,4.03,3.22,25.37,5.4,2.82,0
223131796000000,615,RECORD,P01,S01,extensionGrip,63,311,435,259,385,,0,0,223131796000000,22.9,17.65,16.7,17.12,5.15,3.13,10.0,4.96,2.22,16.66,4.03,3.22,25.37,5.4,2.82,0
223131812000000,616,RECORD,P01,S01,extensionGrip,63,311,436,252,385,,0,0,223131812000000,22.9,17.65,16.7,17.12,5.15,3.13,10.0,4.96,2.22,16.66,4.03,3.22,25.37,5.4,2.82,0
223131828000000,617,RECORD,P01,S01,extensionGrip,63,310,443,253,385,,0,0,223131828000000,23.68,17.96,18.03,17.57,5.18,3.3,10.7,5.27,2.06,17.68,4.15,3.06,26.0,5.54,2.7,0
223131828000000,618,RECORD,P01,S01,extensionGrip,63,310,437,253,385,,0,0,223131828000000,23.68,17.96,18.03,17.57,5.18,3.3,10.7,5.27,2.06,17.68,4.15,3.06,26.0,5.54,2.7,0
223131843000000,619,RECORD,P01,S01,extensionGrip,63,310,438,253,386,,0,0,223131843000000,23.68,17.96,18.03,17.57,5.18,3.3,10.7,5.27,2.06,17.68,4.15,3.06,26.0,5.54,2.7,0
223131859000000,620,RECORD,P01,S01,extensionGrip,63,310,437,254,385,,0,0,223131859000000,23.68,17.96,18.03,17.57,5.18,3.3,10.7,5.27,2.06,17.68,4.15,3.06,26.0,5.54,2.7,0
223131859000000,621,RECORD,P01,S01,extensionGrip,63,311,437,254,386,,0,0,223131859000000,23.68,17.96,18.03,17.57,5.18,3.3,10.7,5.27,2.06,17.68,4.15,3.06,26.0,5.54,2.7,0
223131875000000,622,RECORD,P01,S01,extensionGrip,63,311,437,254,385,,0,0,223131875000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131890000000,623,RECORD,P01,S01,extensionGrip,63,312,436,258,384,,0,0,223131890000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131890000000,624,RECORD,P01,S01,extensionGrip,63,311,437,254,386,,0,0,223131890000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131906000000,625,RECORD,P01,S01,extensionGrip,63,312,436,254,385,,0,0,223131906000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131921000000,626,RECORD,P01,S01,extensionGrip,63,311,436,254,385,,0,0,223131921000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131921000000,627,RECORD,P01,S01,extensionGrip,63,310,437,254,385,,0,0,223131921000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131937000000,628,RECORD,P01,S01,extensionGrip,63,311,436,253,385,,0,0,223131937000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131937000000,629,RECORD,P01,S01,extensionGrip,63,310,437,254,388,,0,0,223131937000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131953000000,630,RECORD,P01,S01,extensionGrip,63,310,437,254,382,,0,0,223131953000000,23.88,18.03,16.45,17.15,5.0,3.12,10.06,4.85,2.05,16.5,3.84,3.07,25.18,5.24,2.87,0
223131968000000,631,RECORD,P01,S01,extensionGrip,63,312,439,254,384,,0,0,223131968000000,24.3,18.18,17.6,17.38,5.14,3.33,10.62,5.09,2.17,17.32,3.89,3.19,25.82,5.28,2.84,0
223131968000000,632,RECORD,P01,S01,extensionGrip,63,309,438,254,383,,0,0,223131968000000,24.3,18.18,17.6,17.38,5.14,3.33,10.62,5.09,2.17,17.32,3.89,3.19,25.82,5.28,2.84,0
223131984000000,633,RECORD,P01,S01,extensionGrip,63,311,437,256,384,,0,0,223131984000000,24.3,18.18,17.6,17.38,5.14,3.33,10.62,5.09,2.17,17.32,3.89,3.19,25.82,5.28,2.84,0
223132000000000,634,RECORD,P01,S01,extensionGrip,63,309,437,253,385,,0,0,223132000000000,24.3,18.18,17.6,17.38,5.14,3.33,10.62,5.09,2.17,17.32,3.89,3.19,25.82,5.28,2.84,0
223132000000000,635,RECORD,P01,S01,extensionGrip,63,311,437,254,386,,0,0,223132000000000,24.3,18.18,17.6,17.38,5.14,3.33,10.62,5.09,2.17,17.32,3.89,3.19,25.82,5.28,2.84,0
223132015000000,636,RECORD,P01,S01,extensionGrip,63,312,436,252,386,,0,0,223132015000000,24.12,18.09,16.69,17.49,4.95,3.32,10.59,4.95,2.28,17.08,4.06,3.11,25.99,5.43,2.91,0
223132031000000,637,RECORD,P01,S01,extensionGrip,63,310,437,254,383,,0,0,223132031000000,24.12,18.09,16.69,17.49,4.95,3.32,10.59,4.95,2.28,17.08,4.06,3.11,25.99,5.43,2.91,0
223132031000000,638,RECORD,P01,S01,extensionGrip,63,310,438,254,383,,0,0,223132031000000,24.12,18.09,16.69,17.49,4.95,3.32,10.59,4.95,2.28,17.08,4.06,3.11,25.99,5.43,2.91,0
223132046000000,639,RECORD,P01,S01,extensionGrip,63,310,437,254,386,,0,0,223132046000000,24.12,18.09,16.69,17.49,4.95,3.32,10.59,4.95,2.28,17.08,4.06,3.11,25.99,5.43,2.91,0
