t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223207656000000,600,RECORD,P01,S01,fingerSpread,67,858,925,464,687,RECORD_START,0,0,223207656000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207656000000,601,RECORD,P01,S01,fingerSpread,67,858,925,465,687,,0,0,223207656000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207671000000,602,RECORD,P01,S01,fingerSpread,67,859,925,466,689,,0,0,223207671000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207687000000,603,RECORD,P01,S01,fingerSpread,67,859,924,468,689,,0,0,223207687000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207687000000,604,RECORD,P01,S01,fingerSpread,67,859,925,468,689,,0,0,223207687000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207703000000,605,RECORD,P01,S01,fingerSpread,67,860,926,470,689,,0,0,223207703000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207718000000,606,RECORD,P01,S01,fingerSpread,67,860,924,469,689,,0,0,223207718000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207718000000,607,RECORD,P01,S01,fingerSpread,67,860,924,470,689,,0,0,223207718000000,9.35,1.76,12.84,2.16,2.07,4.11,5.19,2.71,1.21,6.99,7.25,2.19,9.18,9.29,3.94,0
223207734000000,608,RECORD,P01,S01,fingerSpread,67,861,924,470,690,,0,0,223207734000000,8.18,1.24,13.11,2.66,3.01,4.25,4.92,3.29,1.89,6.04,6.94,2.99,8.13,9.25,4.34,0
223207750000000,609,RECORD,P01,S01,fingerSpread,67,860,923,470,688,,0,0,223207750000000,8.18,1.24,13.11,2.66,3.01,4.25,4.92,3.29,1.89,6.04,6.94,2.99,8.13,9.25,4.34,0
223207750000000,610,RECORD,P01,S01,fingerSpread,67,862,924,471,687,,0,0,223207750000000,8.18,1.24,13.11,2.66,3.01,4.25,4.92,3.29,1.89,6.04,6.94,2.99,8.13,9.25,4.34,0
223207765000000,611,RECORD,P01,S01,fingerSpread,67,862,925,471,687,,0,0,223207765000000,8.18,1.24,13.11,2.66,3.01,4.25,4.92,3.29,1.89,6.04,6.94,2.99,8.13,9.25,4.34,0
223207781000000,612,RECORD,P01,S01,fingerSpread,67,861,925,472,689,,0,0,223207781000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207781000000,613,RECORD,P01,S01,fingerSpread,67,863,925,472,688,,0,0,223207781000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207796000000,614,RECORD,P01,S01,fingerSpread,67,863,923,472,689,,0,0,223207796000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207812000000,615,RECORD,P01,S01,fingerSpread,67,866,924,473,687,,0,0,223207812000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207812000000,616,RECORD,P01,S01,fingerSpread,67,867,923,472,687,,0,0,223207812000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207828000000,617,RECORD,P01,S01,fingerSpread,67,868,924,472,687,,0,0,223207828000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207828000000,618,RECORD,P01,S01,fingerSpread,67,868,924,472,689,,0,0,223207828000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207843000000,619,RECORD,P01,S01,fingerSpread,67,868,924,473,689,,0,0,223207843000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207859000000,620,RECORD,P01,S01,fingerSpread,67,868,924,472,689,,0,0,223207859000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207859000000,621,RECORD,P01,S01,fingerSpread,67,868,923,472,690,,0,0,223207859000000,7.93,1.23,12.8,3.18,3.04,4.54,4.54,3.23,2.2,6.06,6.91,3.49,7.75,9.5,4.68,0
223207875000000,622,RECORD,P01,S01,fingerSpread,67,868,924,471,689,,0,0,223207875000000,8.54,2.21,12.96,3.15,2.78,4.41,4.51,3.22,1.98,6.36,7.06,3.29,8.3,9.33,4.29,0
223207890000000,623,RECORD,P01,S01,fingerSpread,67,868,923,470,688,,0,0,223207890000000,8.54,2.21,12.96,3.15,2.78,4.41,4.51,3.22,1.98,6.36,7.06,3.29,8.3,9.33,4.29,0
223207890000000,624,RECORD,P01,S01,fingerSpread,67,869,924,470,688,,0,0,223207890000000,8.54,2.21,12.96,3.15,2.78,4.41,4.51,3.22,1.98,6.36,7.06,3.29,8.3,9.33,4.29,0
223207906000000,625,RECORD,P01,S01,fingerSpread,67,868,924,469,688,,0,0,223207906000000,8.54,2.21,12.96,3.15,2.78,4.41,4.51,3.22,1.98,6.36,7.06,3.29,8.3,9.33,4.29,0
223207921000000,626,RECORD,P01,S01,fingerSpread,67,869,924,468,686,,0,0,223207921000000,8.56,1.34,13.48,2.99,2.58,4.6,4.83,3.19,2.2,6.9,6.97,3.24,8.84,9.62,4.18,0
223207921000000,627,RECORD,P01,S01,fingerSpread,67,869,924,467,687,,0,0,223207921000000,8.56,1.34,13.48,2.99,2.58,4.6,4.83,3.19,2.2,6.9,6.97,3.24,8.84,9.62,4.18,0
223207937000000,628,RECORD,P01,S01,fingerSpread,67,867,924,468,687,,0,0,223207937000000,8.56,1.34,13.48,2.99,2.58,4.6,4.83,3.19,2.2,6.9,6.97,3.24,8.84,9.62,4.18,0
223207953000000,629,RECORD,P01,S01,fingerSpread,67,866,924,467,688,,0,0,223207953000000,8.56,1.34,13.48,2.99,2.58,4.6,4.83,3.19,2.2,6.9,6.97,3.24,8.84,9.62,4.18,0
223207953000000,630,RECORD,P01,S01,fingerSpread,67,867,923,466,688,,0,0,223207953000000,8.56,1.34,13.48,2.99,2.58,4.6,4.83,3.19,2.2,6.9,6.97,3.24,8.84,9.62,4.18,0
223207968000000,631,RECORD,P01,S01,fingerSpread,67,867,923,466,685,,0,0,223207968000000,8.38,1.55,12.73,3.2,2.73,4.56,4.59,3.22,1.98,6.54,6.54,3.23,8.37,9.09,4.23,0
223207968000000,632,RECORD,P01,S01,fingerSpread,67,866,924,467,686,,0,0,223207968000000,8.38,1.55,12.73,3.2,2.73,4.56,4.59,3.22,1.98,6.54,6.54,3.23,8.37,9.09,4.23,0
223207984000000,633,RECORD,P01,S01,fingerSpread,67,866,922,465,686,,0,0,223207984000000,8.38,1.55,12.73,3.2,2.73,4.56,4.59,3.22,1.98,6.54,6.54,3.23,8.37,9.09,4.23,0
223208000000000,634,RECORD,P01,S01,fingerSpread,67,867,924,466,687,,0,0,223208000000000,8.38,1.55,12.73,3.2,2.73,4.56,4.59,3.22,1.98,6.54,6.54,3.23,8.37,9.09,4.23,0
223208000000000,635,RECORD,P01,S01,fingerSpread,67,866,923,464,686,,0,0,223208000000000,8.38,1.55,12.73,3.2,2.73,4.56,4.59,3.22,1.98,6.54,6.54,3.23,8.37,9.09,4.23,0
223208015000000,636,RECORD,P01,S01,fingerSpread,67,866,922,463,684,,0,0,223208015000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208031000000,637,RECORD,P01,S01,fingerSpread,67,866,923,463,683,,0,0,223208031000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208031000000,638,RECORD,P01,S01,fingerSpread,67,865,923,463,683,,0,0,223208031000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208046000000,639,RECORD,P01,S01,fingerSpread,67,866,921,462,684,,0,0,223208046000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208062000000,640,RECORD,P01,S01,fingerSpread,67,866,923,463,684,,0,0,223208062000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208062000000,641,RECORD,P01,S01,fingerSpread,67,867,922,463,683,,0,0,223208062000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208078000000,642,RECORD,P01,S01,fingerSpread,67,867,923,464,685,,0,0,223208078000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208078000000,643,RECORD,P01,S01,fingerSpread,67,867,923,464,684,,0,0,223208078000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
223208093000000,644,RECORD,P01,S01,fingerSpread,67,866,922,464,684,,0,0,223208093000000,8.4,1.42,13.53,2.87,2.89,4.42,4.47,3.25,2.26,6.25,7.0,3.29,8.17,9.49,4.5,0
