t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
223150656000000,600,RECORD,P01,S01,handOpen,64,595,622,354,430,RECORD_START,0,0,223150656000000,14.63,11.19,17.32,8.45,4.12,4.01,7.03,5.31,2.05,10.03,6.14,4.78,12.53,8.06,6.79,0
223150671000000,601,RECORD,P01,S01,handOpen,64,603,613,351,431,,0,0,223150671000000,14.63,11.19,17.32,8.45,4.12,4.01,7.03,5.31,2.05,10.03,6.14,4.78,12.53,8.06,6.79,0
223150671000000,602,RECORD,P01,S01,handOpen,64,607,609,352,435,,0,0,223150671000000,14.63,11.19,17.32,8.45,4.12,4.01,7.03,5.31,2.05,10.03,6.14,4.78,12.53,8.06,6.79,0
223150687000000,603,RECORD,P01,S01,handOpen,64,600,599,351,437,,0,0,223150687000000,14.63,11.19,17.32,8.45,4.12,4.01,7.03,5.31,2.05,10.03,6.14,4.78,12.53,8.06,6.79,0
223150687000000,604,RECORD,P01,S01,handOpen,64,600,594,352,437,,0,0,223150687000000,14.63,11.19,17.32,8.45,4.12,4.01,7.03,5.31,2.05,10.03,6.14,4.78,12.53,8.06,6.79,0
223150703000000,605,RECORD,P01,S01,handOpen,64,600,592,352,440,,0,0,223150703000000,15.64,12.75,17.24,8.28,3.8,3.69,6.77,4.89,2.01,9.54,5.53,4.72,12.37,7.62,6.13,0
223150718000000,606,RECORD,P01,S01,handOpen,64,602,592,352,441,,0,0,223150718000000,15.64,12.75,17.24,8.28,3.8,3.69,6.77,4.89,2.01,9.54,5.53,4.72,12.37,7.62,6.13,0
223150718000000,607,RECORD,P01,S01,handOpen,64,604,589,352,442,,0,0,223150718000000,15.64,12.75,17.24,8.28,3.8,3.69,6.77,4.89,2.01,9.54,5.53,4.72,12.37,7.62,6.13,0
223150734000000,608,RECORD,P01,S01,handOpen,64,605,591,358,442,,0,0,223150734000000,15.64,12.75,17.24,8.28,3.8,3.69,6.77,4.89,2.01,9.54,5.53,4.72,12.37,7.62,6.13,0
223150750000000,609,RECORD,P01,S01,handOpen,64,604,590,357,443,,0,0,223150750000000,16.24,13.86,16.45,8.84,4.11,3.61,7.07,5.0,1.86,9.47,5.61,4.35,12.31,7.36,5.84,0
223150750000000,610,RECORD,P01,S01,handOpen,64,605,588,356,445,,0,0,223150750000000,16.24,13.86,16.45,8.84,4.11,3.61,7.07,5.0,1.86,9.47,5.61,4.35,12.31,7.36,5.84,0
223150765000000,611,RECORD,P01,S01,handOpen,64,610,580,353,442,,0,0,223150765000000,16.24,13.86,16.45,8.84,4.11,3.61,7.07,5.0,1.86,9.47,5.61,4.35,12.31,7.36,5.84,0
223150781000000,612,RECORD,P01,S01,handOpen,64,610,576,352,442,,0,0,223150781000000,16.24,13.86,16.45,8.84,4.11,3.61,7.07,5.0,1.86,9.47,5.61,4.35,12.31,7.36,5.84,0
223150781000000,613,RECORD,P01,S01,handOpen,64,614,574,354,444,,0,0,223150781000000,16.24,13.86,16.45,8.84,4.11,3.61,7.07,5.0,1.86,9.47,5.61,4.35,12.31,7.36,5.84,0
223150796000000,614,RECORD,P01,S01,handOpen,64,617,572,354,444,,0,0,223150796000000,16.53,13.49,16.11,9.14,4.36,3.63,7.08,5.23,2.16,9.5,5.88,4.51,12.83,7.43,5.86,0
223150812000000,615,RECORD,P01,S01,handOpen,64,618,567,353,445,,0,0,223150812000000,16.53,13.49,16.11,9.14,4.36,3.63,7.08,5.23,2.16,9.5,5.88,4.51,12.83,7.43,5.86,0
223150812000000,616,RECORD,P01,S01,handOpen,64,609,561,350,437,,0,0,223150812000000,16.53,13.49,16.11,9.14,4.36,3.63,7.08,5.23,2.16,9.5,5.88,4.51,12.83,7.43,5.86,0
223150828000000,617,RECORD,P01,S01,handOpen,64,612,552,348,432,,0,0,223150828000000,16.53,13.49,16.11,9.14,4.36,3.63,7.08,5.23,2.16,9.5,5.88,4.51,12.83,7.43,5.86,0
223150828000000,618,RECORD,P01,S01,handOpen,64,611,554,349,440,,0,0,223150828000000,16.53,13.49,16.11,9.14,4.36,3.63,7.08,5.23,2.16,9.5,5.88,4.51,12.83,7.43,5.86,0
223150843000000,619,RECORD,P01,S01,handOpen,64,616,550,353,439,,0,0,223150843000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150859000000,620,RECORD,P01,S01,handOpen,64,616,545,352,439,,0,0,223150859000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150859000000,621,RECORD,P01,S01,handOpen,64,617,543,356,438,,0,0,223150859000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150875000000,622,RECORD,P01,S01,handOpen,64,616,538,354,437,,0,0,223150875000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150890000000,623,RECORD,P01,S01,handOpen,64,615,523,350,421,,0,0,223150890000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150890000000,624,RECORD,P01,S01,handOpen,64,593,517,346,421,,0,0,223150890000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150906000000,625,RECORD,P01,S01,handOpen,64,608,502,344,425,,0,0,223150906000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150921000000,626,RECORD,P01,S01,handOpen,64,597,493,340,423,,0,0,223150921000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150921000000,627,RECORD,P01,S01,handOpen,64,594,495,342,429,,0,0,223150921000000,16.03,14.04,17.69,8.92,4.01,3.94,6.8,5.35,2.19,9.29,6.33,4.67,13.0,8.0,5.92,0
223150937000000,628,RECORD,P01,S01,handOpen,64,588,493,331,433,,0,0,223150937000000,16.4,13.81,17.19,10.26,4.2,3.84,7.55,5.85,2.61,10.11,6.6,4.7,14.99,8.69,5.77,0
223150937000000,629,RECORD,P01,S01,handOpen,64,590,492,336,424,,0,0,223150937000000,16.4,13.81,17.19,10.26,4.2,3.84,7.55,5.85,2.61,10.11,6.6,4.7,14.99,8.69,5.77,0
223150953000000,630,RECORD,P01,S01,handOpen,64,590,490,324,425,,0,0,223150953000000,16.4,13.81,17.19,10.26,4.2,3.84,7.55,5.85,2.61,10.11,6.6,4.7,14.99,8.69,5.77,0
223150968000000,631,RECORD,P01,S01,handOpen,64,589,490,323,425,,0,0,223150968000000,16.4,13.81,17.19,10.26,4.2,3.84,7.55,5.85,2.61,10.11,6.6,4.7,14.99,8.69,5.77,0
223150968000000,632,RECORD,P01,S01,handOpen,64,592,484,322,428,,0,0,223150968000000,16.4,13.81,17.19,10.26,4.2,3.84,7.55,5.85,2.61,10.11,6.6,4.7,14.99,8.69,5.77,0
223150984000000,633,RECORD,P01,S01,handOpen,64,588,487,316,427,,0,0,223150984000000,17.16,14.59,16.03,10.73,4.27,3.83,8.15,5.69,2.29,11.07,6.38,4.15,16.73,8.23,5.2,0
223151000000000,634,RECORD,P01,S01,handOpen,64,586,488,314,424,,0,0,223151000000000,17.16,14.59,16.03,10.73,4.27,3.83,8.15,5.69,2.29,11.07,6.38,4.15,16.73,8.23,5.2,0
223151000000000,635,RECORD,P01,S01,handOpen,64,585,489,308,429,,0,0,223151000000000,17.16,14.59,16.03,10.73,4.27,3.83,8.15,5.69,2.29,11.07,6.38,4.15,16.73,8.23,5.2,0
223151015000000,636,RECORD,P01,S01,handOpen,64,584,490,296,429,,0,0,223151015000000,17.16,14.59,16.03,10.73,4.27,3.83,8.15,5.69,2.29,11.07,6.38,4.15,16.73,8.23,5.2,0
223151031000000,637,RECORD,P01,S01,handOpen,64,582,490,296,430,,0,0,223151031000000,17.19,15.1,16.46,10.92,4.74,3.96,8.58,6.05,2.19,12.3,7.0,4.29,18.66,8.52,5.54,0
223151031000000,638,RECORD,P01,S01,handOpen,64,580,490,297,432,,0,0,223151031000000,17.19,15.1,16.46,10.92,4.74,3.96,8.58,6.05,2.19,12.3,7.0,4.29,18.66,8.52,5.54,0
