t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222238500000000,601,RECORD,P01,S01,indexDipIso,16,470,562,231,422,RECORD_START,1,0,222238500000000,17.11,18.36,15.72,14.94,5.07,4.52,9.37,5.75,2.64,14.16,5.54,3.49,21.22,6.54,3.89,0
222238515000000,602,RECORD,P01,S01,indexDipIso,16,471,567,232,423,,1,0,222238515000000,17.11,18.36,15.72,14.94,5.07,4.52,9.37,5.75,2.64,14.16,5.54,3.49,21.22,6.54,3.89,0
222238531000000,603,RECORD,P01,S01,indexDipIso,16,473,562,232,422,,1,0,222238531000000,17.17,18.24,16.36,14.67,5.12,4.49,9.34,5.76,2.64,14.26,5.55,3.59,21.5,6.47,3.89,0
222238531000000,604,RECORD,P01,S01,indexDipIso,16,475,567,234,423,,1,0,222238531000000,17.17,18.24,16.36,14.67,5.12,4.49,9.34,5.76,2.64,14.26,5.55,3.59,21.5,6.47,3.89,0
222238546000000,605,RECORD,P01,S01,indexDipIso,16,474,569,233,423,,1,0,222238546000000,17.17,18.24,16.36,14.67,5.12,4.49,9.34,5.76,2.64,14.26,5.55,3.59,21.5,6.47,3.89,0
222238562000000,606,RECORD,P01,S01,indexDipIso,16,479,577,234,425,,0,0,222238562000000,17.17,18.24,16.36,14.67,5.12,4.49,9.34,5.76,2.64,14.26,5.55,3.59,21.5,6.47,3.89,0
222238562000000,607,RECORD,P01,S01,indexDipIso,16,477,581,235,424,,0,0,222238562000000,17.17,18.24,16.36,14.67,5.12,4.49,9.34,5.76,2.64,14.26,5.55,3.59,21.5,6.47,3.89,0
222238578000000,608,RECORD,P01,S01,indexDipIso,16,477,582,235,424,,0,0,222238578000000,16.96,17.74,15.57,14.55,5.27,4.32,9.22,6.03,2.66,14.32,5.75,3.58,21.53,6.65,3.91,0
222238593000000,609,RECORD,P01,S01,indexDipIso,16,479,584,235,424,,0,0,222238593000000,16.96,17.74,15.57,14.55,5.27,4.32,9.22,6.03,2.66,14.32,5.75,3.58,21.53,6.65,3.91,0
222238593000000,610,RECORD,P01,S01,indexDipIso,16,479,584,236,427,,0,0,222238593000000,16.96,17.74,15.57,14.55,5.27,4.32,9.22,6.03,2.66,14.32,5.75,3.58,21.53,6.65,3.91,0
222238609000000,611,RECORD,P01,S01,indexDipIso,16,481,585,236,426,,0,0,222238609000000,16.96,17.74,15.57,14.55,5.27,4.32,9.22,6.03,2.66,14.32,5.75,3.58,21.53,6.65,3.91,0
