t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222181500000000,602,RECORD,P01,S01,indexPipIso,13,225,517,220,317,RECORD_START,1,0,222181500000000,15.85,20.12,35.26,15.68,5.63,3.88,10.17,6.84,2.47,16.74,6.49,3.52,23.1,7.96,3.9,0
222181515000000,603,RECORD,P01,S01,indexPipIso,13,223,516,212,315,,1,0,222181515000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181531000000,604,RECORD,P01,S01,indexPipIso,13,218,516,211,318,,1,0,222181531000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181531000000,605,RECORD,P01,S01,indexPipIso,13,221,515,211,318,,1,0,222181531000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181546000000,606,RECORD,P01,S01,indexPipIso,13,224,517,209,318,,1,0,222181546000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181562000000,607,RECORD,P01,S01,indexPipIso,13,226,515,210,320,,0,0,222181562000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181562000000,608,RECORD,P01,S01,indexPipIso,13,236,517,210,322,,0,0,222181562000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181578000000,609,RECORD,P01,S01,indexPipIso,13,244,505,211,326,,0,0,222181578000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181593000000,610,RECORD,P01,S01,indexPipIso,13,256,517,210,330,,0,0,222181593000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181593000000,611,RECORD,P01,S01,indexPipIso,13,269,520,209,335,,0,0,222181593000000,16.52,20.19,34.44,15.54,5.5,4.04,10.34,6.84,2.49,17.0,6.54,3.61,23.34,7.95,3.94,0
222181609000000,612,RECORD,P01,S01,indexPipIso,13,280,516,206,332,,0,0,222181609000000,16.16,19.94,33.67,15.61,5.74,3.95,10.25,7.07,2.59,16.75,6.6,3.74,22.81,8.08,3.96,0
222181609000000,613,RECORD,P01,S01,indexPipIso,13,298,531,204,335,,0,0,222181609000000,16.16,19.94,33.67,15.61,5.74,3.95,10.25,7.07,2.59,16.75,6.6,3.74,22.81,8.08,3.96,0
