t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222979656000000,601,RECORD,P01,S01,lateralGrip,55,193,332,197,290,RECORD_START,0,0,222979656000000,20.82,22.21,12.41,14.87,8.94,3.54,17.41,7.45,2.81,23.0,7.04,5.62,24.11,8.28,5.31,0
222979656000000,602,RECORD,P01,S01,lateralGrip,55,193,331,193,290,,0,0,222979656000000,20.82,22.21,12.41,14.87,8.94,3.54,17.41,7.45,2.81,23.0,7.04,5.62,24.11,8.28,5.31,0
222979671000000,603,RECORD,P01,S01,lateralGrip,55,192,339,193,290,,0,0,222979671000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979687000000,604,RECORD,P01,S01,lateralGrip,55,188,332,194,292,,0,0,222979687000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979687000000,605,RECORD,P01,S01,lateralGrip,55,194,330,193,290,,0,0,222979687000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979703000000,606,RECORD,P01,S01,lateralGrip,55,195,332,207,290,,0,0,222979703000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979718000000,607,RECORD,P01,S01,lateralGrip,55,200,330,194,289,,0,0,222979718000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979718000000,608,RECORD,P01,S01,lateralGrip,55,192,331,195,289,,0,0,222979718000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979734000000,609,RECORD,P01,S01,lateralGrip,55,194,331,195,289,,0,0,222979734000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979750000000,610,RECORD,P01,S01,lateralGrip,55,192,331,199,290,,0,0,222979750000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979750000000,611,RECORD,P01,S01,lateralGrip,55,191,329,193,289,,0,0,222979750000000,20.89,22.05,12.47,15.07,9.07,3.36,17.27,7.59,2.71,22.88,7.14,5.38,24.22,8.45,5.07,0
222979765000000,612,RECORD,P01,S01,lateralGrip,55,192,328,193,289,,0,0,222979765000000,21.54,22.0,11.69,15.28,8.77,3.64,17.33,7.69,2.92,23.03,7.15,5.56,24.21,8.4,5.47,0
222979765000000,613,RECORD,P01,S01,lateralGrip,55,194,328,192,286,,0,0,222979765000000,21.54,22.0,11.69,15.28,8.77,3.64,17.33,7.69,2.92,23.03,7.15,5.56,24.21,8.4,5.47,0
222979781000000,614,RECORD,P01,S01,lateralGrip,55,193,332,193,290,,0,0,222979781000000,21.54,22.0,11.69,15.28,8.77,3.64,17.33,7.69,2.92,23.03,7.15,5.56,24.21,8.4,5.47,0
222979796000000,615,RECORD,P01,S01,lateralGrip,55,193,333,199,289,,0,0,222979796000000,21.54,22.0,11.69,15.28,8.77,3.64,17.33,7.69,2.92,23.03,7.15,5.56,24.21,8.4,5.47,0
222979796000000,616,RECORD,P01,S01,lateralGrip,55,193,329,195,290,,0,0,222979796000000,21.54,22.0,11.69,15.28,8.77,3.64,17.33,7.69,2.92,23.03,7.15,5.56,24.21,8.4,5.47,0
222979812000000,617,RECORD,P01,S01,lateralGrip,55,195,330,198,289,,0,0,222979812000000,21.58,21.84,11.92,15.52,9.1,3.47,17.54,7.8,2.86,23.06,7.28,5.58,24.18,8.43,5.29,0
222979828000000,618,RECORD,P01,S01,lateralGrip,55,192,331,198,290,,0,0,222979828000000,21.58,21.84,11.92,15.52,9.1,3.47,17.54,7.8,2.86,23.06,7.28,5.58,24.18,8.43,5.29,0
