t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222295500000000,600,RECORD,P01,S01,middleMcpIso,19,433,501,252,401,RECORD_START,1,0,222295500000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295515000000,601,RECORD,P01,S01,middleMcpIso,19,434,498,249,400,,1,0,222295515000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295515000000,602,RECORD,P01,S01,middleMcpIso,19,433,498,249,400,,1,0,222295515000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295531000000,603,RECORD,P01,S01,middleMcpIso,19,437,503,248,400,,1,0,222295531000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295531000000,604,RECORD,P01,S01,middleMcpIso,19,432,499,248,400,,1,0,222295531000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295546000000,605,RECORD,P01,S01,middleMcpIso,19,430,500,248,400,,1,0,222295546000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295562000000,606,RECORD,P01,S01,middleMcpIso,19,428,504,250,400,,0,0,222295562000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295562000000,607,RECORD,P01,S01,middleMcpIso,19,422,504,248,401,,0,0,222295562000000,20.73,21.04,19.94,17.49,5.03,3.85,11.9,5.7,1.84,18.14,5.27,3.52,24.34,6.22,4.56,0
222295578000000,608,RECORD,P01,S01,middleMcpIso,19,413,504,248,398,,0,0,222295578000000,20.89,21.11,20.07,17.92,5.23,3.73,12.05,5.82,1.85,18.13,5.25,3.48,24.19,6.21,4.44,0
222295593000000,609,RECORD,P01,S01,middleMcpIso,19,411,504,248,396,,0,0,222295593000000,20.89,21.11,20.07,17.92,5.23,3.73,12.05,5.82,1.85,18.13,5.25,3.48,24.19,6.21,4.44,0
222295593000000,610,RECORD,P01,S01,middleMcpIso,19,410,504,248,398,,0,0,222295593000000,20.89,21.11,20.07,17.92,5.23,3.73,12.05,5.82,1.85,18.13,5.25,3.48,24.19,6.21,4.44,0
222295609000000,611,RECORD,P01,S01,middleMcpIso,19,410,501,251,404,,0,0,222295609000000,20.89,21.11,20.07,17.92,5.23,3.73,12.05,5.82,1.85,18.13,5.25,3.48,24.19,6.21,4.44,0
222295625000000,612,RECORD,P01,S01,middleMcpIso,19,413,504,249,398,,0,0,222295625000000,20.88,20.8,20.39,17.41,4.88,3.88,10.86,5.64,2.02,16.75,5.19,3.71,23.5,6.12,4.66,0
222295625000000,613,RECORD,P01,S01,middleMcpIso,19,410,503,250,398,,0,0,222295625000000,20.88,20.8,20.39,17.41,4.88,3.88,10.86,5.64,2.02,16.75,5.19,3.71,23.5,6.12,4.66,0
