t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222352500000000,600,RECORD,P01,S01,middlePipIso,22,528,465,268,470,RECORD_START,1,0,222352500000000,26.83,23.38,18.94,24.36,5.44,3.58,15.98,6.0,1.62,21.26,4.2,3.49,29.13,4.78,4.85,0
222352515000000,601,RECORD,P01,S01,middlePipIso,22,530,465,266,470,,1,0,222352515000000,26.83,23.38,18.94,24.36,5.44,3.58,15.98,6.0,1.62,21.26,4.2,3.49,29.13,4.78,4.85,0
222352515000000,602,RECORD,P01,S01,middlePipIso,22,531,467,262,469,,1,0,222352515000000,26.83,23.38,18.94,24.36,5.44,3.58,15.98,6.0,1.62,21.26,4.2,3.49,29.13,4.78,4.85,0
222352531000000,603,RECORD,P01,S01,middlePipIso,22,533,466,269,469,,1,0,222352531000000,26.93,23.24,18.84,24.31,5.41,3.53,15.97,5.96,1.51,21.23,4.2,3.39,28.99,4.78,4.73,0
222352531000000,604,RECORD,P01,S01,middlePipIso,22,536,466,273,468,,1,0,222352531000000,26.93,23.24,18.84,24.31,5.41,3.53,15.97,5.96,1.51,21.23,4.2,3.39,28.99,4.78,4.73,0
222352546000000,605,RECORD,P01,S01,middlePipIso,22,538,466,269,472,,1,0,222352546000000,26.93,23.24,18.84,24.31,5.41,3.53,15.97,5.96,1.51,21.23,4.2,3.39,28.99,4.78,4.73,0
222352562000000,606,RECORD,P01,S01,middlePipIso,22,540,467,269,472,,0,0,222352562000000,26.93,23.24,18.84,24.31,5.41,3.53,15.97,5.96,1.51,21.23,4.2,3.39,28.99,4.78,4.73,0
222352562000000,607,RECORD,P01,S01,middlePipIso,22,542,469,270,471,,0,0,222352562000000,26.93,23.24,18.84,24.31,5.41,3.53,15.97,5.96,1.51,21.23,4.2,3.39,28.99,4.78,4.73,0
222352578000000,608,RECORD,P01,S01,middlePipIso,22,541,467,270,471,,0,0,222352578000000,27.15,23.64,19.28,24.41,5.39,3.45,16.22,6.04,1.48,21.6,4.25,3.26,29.24,4.79,4.59,0
222352593000000,609,RECORD,P01,S01,middlePipIso,22,544,467,270,472,,0,0,222352593000000,27.15,23.64,19.28,24.41,5.39,3.45,16.22,6.04,1.48,21.6,4.25,3.26,29.24,4.79,4.59,0
222352593000000,610,RECORD,P01,S01,middlePipIso,22,544,467,270,471,,0,0,222352593000000,27.15,23.64,19.28,24.41,5.39,3.45,16.22,6.04,1.48,21.6,4.25,3.26,29.24,4.79,4.59,0
222352609000000,611,RECORD,P01,S01,middlePipIso,22,545,468,270,473,,0,0,222352609000000,27.15,23.64,19.28,24.41,5.39,3.45,16.22,6.04,1.48,21.6,4.25,3.26,29.24,4.79,4.59,0
222352609000000,612,RECORD,P01,S01,middlePipIso,22,551,468,271,477,,0,0,222352609000000,27.15,23.64,19.28,24.41,5.39,3.45,16.22,6.04,1.48,21.6,4.25,3.26,29.24,4.79,4.59,0
222352625000000,613,RECORD,P01,S01,middlePipIso,22,552,467,270,481,,0,0,222352625000000,27.43,23.55,19.98,24.24,5.4,3.42,16.07,5.93,1.51,21.47,3.97,3.36,29.12,4.64,4.77,0
222352640000000,614,RECORD,P01,S01,middlePipIso,22,561,467,270,482,,0,0,222352640000000,27.43,23.55,19.98,24.24,5.4,3.42,16.07,5.93,1.51,21.47,3.97,3.36,29.12,4.64,4.77,0
222352640000000,615,RECORD,P01,S01,middlePipIso,22,564,468,271,482,,0,0,222352640000000,27.43,23.55,19.98,24.24,5.4,3.42,16.07,5.93,1.51,21.47,3.97,3.36,29.12,4.64,4.77,0
222352656000000,616,RECORD,P01,S01,middlePipIso,22,571,466,269,482,,0,0,222352656000000,27.43,23.55,19.98,24.24,5.4,3.42,16.07,5.93,1.51,21.47,3.97,3.36,29.12,4.64,4.77,0
