t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
221939468000000,1298,RECORD,P01,S01,mvc,0,369,525,239,366,RECORD_START,1,0,221939468000000,29.72,18.83,7.25,25.86,6.37,4.2,16.75,6.01,0.99,21.27,3.96,2.22,28.99,4.54,3.63,0
221939484000000,1299,RECORD,P01,S01,mvc,0,368,522,239,366,,1,0,221939484000000,29.72,18.83,7.25,25.86,6.37,4.2,16.75,6.01,0.99,21.27,3.96,2.22,28.99,4.54,3.63,0
221939500000000,1300,RECORD,P01,S01,mvc,0,368,520,238,368,,1,0,221939500000000,29.72,18.83,7.25,25.86,6.37,4.2,16.75,6.01,0.99,21.27,3.96,2.22,28.99,4.54,3.63,0
221939500000000,1301,RECORD,P01,S01,mvc,0,368,521,238,368,,1,0,221939500000000,29.72,18.83,7.25,25.86,6.37,4.2,16.75,6.01,0.99,21.27,3.96,2.22,28.99,4.54,3.63,0
221939515000000,1302,RECORD,P01,S01,mvc,0,368,521,238,370,,1,0,221939515000000,30.54,17.81,8.17,27.09,6.63,4.35,18.13,6.62,1.54,22.85,4.66,2.55,30.14,5.02,3.79,0
221939531000000,1303,RECORD,P01,S01,mvc,0,367,523,238,371,,1,0,221939531000000,30.54,17.81,8.17,27.09,6.63,4.35,18.13,6.62,1.54,22.85,4.66,2.55,30.14,5.02,3.79,0
221939531000000,1304,RECORD,P01,S01,mvc,0,368,525,238,372,,1,0,221939531000000,30.54,17.81,8.17,27.09,6.63,4.35,18.13,6.62,1.54,22.85,4.66,2.55,30.14,5.02,3.79,0
221939546000000,1305,RECORD,P01,S01,mvc,0,367,527,239,372,,1,0,221939546000000,30.54,17.81,8.17,27.09,6.63,4.35,18.13,6.62,1.54,22.85,4.66,2.55,30.14,5.02,3.79,0
221939546000000,1306,RECORD,P01,S01,mvc,0,370,530,240,376,,0,0,221939546000000,30.54,17.81,8.17,27.09,6.63,4.35,18.13,6.62,1.54,22.85,4.66,2.55,30.14,5.02,3.79,0
221939562000000,1307,RECORD,P01,S01,mvc,0,371,531,240,376,,0,0,221939562000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939578000000,1308,RECORD,P01,S01,mvc,0,371,531,240,378,,0,0,221939578000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939578000000,1309,RECORD,P01,S01,mvc,0,371,531,240,378,,0,0,221939578000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939593000000,1310,RECORD,P01,S01,mvc,0,371,531,240,379,,0,0,221939593000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939609000000,1311,RECORD,P01,S01,mvc,0,371,531,241,379,,0,0,221939609000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939609000000,1312,RECORD,P01,S01,mvc,0,371,531,240,380,,0,0,221939609000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939625000000,1313,RECORD,P01,S01,mvc,0,371,531,240,381,,0,0,221939625000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939640000000,1314,RECORD,P01,S01,mvc,0,370,531,241,380,,0,0,221939640000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939640000000,1315,RECORD,P01,S01,mvc,0,371,531,241,380,,0,0,221939640000000,29.27,18.71,7.84,25.99,6.22,4.13,17.08,6.09,0.95,21.64,4.05,2.31,29.24,4.67,3.63,0
221939656000000,1316,RECORD,P01,S01,mvc,0,370,530,240,379,,1,0,221939656000000,30.21,17.5,6.28,26.89,6.59,4.35,18.23,6.6,1.35,23.18,4.72,2.37,30.37,5.04,3.74,0
221939671000000,1317,RECORD,P01,S01,mvc,0,370,533,240,378,,1,0,221939671000000,30.21,17.5,6.28,26.89,6.59,4.35,18.23,6.6,1.35,23.18,4.72,2.37,30.37,5.04,3.74,0
221939671000000,1318,RECORD,P01,S01,mvc,0,370,534,240,379,,1,0,221939671000000,30.21,17.5,6.28,26.89,6.59,4.35,18.23,6.6,1.35,23.18,4.72,2.37,30.37,5.04,3.74,0
221939687000000,1319,RECORD,P01,S01,mvc,0,370,534,239,380,,1,0,221939687000000,30.21,17.5,6.28,26.89,6.59,4.35,18.23,6.6,1.35,23.18,4.72,2.37,30.37,5.04,3.74,0
221939687000000,1320,RECORD,P01,S01,mvc,0,370,535,240,380,,1,0,221939687000000,30.21,17.5,6.28,26.89,6.59,4.35,18.23,6.6,1.35,23.18,4.72,2.37,30.37,5.04,3.74,0
221939703000000,1321,RECORD,P01,S01,mvc,0,370,535,239,380,,1,0,221939703000000,29.52,19.03,6.69,26.23,6.26,4.1,16.99,6.09,1.01,21.39,4.03,2.39,29.05,4.66,3.77,0
221939718000000,1322,RECORD,P01,S01,mvc,0,370,535,239,381,,1,0,221939718000000,29.52,19.03,6.69,26.23,6.26,4.1,16.99,6.09,1.01,21.39,4.03,2.39,29.05,4.66,3.77,0
221939718000000,1323,RECORD,P01,S01,mvc,0,371,536,240,381,,1,0,221939718000000,29.52,19.03,6.69,26.23,6.26,4.1,16.99,6.09,1.01,21.39,4.03,2.39,29.05,4.66,3.77,0
221939734000000,1324,RECORD,P01,S01,mvc,0,370,535,239,380,,1,0,221939734000000,29.52,19.03,6.69,26.23,6.26,4.1,16.99,6.09,1.01,21.39,4.03,2.39,29.05,4.66,3.77,0
221939750000000,1325,RECORD,P01,S01,mvc,0,371,537,240,380,,1,0,221939750000000,29.96,16.96,6.33,26.58,6.36,4.34,17.73,6.35,1.63,22.79,4.61,2.66,30.21,5.07,3.87,0
221939750000000,1326,RECORD,P01,S01,mvc,0,372,539,241,381,,0,0,221939750000000,29.96,16.96,6.33,26.58,6.36,4.34,17.73,6.35,1.63,22.79,4.61,2.66,30.21,5.07,3.87,0
221939765000000,1327,RECORD,P01,S01,mvc,0,372,538,241,381,,0,0,221939765000000,29.96,16.96,6.33,26.58,6.36,4.34,17.73,6.35,1.63,22.79,4.61,2.66,30.21,5.07,3.87,0
