t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222770593000000,600,RECORD,P01,S01,pinkyDipIso,44,210,344,257,380,RECORD_START,0,0,222770593000000,29.75,30.3,27.38,27.2,7.57,2.66,21.39,9.12,2.27,28.35,6.85,4.2,32.18,6.36,4.53,0
222770609000000,601,RECORD,P01,S01,pinkyDipIso,44,209,344,256,380,,0,0,222770609000000,29.75,30.3,27.38,27.2,7.57,2.66,21.39,9.12,2.27,28.35,6.85,4.2,32.18,6.36,4.53,0
222770609000000,602,RECORD,P01,S01,pinkyDipIso,44,209,343,256,380,,0,0,222770609000000,29.75,30.3,27.38,27.2,7.57,2.66,21.39,9.12,2.27,28.35,6.85,4.2,32.18,6.36,4.53,0
222770625000000,603,RECORD,P01,S01,pinkyDipIso,44,210,344,257,380,,0,0,222770625000000,29.75,30.3,27.38,27.2,7.57,2.66,21.39,9.12,2.27,28.35,6.85,4.2,32.18,6.36,4.53,0
222770625000000,604,RECORD,P01,S01,pinkyDipIso,44,210,344,256,380,,0,0,222770625000000,29.75,30.3,27.38,27.2,7.57,2.66,21.39,9.12,2.27,28.35,6.85,4.2,32.18,6.36,4.53,0
222770640000000,605,RECORD,P01,S01,pinkyDipIso,44,209,344,257,380,,0,0,222770640000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770656000000,606,RECORD,P01,S01,pinkyDipIso,44,209,343,257,380,,0,0,222770656000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770656000000,607,RECORD,P01,S01,pinkyDipIso,44,210,344,257,379,,0,0,222770656000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770671000000,608,RECORD,P01,S01,pinkyDipIso,44,209,343,256,379,,0,0,222770671000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770687000000,609,RECORD,P01,S01,pinkyDipIso,44,209,343,257,378,,0,0,222770687000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770687000000,610,RECORD,P01,S01,pinkyDipIso,44,209,344,257,378,,0,0,222770687000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770703000000,611,RECORD,P01,S01,pinkyDipIso,44,209,343,256,379,,0,0,222770703000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770703000000,612,RECORD,P01,S01,pinkyDipIso,44,209,343,257,379,,0,0,222770703000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770718000000,613,RECORD,P01,S01,pinkyDipIso,44,209,343,256,379,,0,0,222770718000000,29.75,30.27,25.97,26.27,7.69,2.55,19.68,8.92,2.49,26.71,6.91,4.49,31.14,6.34,4.63,0
222770734000000,614,RECORD,P01,S01,pinkyDipIso,44,209,343,257,379,,0,0,222770734000000,30.24,30.51,26.71,27.09,7.65,2.66,20.52,9.07,2.37,27.43,6.91,4.45,31.58,6.48,4.93,0
222770734000000,615,RECORD,P01,S01,pinkyDipIso,44,210,344,257,379,,0,0,222770734000000,30.24,30.51,26.71,27.09,7.65,2.66,20.52,9.07,2.37,27.43,6.91,4.45,31.58,6.48,4.93,0
222770750000000,616,RECORD,P01,S01,pinkyDipIso,44,209,343,256,379,,0,0,222770750000000,30.24,30.51,26.71,27.09,7.65,2.66,20.52,9.07,2.37,27.43,6.91,4.45,31.58,6.48,4.93,0
222770765000000,617,RECORD,P01,S01,pinkyDipIso,44,210,344,257,380,,0,0,222770765000000,30.24,30.51,26.71,27.09,7.65,2.66,20.52,9.07,2.37,27.43,6.91,4.45,31.58,6.48,4.93,0
