t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222732562000000,600,RECORD,P01,S01,pinkyPipIso,42,369,370,280,449,RECORD_START,0,0,222732562000000,27.44,28.8,28.02,25.57,6.02,2.5,18.37,6.57,1.54,26.11,4.33,3.66,31.62,5.32,3.83,0
222732578000000,601,RECORD,P01,S01,pinkyPipIso,42,372,372,278,450,,0,0,222732578000000,27.44,28.8,28.02,25.57,6.02,2.5,18.37,6.57,1.54,26.11,4.33,3.66,31.62,5.32,3.83,0
222732578000000,602,RECORD,P01,S01,pinkyPipIso,42,373,366,279,447,,0,0,222732578000000,27.44,28.8,28.02,25.57,6.02,2.5,18.37,6.57,1.54,26.11,4.33,3.66,31.62,5.32,3.83,0
222732593000000,603,RECORD,P01,S01,pinkyPipIso,42,366,371,278,449,,0,0,222732593000000,28.33,29.07,28.41,26.05,6.25,2.59,18.93,6.83,1.6,26.48,4.41,3.54,31.76,5.39,3.85,0
222732593000000,604,RECORD,P01,S01,pinkyPipIso,42,369,368,279,445,,0,0,222732593000000,28.33,29.07,28.41,26.05,6.25,2.59,18.93,6.83,1.6,26.48,4.41,3.54,31.76,5.39,3.85,0
222732609000000,605,RECORD,P01,S01,pinkyPipIso,42,372,370,279,449,,0,0,222732609000000,28.33,29.07,28.41,26.05,6.25,2.59,18.93,6.83,1.6,26.48,4.41,3.54,31.76,5.39,3.85,0
222732625000000,606,RECORD,P01,S01,pinkyPipIso,42,371,366,279,449,,0,0,222732625000000,28.33,29.07,28.41,26.05,6.25,2.59,18.93,6.83,1.6,26.48,4.41,3.54,31.76,5.39,3.85,0
222732625000000,607,RECORD,P01,S01,pinkyPipIso,42,370,368,278,449,,0,0,222732625000000,28.33,29.07,28.41,26.05,6.25,2.59,18.93,6.83,1.6,26.48,4.41,3.54,31.76,5.39,3.85,0
222732640000000,608,RECORD,P01,S01,pinkyPipIso,42,367,366,279,449,,0,0,222732640000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732656000000,609,RECORD,P01,S01,pinkyPipIso,42,369,368,279,447,,0,0,222732656000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732656000000,610,RECORD,P01,S01,pinkyPipIso,42,366,366,279,448,,0,0,222732656000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732671000000,611,RECORD,P01,S01,pinkyPipIso,42,369,367,278,447,,0,0,222732671000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732687000000,612,RECORD,P01,S01,pinkyPipIso,42,367,368,279,448,,0,0,222732687000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732687000000,613,RECORD,P01,S01,pinkyPipIso,42,368,368,279,448,,0,0,222732687000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732703000000,614,RECORD,P01,S01,pinkyPipIso,42,367,368,278,445,,0,0,222732703000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732703000000,615,RECORD,P01,S01,pinkyPipIso,42,370,371,279,453,,0,0,222732703000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732718000000,616,RECORD,P01,S01,pinkyPipIso,42,372,369,285,450,,0,0,222732718000000,28.07,28.92,28.73,25.84,6.03,2.6,18.55,6.61,1.55,26.3,4.38,3.64,32.02,5.14,3.64,0
222732734000000,617,RECORD,P01,S01,pinkyPipIso,42,371,370,280,450,,0,0,222732734000000,28.53,28.75,27.45,25.99,6.46,2.66,19.17,6.96,1.65,26.63,4.6,3.62,31.84,5.48,3.88,0
222732734000000,618,RECORD,P01,S01,pinkyPipIso,42,371,370,279,450,,0,0,222732734000000,28.53,28.75,27.45,25.99,6.46,2.66,19.17,6.96,1.65,26.63,4.6,3.62,31.84,5.48,3.88,0
222732750000000,619,RECORD,P01,S01,pinkyPipIso,42,372,371,280,451,,0,0,222732750000000,28.53,28.75,27.45,25.99,6.46,2.66,19.17,6.96,1.65,26.63,4.6,3.62,31.84,5.48,3.88,0
222732765000000,620,RECORD,P01,S01,pinkyPipIso,42,371,371,280,451,,0,0,222732765000000,28.53,28.75,27.45,25.99,6.46,2.66,19.17,6.96,1.65,26.63,4.6,3.62,31.84,5.48,3.88,0
222732765000000,621,RECORD,P01,S01,pinkyPipIso,42,372,368,279,447,,0,0,222732765000000,28.53,28.75,27.45,25.99,6.46,2.66,19.17,6.96,1.65,26.63,4.6,3.62,31.84,5.48,3.88,0
222732781000000,622,RECORD,P01,S01,pinkyPipIso,42,367,378,281,450,,0,0,222732781000000,28.3,29.03,28.88,25.56,6.07,2.45,18.63,6.63,1.43,26.12,4.16,3.53,31.12,5.25,3.96,0
222732796000000,623,RECORD,P01,S01,pinkyPipIso,42,372,372,268,452,,0,0,222732796000000,28.3,29.03,28.88,25.56,6.07,2.45,18.63,6.63,1.43,26.12,4.16,3.53,31.12,5.25,3.96,0
222732796000000,624,RECORD,P01,S01,pinkyPipIso,42,372,369,278,449,,0,0,222732796000000,28.3,29.03,28.88,25.56,6.07,2.45,18.63,6.63,1.43,26.12,4.16,3.53,31.12,5.25,3.96,0
