t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222808609000000,600,RECORD,P01,S01,powerGrip,46,214,347,253,354,RECORD_START,0,0,222808609000000,26.93,26.38,24.7,21.69,10.02,2.7,23.44,10.26,3.49,29.05,8.91,5.96,29.41,8.55,6.36,0
222808625000000,601,RECORD,P01,S01,powerGrip,46,216,343,255,355,,0,0,222808625000000,26.93,26.38,24.7,21.69,10.02,2.7,23.44,10.26,3.49,29.05,8.91,5.96,29.41,8.55,6.36,0
222808625000000,602,RECORD,P01,S01,powerGrip,46,215,348,255,354,,0,0,222808625000000,26.93,26.38,24.7,21.69,10.02,2.7,23.44,10.26,3.49,29.05,8.91,5.96,29.41,8.55,6.36,0
222808640000000,603,RECORD,P01,S01,powerGrip,46,216,347,254,355,,0,0,222808640000000,26.93,26.38,24.7,21.69,10.02,2.7,23.44,10.26,3.49,29.05,8.91,5.96,29.41,8.55,6.36,0
222808656000000,604,RECORD,P01,S01,powerGrip,46,216,348,254,355,,0,0,222808656000000,27.16,26.48,24.2,22.25,10.26,3.06,23.5,10.44,3.73,29.25,8.88,5.85,29.6,8.46,6.26,0
222808656000000,605,RECORD,P01,S01,powerGrip,46,215,348,254,355,,0,0,222808656000000,27.16,26.48,24.2,22.25,10.26,3.06,23.5,10.44,3.73,29.25,8.88,5.85,29.6,8.46,6.26,0
222808671000000,606,RECORD,P01,S01,powerGrip,46,216,347,256,354,,0,0,222808671000000,27.16,26.48,24.2,22.25,10.26,3.06,23.5,10.44,3.73,29.25,8.88,5.85,29.6,8.46,6.26,0
222808687000000,607,RECORD,P01,S01,powerGrip,46,216,348,252,354,,0,0,222808687000000,27.16,26.48,24.2,22.25,10.26,3.06,23.5,10.44,3.73,29.25,8.88,5.85,29.6,8.46,6.26,0
222808687000000,608,RECORD,P01,S01,powerGrip,46,217,344,253,350,,0,0,222808687000000,27.16,26.48,24.2,22.25,10.26,3.06,23.5,10.44,3.73,29.25,8.88,5.85,29.6,8.46,6.26,0
222808703000000,609,RECORD,P01,S01,powerGrip,46,214,349,253,349,,0,0,222808703000000,26.65,26.64,24.5,22.02,10.48,3.37,23.08,10.67,3.8,28.82,9.21,6.16,29.35,8.95,6.64,0
