t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222466500000000,600,RECORD,P01,S01,ringMcpIso,28,358,452,272,502,RECORD_START,1,0,222466500000000,30.45,27.77,26.29,23.35,6.08,2.94,16.34,7.22,1.57,22.03,5.23,4.12,27.85,5.29,4.23,0
222466515000000,601,RECORD,P01,S01,ringMcpIso,28,360,452,272,502,,1,0,222466515000000,30.45,27.77,26.29,23.35,6.08,2.94,16.34,7.22,1.57,22.03,5.23,4.12,27.85,5.29,4.23,0
222466515000000,602,RECORD,P01,S01,ringMcpIso,28,360,452,274,502,,1,0,222466515000000,30.45,27.77,26.29,23.35,6.08,2.94,16.34,7.22,1.57,22.03,5.23,4.12,27.85,5.29,4.23,0
222466531000000,603,RECORD,P01,S01,ringMcpIso,28,360,452,274,500,,1,0,222466531000000,30.4,27.98,26.27,23.14,5.95,2.84,15.84,7.06,1.64,21.69,4.94,4.26,27.6,5.16,4.36,0
222466531000000,604,RECORD,P01,S01,ringMcpIso,28,363,452,272,500,,1,0,222466531000000,30.4,27.98,26.27,23.14,5.95,2.84,15.84,7.06,1.64,21.69,4.94,4.26,27.6,5.16,4.36,0
222466546000000,605,RECORD,P01,S01,ringMcpIso,28,364,458,269,503,,1,0,222466546000000,30.4,27.98,26.27,23.14,5.95,2.84,15.84,7.06,1.64,21.69,4.94,4.26,27.6,5.16,4.36,0
222466562000000,606,RECORD,P01,S01,ringMcpIso,28,366,454,274,505,,0,0,222466562000000,30.4,27.98,26.27,23.14,5.95,2.84,15.84,7.06,1.64,21.69,4.94,4.26,27.6,5.16,4.36,0
222466562000000,607,RECORD,P01,S01,ringMcpIso,28,365,454,273,504,,0,0,222466562000000,30.4,27.98,26.27,23.14,5.95,2.84,15.84,7.06,1.64,21.69,4.94,4.26,27.6,5.16,4.36,0
222466578000000,608,RECORD,P01,S01,ringMcpIso,28,368,453,274,505,,0,0,222466578000000,30.27,27.97,24.49,24.09,6.57,3.08,16.73,7.97,1.93,21.87,6.21,4.48,27.74,6.04,4.51,0
222466593000000,609,RECORD,P01,S01,ringMcpIso,28,370,453,273,505,,0,0,222466593000000,30.27,27.97,24.49,24.09,6.57,3.08,16.73,7.97,1.93,21.87,6.21,4.48,27.74,6.04,4.51,0
222466593000000,610,RECORD,P01,S01,ringMcpIso,28,370,454,275,505,,0,0,222466593000000,30.27,27.97,24.49,24.09,6.57,3.08,16.73,7.97,1.93,21.87,6.21,4.48,27.74,6.04,4.51,0
222466609000000,611,RECORD,P01,S01,ringMcpIso,28,372,454,272,506,,0,0,222466609000000,30.27,27.97,24.49,24.09,6.57,3.08,16.73,7.97,1.93,21.87,6.21,4.48,27.74,6.04,4.51,0
222466625000000,612,RECORD,P01,S01,ringMcpIso,28,374,454,274,506,,0,0,222466625000000,30.42,27.86,24.56,24.08,6.56,3.05,16.43,7.89,2.0,21.42,6.25,4.5,27.56,5.98,4.49,0
222466625000000,613,RECORD,P01,S01,ringMcpIso,28,377,455,274,506,,0,0,222466625000000,30.42,27.86,24.56,24.08,6.56,3.05,16.43,7.89,2.0,21.42,6.25,4.5,27.56,5.98,4.49,0
222466640000000,614,RECORD,P01,S01,ringMcpIso,28,379,455,275,506,,0,0,222466640000000,30.42,27.86,24.56,24.08,6.56,3.05,16.43,7.89,2.0,21.42,6.25,4.5,27.56,5.98,4.49,0
222466656000000,615,RECORD,P01,S01,ringMcpIso,28,389,455,274,507,,0,0,222466656000000,30.42,27.86,24.56,24.08,6.56,3.05,16.43,7.89,2.0,21.42,6.25,4.5,27.56,5.98,4.49,0
222466656000000,616,RECORD,P01,S01,ringMcpIso,28,398,456,274,507,,0,0,222466656000000,30.42,27.86,24.56,24.08,6.56,3.05,16.43,7.89,2.0,21.42,6.25,4.5,27.56,5.98,4.49,0
222466671000000,617,RECORD,P01,S01,ringMcpIso,28,404,450,273,510,,0,0,222466671000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466671000000,618,RECORD,P01,S01,ringMcpIso,28,417,455,273,510,,0,0,222466671000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466687000000,619,RECORD,P01,S01,ringMcpIso,28,422,455,266,512,,0,0,222466687000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466703000000,620,RECORD,P01,S01,ringMcpIso,28,426,456,271,513,,0,0,222466703000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466703000000,621,RECORD,P01,S01,ringMcpIso,28,429,460,271,515,,0,0,222466703000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466718000000,622,RECORD,P01,S01,ringMcpIso,28,430,457,273,516,,0,0,222466718000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466734000000,623,RECORD,P01,S01,ringMcpIso,28,430,460,275,516,,0,0,222466734000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466734000000,624,RECORD,P01,S01,ringMcpIso,28,432,459,274,516,,0,0,222466734000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466750000000,625,RECORD,P01,S01,ringMcpIso,28,434,460,280,522,,0,0,222466750000000,29.84,28.15,24.64,23.84,6.22,3.11,16.05,7.63,1.98,21.24,6.43,4.64,27.73,6.18,4.73,0
222466765000000,626,RECORD,P01,S01,ringMcpIso,28,445,463,278,520,,0,0,222466765000000,30.02,28.13,24.47,23.47,6.11,3.1,15.57,7.55,1.92,20.87,6.41,4.71,27.24,6.19,4.82,0
222466765000000,627,RECORD,P01,S01,ringMcpIso,28,452,465,280,520,,0,0,222466765000000,30.02,28.13,24.47,23.47,6.11,3.1,15.57,7.55,1.92,20.87,6.41,4.71,27.24,6.19,4.82,0
222466781000000,628,RECORD,P01,S01,ringMcpIso,28,457,465,280,520,,0,0,222466781000000,30.02,28.13,24.47,23.47,6.11,3.1,15.57,7.55,1.92,20.87,6.41,4.71,27.24,6.19,4.82,0
222466781000000,629,RECORD,P01,S01,ringMcpIso,28,462,465,284,517,,0,0,222466781000000,30.02,28.13,24.47,23.47,6.11,3.1,15.57,7.55,1.92,20.87,6.41,4.71,27.24,6.19,4.82,0
222466796000000,630,RECORD,P01,S01,ringMcpIso,28,464,464,288,520,,0,0,222466796000000,30.02,28.13,24.47,23.47,6.11,3.1,15.57,7.55,1.92,20.87,6.41,4.71,27.24,6.19,4.82,0
222466812000000,631,RECORD,P01,S01,ringMcpIso,28,468,464,288,524,,0,0,222466812000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466812000000,632,RECORD,P01,S01,ringMcpIso,28,492,464,287,518,,0,0,222466812000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466828000000,633,RECORD,P01,S01,ringMcpIso,28,500,464,289,517,,0,0,222466828000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466843000000,634,RECORD,P01,S01,ringMcpIso,28,507,464,303,516,,0,0,222466843000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466843000000,635,RECORD,P01,S01,ringMcpIso,28,512,464,307,517,,0,0,222466843000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466859000000,636,RECORD,P01,S01,ringMcpIso,28,514,461,308,519,,0,0,222466859000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466875000000,637,RECORD,P01,S01,ringMcpIso,28,510,459,309,519,,0,0,222466875000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466875000000,638,RECORD,P01,S01,ringMcpIso,28,518,460,311,517,,0,0,222466875000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466890000000,639,RECORD,P01,S01,ringMcpIso,28,520,460,311,516,,0,0,222466890000000,29.76,28.0,25.12,23.81,6.39,3.08,16.09,7.59,1.84,21.35,6.26,4.68,27.77,5.97,4.74,0
222466906000000,640,RECORD,P01,S01,ringMcpIso,28,524,480,318,543,,0,0,222466906000000,29.8,28.03,26.1,24.05,6.34,3.07,16.3,7.6,1.86,21.53,6.33,4.61,27.83,5.95,4.54,0
222466906000000,641,RECORD,P01,S01,ringMcpIso,28,529,480,322,559,,0,0,222466906000000,29.8,28.03,26.1,24.05,6.34,3.07,16.3,7.6,1.86,21.53,6.33,4.61,27.83,5.95,4.54,0
222466921000000,642,RECORD,P01,S01,ringMcpIso,28,531,481,345,559,,0,0,222466921000000,29.8,28.03,26.1,24.05,6.34,3.07,16.3,7.6,1.86,21.53,6.33,4.61,27.83,5.95,4.54,0
222466921000000,643,RECORD,P01,S01,ringMcpIso,28,533,480,349,552,,0,0,222466921000000,29.8,28.03,26.1,24.05,6.34,3.07,16.3,7.6,1.86,21.53,6.33,4.61,27.83,5.95,4.54,0
222466937000000,644,RECORD,P01,S01,ringMcpIso,28,533,479,364,551,,0,0,222466937000000,29.8,28.03,26.1,24.05,6.34,3.07,16.3,7.6,1.86,21.53,6.33,4.61,27.83,5.95,4.54,0
222466953000000,645,RECORD,P01,S01,ringMcpIso,28,537,483,365,548,,0,0,222466953000000,29.61,27.86,25.12,24.05,6.38,3.21,16.3,7.86,2.06,21.5,7.27,5.05,28.01,6.41,4.72,0
222466953000000,646,RECORD,P01,S01,ringMcpIso,28,537,483,368,547,,0,0,222466953000000,29.61,27.86,25.12,24.05,6.38,3.21,16.3,7.86,2.06,21.5,7.27,5.05,28.01,6.41,4.72,0
222466968000000,647,RECORD,P01,S01,ringMcpIso,28,540,482,376,548,,0,0,222466968000000,29.61,27.86,25.12,24.05,6.38,3.21,16.3,7.86,2.06,21.5,7.27,5.05,28.01,6.41,4.72,0
222466984000000,648,RECORD,P01,S01,ringMcpIso,28,545,484,376,549,,0,0,222466984000000,29.61,27.86,25.12,24.05,6.38,3.21,16.3,7.86,2.06,21.5,7.27,5.05,28.01,6.41,4.72,0
222466984000000,649,RECORD,P01,S01,ringMcpIso,28,545,485,377,546,,0,0,222466984000000,29.61,27.86,25.12,24.05,6.38,3.21,16.3,7.86,2.06,21.5,7.27,5.05,28.01,6.41,4.72,0
222467000000000,650,RECORD,P01,S01,ringMcpIso,28,548,484,380,546,,0,0,222467000000000,29.48,28.0,25.28,24.19,6.42,3.15,16.24,8.08,2.34,21.34,7.59,5.34,27.99,6.56,4.9,0
222467015000000,651,RECORD,P01,S01,ringMcpIso,28,548,501,380,554,,0,0,222467015000000,29.48,28.0,25.28,24.19,6.42,3.15,16.24,8.08,2.34,21.34,7.59,5.34,27.99,6.56,4.9,0
222467015000000,652,RECORD,P01,S01,ringMcpIso,28,551,516,380,553,,0,0,222467015000000,29.48,28.0,25.28,24.19,6.42,3.15,16.24,8.08,2.34,21.34,7.59,5.34,27.99,6.56,4.9,0
222467031000000,653,RECORD,P01,S01,ringMcpIso,28,554,528,380,560,,0,0,222467031000000,29.48,28.0,25.28,24.19,6.42,3.15,16.24,8.08,2.34,21.34,7.59,5.34,27.99,6.56,4.9,0
222467031000000,654,RECORD,P01,S01,ringMcpIso,28,557,530,381,560,,0,0,222467031000000,29.48,28.0,25.28,24.19,6.42,3.15,16.24,8.08,2.34,21.34,7.59,5.34,27.99,6.56,4.9,0
222467046000000,655,RECORD,P01,S01,ringMcpIso,28,556,530,384,563,,0,0,222467046000000,29.67,27.91,24.86,24.19,6.59,3.12,16.64,8.06,2.16,21.66,7.35,5.41,28.03,6.46,5.23,0
222467062000000,656,RECORD,P01,S01,ringMcpIso,28,556,531,384,563,,0,0,222467062000000,29.67,27.91,24.86,24.19,6.59,3.12,16.64,8.06,2.16,21.66,7.35,5.41,28.03,6.46,5.23,0
