t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222542500000000,600,RECORD,P01,S01,ringPipIso,32,582,508,421,464,RECORD_START,1,0,222542500000000,28.67,23.08,20.98,31.15,9.15,3.81,23.25,7.59,2.58,27.32,6.25,5.17,30.37,5.86,4.99,0
222542515000000,601,RECORD,P01,S01,ringPipIso,32,581,512,421,464,,1,0,222542515000000,28.67,23.08,20.98,31.15,9.15,3.81,23.25,7.59,2.58,27.32,6.25,5.17,30.37,5.86,4.99,0
222542515000000,602,RECORD,P01,S01,ringPipIso,32,579,508,419,465,,1,0,222542515000000,28.67,23.08,20.98,31.15,9.15,3.81,23.25,7.59,2.58,27.32,6.25,5.17,30.37,5.86,4.99,0
222542531000000,603,RECORD,P01,S01,ringPipIso,32,579,507,420,464,,1,0,222542531000000,28.52,22.4,20.95,30.41,9.87,3.98,23.43,8.12,2.04,27.87,7.47,5.14,30.44,6.87,5.33,0
222542546000000,604,RECORD,P01,S01,ringPipIso,32,579,507,422,466,,1,0,222542546000000,28.52,22.4,20.95,30.41,9.87,3.98,23.43,8.12,2.04,27.87,7.47,5.14,30.44,6.87,5.33,0
222542546000000,605,RECORD,P01,S01,ringPipIso,32,579,508,421,463,,1,0,222542546000000,28.52,22.4,20.95,30.41,9.87,3.98,23.43,8.12,2.04,27.87,7.47,5.14,30.44,6.87,5.33,0
222542562000000,606,RECORD,P01,S01,ringPipIso,32,580,507,425,466,,0,0,222542562000000,28.52,22.4,20.95,30.41,9.87,3.98,23.43,8.12,2.04,27.87,7.47,5.14,30.44,6.87,5.33,0
222542562000000,607,RECORD,P01,S01,ringPipIso,32,583,514,425,466,,0,0,222542562000000,28.52,22.4,20.95,30.41,9.87,3.98,23.43,8.12,2.04,27.87,7.47,5.14,30.44,6.87,5.33,0
222542578000000,608,RECORD,P01,S01,ringPipIso,32,582,510,423,465,,0,0,222542578000000,28.3,21.65,20.08,30.14,11.06,4.63,23.49,8.62,2.41,27.67,8.64,5.71,31.14,7.6,5.56,0
222542593000000,609,RECORD,P01,S01,ringPipIso,32,583,510,422,464,,0,0,222542593000000,28.3,21.65,20.08,30.14,11.06,4.63,23.49,8.62,2.41,27.67,8.64,5.71,31.14,7.6,5.56,0
222542593000000,610,RECORD,P01,S01,ringPipIso,32,585,511,423,466,,0,0,222542593000000,28.3,21.65,20.08,30.14,11.06,4.63,23.49,8.62,2.41,27.67,8.64,5.71,31.14,7.6,5.56,0
222542609000000,611,RECORD,P01,S01,ringPipIso,32,585,510,423,465,,0,0,222542609000000,28.3,21.65,20.08,30.14,11.06,4.63,23.49,8.62,2.41,27.67,8.64,5.71,31.14,7.6,5.56,0
222542625000000,612,RECORD,P01,S01,ringPipIso,32,585,509,424,464,,0,0,222542625000000,26.91,20.99,17.58,31.29,7.95,3.98,27.14,9.52,2.1,31.13,24.81,41.67,32.15,12.17,8.2,0
222542625000000,613,RECORD,P01,S01,ringPipIso,32,584,508,422,461,,0,0,222542625000000,26.91,20.99,17.58,31.29,7.95,3.98,27.14,9.52,2.1,31.13,24.81,41.67,32.15,12.17,8.2,0
222542640000000,614,RECORD,P01,S01,ringPipIso,32,584,506,421,453,,0,0,222542640000000,26.91,20.99,17.58,31.29,7.95,3.98,27.14,9.52,2.1,31.13,24.81,41.67,32.15,12.17,8.2,0
222542656000000,615,RECORD,P01,S01,ringPipIso,32,584,507,422,449,,0,0,222542656000000,26.91,20.99,17.58,31.29,7.95,3.98,27.14,9.52,2.1,31.13,24.81,41.67,32.15,12.17,8.2,0
222542656000000,616,RECORD,P01,S01,ringPipIso,32,584,505,419,450,,0,0,222542656000000,26.91,20.99,17.58,31.29,7.95,3.98,27.14,9.52,2.1,31.13,24.81,41.67,32.15,12.17,8.2,0
222542671000000,617,RECORD,P01,S01,ringPipIso,32,584,505,416,444,,0,0,222542671000000,28.23,20.91,16.64,31.73,8.87,4.18,27.46,9.57,1.35,31.32,25.82,44.89,33.21,11.58,8.2,0
222542687000000,618,RECORD,P01,S01,ringPipIso,32,581,507,409,445,,0,0,222542687000000,28.23,20.91,16.64,31.73,8.87,4.18,27.46,9.57,1.35,31.32,25.82,44.89,33.21,11.58,8.2,0
222542687000000,619,RECORD,P01,S01,ringPipIso,32,579,507,408,441,,0,0,222542687000000,28.23,20.91,16.64,31.73,8.87,4.18,27.46,9.57,1.35,31.32,25.82,44.89,33.21,11.58,8.2,0
222542703000000,620,RECORD,P01,S01,ringPipIso,32,574,506,406,437,,0,0,222542703000000,28.23,20.91,16.64,31.73,8.87,4.18,27.46,9.57,1.35,31.32,25.82,44.89,33.21,11.58,8.2,0
222542703000000,621,RECORD,P01,S01,ringPipIso,32,570,504,404,441,,0,0,222542703000000,28.23,20.91,16.64,31.73,8.87,4.18,27.46,9.57,1.35,31.32,25.82,44.89,33.21,11.58,8.2,0
222542718000000,622,RECORD,P01,S01,ringPipIso,32,568,506,403,436,,0,0,222542718000000,27.9,21.36,16.32,32.51,8.72,4.24,27.82,9.68,1.3,31.37,26.93,49.0,33.05,11.96,8.9,0
222542734000000,623,RECORD,P01,S01,ringPipIso,32,559,506,401,433,,0,0,222542734000000,27.9,21.36,16.32,32.51,8.72,4.24,27.82,9.68,1.3,31.37,26.93,49.0,33.05,11.96,8.9,0
222542734000000,624,RECORD,P01,S01,ringPipIso,32,556,502,400,430,,0,0,222542734000000,27.9,21.36,16.32,32.51,8.72,4.24,27.82,9.68,1.3,31.37,26.93,49.0,33.05,11.96,8.9,0
222542750000000,625,RECORD,P01,S01,ringPipIso,32,558,505,397,430,,0,0,222542750000000,27.9,21.36,16.32,32.51,8.72,4.24,27.82,9.68,1.3,31.37,26.93,49.0,33.05,11.96,8.9,0
222542765000000,626,RECORD,P01,S01,ringPipIso,32,558,506,397,430,,0,0,222542765000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542765000000,627,RECORD,P01,S01,ringPipIso,32,558,508,393,427,,0,0,222542765000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542781000000,628,RECORD,P01,S01,ringPipIso,32,556,505,388,430,,0,0,222542781000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542796000000,629,RECORD,P01,S01,ringPipIso,32,560,506,384,429,,0,0,222542796000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542796000000,630,RECORD,P01,S01,ringPipIso,32,560,506,382,427,,0,0,222542796000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542812000000,631,RECORD,P01,S01,ringPipIso,32,559,507,381,429,,0,0,222542812000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542812000000,632,RECORD,P01,S01,ringPipIso,32,561,508,379,429,,0,0,222542812000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542828000000,633,RECORD,P01,S01,ringPipIso,32,565,508,369,429,,0,0,222542828000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542843000000,634,RECORD,P01,S01,ringPipIso,32,572,508,368,427,,0,0,222542843000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542843000000,635,RECORD,P01,S01,ringPipIso,32,576,509,366,416,,0,0,222542843000000,27.84,21.26,15.62,32.1,8.86,4.35,27.52,9.82,1.2,31.27,25.01,45.95,33.25,11.8,8.88,0
222542859000000,636,RECORD,P01,S01,ringPipIso,32,578,509,365,430,,0,0,222542859000000,28.73,21.04,15.1,32.27,9.25,4.36,27.83,9.76,1.1,31.56,26.23,46.18,33.34,11.48,7.9,0
222542875000000,637,RECORD,P01,S01,ringPipIso,32,583,509,364,429,,0,0,222542875000000,28.73,21.04,15.1,32.27,9.25,4.36,27.83,9.76,1.1,31.56,26.23,46.18,33.34,11.48,7.9,0
222542875000000,638,RECORD,P01,S01,ringPipIso,32,584,509,362,428,,0,0,222542875000000,28.73,21.04,15.1,32.27,9.25,4.36,27.83,9.76,1.1,31.56,26.23,46.18,33.34,11.48,7.9,0
222542890000000,639,RECORD,P01,S01,ringPipIso,32,593,509,359,428,,0,0,222542890000000,28.73,21.04,15.1,32.27,9.25,4.36,27.83,9.76,1.1,31.56,26.23,46.18,33.34,11.48,7.9,0
222542906000000,640,RECORD,P01,S01,ringPipIso,32,586,510,357,427,,0,0,222542906000000,28.8,20.9,14.73,31.82,8.72,4.33,28.04,9.87,1.12,32.24,26.26,45.52,33.75,11.61,8.04,0
222542906000000,641,RECORD,P01,S01,ringPipIso,32,585,509,355,428,,0,0,222542906000000,28.8,20.9,14.73,31.82,8.72,4.33,28.04,9.87,1.12,32.24,26.26,45.52,33.75,11.61,8.04,0
222542921000000,642,RECORD,P01,S01,ringPipIso,32,582,510,351,428,,0,0,222542921000000,28.8,20.9,14.73,31.82,8.72,4.33,28.04,9.87,1.12,32.24,26.26,45.52,33.75,11.61,8.04,0
222542937000000,643,RECORD,P01,S01,ringPipIso,32,579,511,348,428,,0,0,222542937000000,28.8,20.9,14.73,31.82,8.72,4.33,28.04,9.87,1.12,32.24,26.26,45.52,33.75,11.61,8.04,0
222542937000000,644,RECORD,P01,S01,ringPipIso,32,578,512,343,426,,0,0,222542937000000,28.8,20.9,14.73,31.82,8.72,4.33,28.04,9.87,1.12,32.24,26.26,45.52,33.75,11.61,8.04,0
222542953000000,645,RECORD,P01,S01,ringPipIso,32,577,524,345,434,,0,0,222542953000000,28.23,21.18,15.3,32.03,9.12,4.48,28.01,9.93,1.63,31.95,25.14,44.5,34.63,12.11,9.72,0
222542953000000,646,RECORD,P01,S01,ringPipIso,32,579,526,343,427,,0,0,222542953000000,28.23,21.18,15.3,32.03,9.12,4.48,28.01,9.93,1.63,31.95,25.14,44.5,34.63,12.11,9.72,0
222542968000000,647,RECORD,P01,S01,ringPipIso,32,584,525,327,427,,0,0,222542968000000,28.23,21.18,15.3,32.03,9.12,4.48,28.01,9.93,1.63,31.95,25.14,44.5,34.63,12.11,9.72,0
222542984000000,648,RECORD,P01,S01,ringPipIso,32,582,527,327,428,,0,0,222542984000000,28.23,21.18,15.3,32.03,9.12,4.48,28.01,9.93,1.63,31.95,25.14,44.5,34.63,12.11,9.72,0
222542984000000,649,RECORD,P01,S01,ringPipIso,32,584,527,326,426,,0,0,222542984000000,28.23,21.18,15.3,32.03,9.12,4.48,28.01,9.93,1.63,31.95,25.14,44.5,34.63,12.11,9.72,0
222543000000000,650,RECORD,P01,S01,ringPipIso,32,583,528,326,428,,0,0,222543000000000,28.8,21.25,14.74,32.24,9.31,4.68,28.36,10.25,1.23,32.13,25.24,43.34,34.18,11.9,8.91,0
222543015000000,651,RECORD,P01,S01,ringPipIso,32,582,527,326,427,,0,0,222543015000000,28.8,21.25,14.74,32.24,9.31,4.68,28.36,10.25,1.23,32.13,25.24,43.34,34.18,11.9,8.91,0
222543015000000,652,RECORD,P01,S01,ringPipIso,32,582,529,327,427,,0,0,222543015000000,28.8,21.25,14.74,32.24,9.31,4.68,28.36,10.25,1.23,32.13,25.24,43.34,34.18,11.9,8.91,0
222543031000000,653,RECORD,P01,S01,ringPipIso,32,577,532,327,427,,0,0,222543031000000,28.8,21.25,14.74,32.24,9.31,4.68,28.36,10.25,1.23,32.13,25.24,43.34,34.18,11.9,8.91,0
222543046000000,654,RECORD,P01,S01,ringPipIso,32,575,536,325,427,,0,0,222543046000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
222543046000000,655,RECORD,P01,S01,ringPipIso,32,569,546,326,426,,0,0,222543046000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
222543062000000,656,RECORD,P01,S01,ringPipIso,32,568,543,324,426,,0,0,222543062000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
222543062000000,657,RECORD,P01,S01,ringPipIso,32,571,544,326,427,,0,0,222543062000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
222543078000000,658,RECORD,P01,S01,ringPipIso,32,572,545,326,427,,0,0,222543078000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
222543093000000,659,RECORD,P01,S01,ringPipIso,32,577,546,325,427,,0,0,222543093000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
222543093000000,660,RECORD,P01,S01,ringPipIso,32,580,546,326,427,,0,0,222543093000000,28.71,21.06,15.46,32.39,9.66,4.62,28.17,9.74,1.73,31.71,22.46,40.11,34.58,11.09,8.58,0
