t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222105484000000,600,RECORD,P01,S01,thumbIpIso,9,293,498,228,333,RECORD_START,1,0,222105484000000,18.05,14.98,3.63,16.97,6.98,3.02,11.65,6.38,1.63,19.42,5.55,2.84,26.96,7.08,3.42,0
222105500000000,601,RECORD,P01,S01,thumbIpIso,9,288,497,230,334,,1,0,222105500000000,18.05,14.98,3.63,16.97,6.98,3.02,11.65,6.38,1.63,19.42,5.55,2.84,26.96,7.08,3.42,0
222105500000000,602,RECORD,P01,S01,thumbIpIso,9,288,498,229,335,,1,0,222105500000000,18.05,14.98,3.63,16.97,6.98,3.02,11.65,6.38,1.63,19.42,5.55,2.84,26.96,7.08,3.42,0
222105515000000,603,RECORD,P01,S01,thumbIpIso,9,288,499,229,333,,1,0,222105515000000,18.3,14.74,3.6,16.87,6.92,2.97,11.64,6.26,1.54,19.39,5.48,2.54,26.93,6.95,3.36,0
222105531000000,604,RECORD,P01,S01,thumbIpIso,9,291,499,229,336,,1,0,222105531000000,18.3,14.74,3.6,16.87,6.92,2.97,11.64,6.26,1.54,19.39,5.48,2.54,26.93,6.95,3.36,0
222105531000000,605,RECORD,P01,S01,thumbIpIso,9,284,498,229,336,,1,0,222105531000000,18.3,14.74,3.6,16.87,6.92,2.97,11.64,6.26,1.54,19.39,5.48,2.54,26.93,6.95,3.36,0
222105546000000,606,RECORD,P01,S01,thumbIpIso,9,288,497,228,336,,1,0,222105546000000,18.3,14.74,3.6,16.87,6.92,2.97,11.64,6.26,1.54,19.39,5.48,2.54,26.93,6.95,3.36,0
222105562000000,607,RECORD,P01,S01,thumbIpIso,9,290,500,228,334,,0,0,222105562000000,18.1,14.79,3.49,16.81,6.96,2.96,11.38,6.23,1.62,19.21,5.4,2.65,26.71,6.92,3.41,0
222105562000000,608,RECORD,P01,S01,thumbIpIso,9,289,498,227,336,,0,0,222105562000000,18.1,14.79,3.49,16.81,6.96,2.96,11.38,6.23,1.62,19.21,5.4,2.65,26.71,6.92,3.41,0
222105578000000,609,RECORD,P01,S01,thumbIpIso,9,291,501,230,337,,0,0,222105578000000,18.1,14.79,3.49,16.81,6.96,2.96,11.38,6.23,1.62,19.21,5.4,2.65,26.71,6.92,3.41,0
222105578000000,610,RECORD,P01,S01,thumbIpIso,9,293,501,228,337,,0,0,222105578000000,18.1,14.79,3.49,16.81,6.96,2.96,11.38,6.23,1.62,19.21,5.4,2.65,26.71,6.92,3.41,0
222105593000000,611,RECORD,P01,S01,thumbIpIso,9,289,501,229,337,,0,0,222105593000000,18.1,14.79,3.49,16.81,6.96,2.96,11.38,6.23,1.62,19.21,5.4,2.65,26.71,6.92,3.41,0
222105609000000,612,RECORD,P01,S01,thumbIpIso,9,290,500,230,336,,0,0,222105609000000,17.91,15.06,3.74,17.07,6.93,3.0,11.39,6.13,1.47,19.02,5.21,2.56,26.54,6.8,3.37,0
222105609000000,613,RECORD,P01,S01,thumbIpIso,9,292,500,230,336,,0,0,222105609000000,17.91,15.06,3.74,17.07,6.93,3.0,11.39,6.13,1.47,19.02,5.21,2.56,26.54,6.8,3.37,0
222105625000000,614,RECORD,P01,S01,thumbIpIso,9,291,500,227,336,,0,0,222105625000000,17.91,15.06,3.74,17.07,6.93,3.0,11.39,6.13,1.47,19.02,5.21,2.56,26.54,6.8,3.37,0
222105640000000,615,RECORD,P01,S01,thumbIpIso,9,294,501,228,335,,0,0,222105640000000,17.91,15.06,3.74,17.07,6.93,3.0,11.39,6.13,1.47,19.02,5.21,2.56,26.54,6.8,3.37,0
222105640000000,616,RECORD,P01,S01,thumbIpIso,9,291,501,226,337,,0,0,222105640000000,17.91,15.06,3.74,17.07,6.93,3.0,11.39,6.13,1.47,19.02,5.21,2.56,26.54,6.8,3.37,0
222105656000000,617,RECORD,P01,S01,thumbIpIso,9,289,500,227,337,,0,0,222105656000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105671000000,618,RECORD,P01,S01,thumbIpIso,9,289,501,227,336,,0,0,222105671000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105671000000,619,RECORD,P01,S01,thumbIpIso,9,290,500,228,336,,0,0,222105671000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105687000000,620,RECORD,P01,S01,thumbIpIso,9,289,500,231,335,,0,0,222105687000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105703000000,621,RECORD,P01,S01,thumbIpIso,9,290,500,229,336,,0,0,222105703000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105703000000,622,RECORD,P01,S01,thumbIpIso,9,291,499,227,336,,0,0,222105703000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105718000000,623,RECORD,P01,S01,thumbIpIso,9,290,500,228,335,,0,0,222105718000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105718000000,624,RECORD,P01,S01,thumbIpIso,9,290,500,228,335,,0,0,222105718000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105734000000,625,RECORD,P01,S01,thumbIpIso,9,291,500,228,336,,0,0,222105734000000,17.92,15.05,4.33,16.37,6.36,3.16,11.29,5.84,1.4,19.13,5.14,2.59,26.64,6.97,3.46,0
222105750000000,626,RECORD,P01,S01,thumbIpIso,9,291,498,228,332,,0,0,222105750000000,17.8,14.76,4.05,16.78,6.52,3.01,11.43,5.97,1.36,19.22,5.29,2.61,26.7,6.89,3.36,0
222105750000000,627,RECORD,P01,S01,thumbIpIso,9,287,499,229,336,,0,0,222105750000000,17.8,14.76,4.05,16.78,6.52,3.01,11.43,5.97,1.36,19.22,5.29,2.61,26.7,6.89,3.36,0
222105765000000,628,RECORD,P01,S01,thumbIpIso,9,289,501,229,334,,0,0,222105765000000,17.8,14.76,4.05,16.78,6.52,3.01,11.43,5.97,1.36,19.22,5.29,2.61,26.7,6.89,3.36,0
222105781000000,629,RECORD,P01,S01,thumbIpIso,9,290,501,228,336,,0,0,222105781000000,17.8,14.76,4.05,16.78,6.52,3.01,11.43,5.97,1.36,19.22,5.29,2.61,26.7,6.89,3.36,0
222105781000000,630,RECORD,P01,S01,thumbIpIso,9,291,500,228,335,,0,0,222105781000000,17.8,14.76,4.05,16.78,6.52,3.01,11.43,5.97,1.36,19.22,5.29,2.61,26.7,6.89,3.36,0
222105796000000,631,RECORD,P01,S01,thumbIpIso,9,290,500,226,335,,0,0,222105796000000,17.94,15.15,4.28,16.66,6.52,3.03,11.34,5.9,1.33,19.03,5.01,2.49,26.6,6.72,3.39,0
222105812000000,632,RECORD,P01,S01,thumbIpIso,9,290,499,228,334,,0,0,222105812000000,17.94,15.15,4.28,16.66,6.52,3.03,11.34,5.9,1.33,19.03,5.01,2.49,26.6,6.72,3.39,0
222105812000000,633,RECORD,P01,S01,thumbIpIso,9,290,502,228,334,,0,0,222105812000000,17.94,15.15,4.28,16.66,6.52,3.03,11.34,5.9,1.33,19.03,5.01,2.49,26.6,6.72,3.39,0
222105828000000,634,RECORD,P01,S01,thumbIpIso,9,290,499,232,335,,0,0,222105828000000,17.94,15.15,4.28,16.66,6.52,3.03,11.34,5.9,1.33,19.03,5.01,2.49,26.6,6.72,3.39,0
222105828000000,635,RECORD,P01,S01,thumbIpIso,9,290,500,228,331,,0,0,222105828000000,17.94,15.15,4.28,16.66,6.52,3.03,11.34,5.9,1.33,19.03,5.01,2.49,26.6,6.72,3.39,0
222105843000000,636,RECORD,P01,S01,thumbIpIso,9,290,498,230,333,,0,0,222105843000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105859000000,637,RECORD,P01,S01,thumbIpIso,9,289,500,227,334,,0,0,222105859000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105859000000,638,RECORD,P01,S01,thumbIpIso,9,292,499,228,332,,0,0,222105859000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105875000000,639,RECORD,P01,S01,thumbIpIso,9,288,500,228,334,,0,0,222105875000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105890000000,640,RECORD,P01,S01,thumbIpIso,9,290,498,228,336,,0,0,222105890000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105890000000,641,RECORD,P01,S01,thumbIpIso,9,289,500,228,334,,0,0,222105890000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105906000000,642,RECORD,P01,S01,thumbIpIso,9,288,499,226,333,,0,0,222105906000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105921000000,643,RECORD,P01,S01,thumbIpIso,9,289,498,226,333,,0,0,222105921000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105921000000,644,RECORD,P01,S01,thumbIpIso,9,288,500,226,332,,0,0,222105921000000,17.31,15.11,3.22,16.82,6.6,3.21,11.64,6.15,1.52,19.23,5.42,2.64,26.6,7.15,3.43,0
222105937000000,645,RECORD,P01,S01,thumbIpIso,9,288,500,226,331,,0,0,222105937000000,18.12,14.71,4.15,16.82,6.56,3.07,11.41,6.04,1.42,19.24,5.32,2.63,26.9,6.8,3.42,0
222105953000000,646,RECORD,P01,S01,thumbIpIso,9,289,500,226,334,,0,0,222105953000000,18.12,14.71,4.15,16.82,6.56,3.07,11.41,6.04,1.42,19.24,5.32,2.63,26.9,6.8,3.42,0
222105953000000,647,RECORD,P01,S01,thumbIpIso,9,287,498,226,333,,0,0,222105953000000,18.12,14.71,4.15,16.82,6.56,3.07,11.41,6.04,1.42,19.24,5.32,2.63,26.9,6.8,3.42,0
222105968000000,648,RECORD,P01,S01,thumbIpIso,9,290,506,225,334,,0,0,222105968000000,18.12,14.71,4.15,16.82,6.56,3.07,11.41,6.04,1.42,19.24,5.32,2.63,26.9,6.8,3.42,0
222105968000000,649,RECORD,P01,S01,thumbIpIso,9,290,500,226,333,,0,0,222105968000000,18.12,14.71,4.15,16.82,6.56,3.07,11.41,6.04,1.42,19.24,5.32,2.63,26.9,6.8,3.42,0
222105984000000,650,RECORD,P01,S01,thumbIpIso,9,290,500,226,333,,0,0,222105984000000,18.63,14.76,2.99,16.56,6.59,3.08,11.69,6.09,1.49,19.69,5.26,2.55,27.11,7.05,3.38,0
222106000000000,651,RECORD,P01,S01,thumbIpIso,9,290,500,226,332,,0,0,222106000000000,18.63,14.76,2.99,16.56,6.59,3.08,11.69,6.09,1.49,19.69,5.26,2.55,27.11,7.05,3.38,0
222106000000000,652,RECORD,P01,S01,thumbIpIso,9,291,500,226,333,,0,0,222106000000000,18.63,14.76,2.99,16.56,6.59,3.08,11.69,6.09,1.49,19.69,5.26,2.55,27.11,7.05,3.38,0
222106015000000,653,RECORD,P01,S01,thumbIpIso,9,291,500,226,332,,0,0,222106015000000,18.63,14.76,2.99,16.56,6.59,3.08,11.69,6.09,1.49,19.69,5.26,2.55,27.11,7.05,3.38,0
