t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222048484000000,600,RECORD,P01,S01,thumbMcpIso,6,206,494,167,318,RECORD_START,1,0,222048484000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048500000000,601,RECORD,P01,S01,thumbMcpIso,6,208,493,165,319,,1,0,222048500000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048500000000,602,RECORD,P01,S01,thumbMcpIso,6,206,494,166,317,,1,0,222048500000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048515000000,603,RECORD,P01,S01,thumbMcpIso,6,206,493,165,317,,1,0,222048515000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048531000000,604,RECORD,P01,S01,thumbMcpIso,6,206,494,167,318,,1,0,222048531000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048531000000,605,RECORD,P01,S01,thumbMcpIso,6,204,493,167,317,,1,0,222048531000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048546000000,606,RECORD,P01,S01,thumbMcpIso,6,207,493,166,318,,1,0,222048546000000,17.81,19.04,8.81,17.51,6.65,3.69,15.52,7.58,2.13,22.49,6.72,3.62,27.85,7.37,4.36,0
222048562000000,607,RECORD,P01,S01,thumbMcpIso,6,204,496,167,318,,0,0,222048562000000,17.46,18.92,8.99,17.67,6.74,3.7,15.34,7.62,2.31,22.36,6.69,3.73,27.49,7.39,4.35,0
222048562000000,608,RECORD,P01,S01,thumbMcpIso,6,208,494,167,319,,0,0,222048562000000,17.46,18.92,8.99,17.67,6.74,3.7,15.34,7.62,2.31,22.36,6.69,3.73,27.49,7.39,4.35,0
222048578000000,609,RECORD,P01,S01,thumbMcpIso,6,207,496,168,317,,0,0,222048578000000,17.46,18.92,8.99,17.67,6.74,3.7,15.34,7.62,2.31,22.36,6.69,3.73,27.49,7.39,4.35,0
222048578000000,610,RECORD,P01,S01,thumbMcpIso,6,205,496,167,320,,0,0,222048578000000,17.46,18.92,8.99,17.67,6.74,3.7,15.34,7.62,2.31,22.36,6.69,3.73,27.49,7.39,4.35,0
222048593000000,611,RECORD,P01,S01,thumbMcpIso,6,216,496,172,320,,0,0,222048593000000,17.46,18.92,8.99,17.67,6.74,3.7,15.34,7.62,2.31,22.36,6.69,3.73,27.49,7.39,4.35,0
222048609000000,612,RECORD,P01,S01,thumbMcpIso,6,206,496,168,320,,0,0,222048609000000,17.68,18.97,8.46,17.39,6.81,3.59,15.22,7.49,2.13,22.42,6.46,3.64,27.94,7.14,4.29,0
222048609000000,613,RECORD,P01,S01,thumbMcpIso,6,206,495,170,321,,0,0,222048609000000,17.68,18.97,8.46,17.39,6.81,3.59,15.22,7.49,2.13,22.42,6.46,3.64,27.94,7.14,4.29,0
