t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222960640000000,600,RECORD,P01,S01,tipPinch,54,332,344,213,363,RECORD_START,0,0,222960640000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960656000000,601,RECORD,P01,S01,tipPinch,54,332,343,210,363,,0,0,222960656000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960656000000,602,RECORD,P01,S01,tipPinch,54,332,344,210,363,,0,0,222960656000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960671000000,603,RECORD,P01,S01,tipPinch,54,331,343,211,362,,0,0,222960671000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960687000000,604,RECORD,P01,S01,tipPinch,54,331,342,211,363,,0,0,222960687000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960687000000,605,RECORD,P01,S01,tipPinch,54,333,342,211,363,,0,0,222960687000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960703000000,606,RECORD,P01,S01,tipPinch,54,337,343,213,362,,0,0,222960703000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960718000000,607,RECORD,P01,S01,tipPinch,54,338,343,211,363,,0,0,222960718000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960718000000,608,RECORD,P01,S01,tipPinch,54,340,343,212,364,,0,0,222960718000000,27.47,22.7,23.66,41.16,29.42,33.15,37.19,13.64,2.77,34.77,10.68,4.5,28.53,8.13,4.03,0
222960734000000,609,RECORD,P01,S01,tipPinch,54,342,344,210,363,,0,0,222960734000000,27.4,23.16,23.35,41.47,29.06,33.45,37.49,13.63,3.19,35.08,10.77,4.72,28.91,8.18,4.08,0
222960750000000,610,RECORD,P01,S01,tipPinch,54,343,343,212,363,,0,0,222960750000000,27.4,23.16,23.35,41.47,29.06,33.45,37.49,13.63,3.19,35.08,10.77,4.72,28.91,8.18,4.08,0
222960750000000,611,RECORD,P01,S01,tipPinch,54,343,344,212,363,,0,0,222960750000000,27.4,23.16,23.35,41.47,29.06,33.45,37.49,13.63,3.19,35.08,10.77,4.72,28.91,8.18,4.08,0
222960765000000,612,RECORD,P01,S01,tipPinch,54,343,343,212,363,,0,0,222960765000000,27.4,23.16,23.35,41.47,29.06,33.45,37.49,13.63,3.19,35.08,10.77,4.72,28.91,8.18,4.08,0
222960765000000,613,RECORD,P01,S01,tipPinch,54,343,344,213,363,,0,0,222960765000000,27.4,23.16,23.35,41.47,29.06,33.45,37.49,13.63,3.19,35.08,10.77,4.72,28.91,8.18,4.08,0
222960781000000,614,RECORD,P01,S01,tipPinch,54,343,343,212,363,,0,0,222960781000000,27.63,23.01,23.17,41.19,29.26,34.09,37.22,13.64,3.07,35.14,10.93,4.7,28.57,8.44,4.17,0
222960796000000,615,RECORD,P01,S01,tipPinch,54,343,344,212,362,,0,0,222960796000000,27.63,23.01,23.17,41.19,29.26,34.09,37.22,13.64,3.07,35.14,10.93,4.7,28.57,8.44,4.17,0
222960796000000,616,RECORD,P01,S01,tipPinch,54,343,343,211,360,,0,0,222960796000000,27.63,23.01,23.17,41.19,29.26,34.09,37.22,13.64,3.07,35.14,10.93,4.7,28.57,8.44,4.17,0
222960812000000,617,RECORD,P01,S01,tipPinch,54,343,342,208,361,,0,0,222960812000000,27.63,23.01,23.17,41.19,29.26,34.09,37.22,13.64,3.07,35.14,10.93,4.7,28.57,8.44,4.17,0
222960828000000,618,RECORD,P01,S01,tipPinch,54,343,343,211,361,,0,0,222960828000000,27.69,22.97,23.28,41.36,29.49,34.2,37.38,13.66,3.1,35.15,10.8,4.71,28.72,8.36,4.16,0
222960828000000,619,RECORD,P01,S01,tipPinch,54,341,342,211,361,,0,0,222960828000000,27.69,22.97,23.28,41.36,29.49,34.2,37.38,13.66,3.1,35.15,10.8,4.71,28.72,8.36,4.16,0
222960843000000,620,RECORD,P01,S01,tipPinch,54,344,342,211,361,,0,0,222960843000000,27.69,22.97,23.28,41.36,29.49,34.2,37.38,13.66,3.1,35.15,10.8,4.71,28.72,8.36,4.16,0
222960859000000,621,RECORD,P01,S01,tipPinch,54,343,342,208,361,,0,0,222960859000000,27.69,22.97,23.28,41.36,29.49,34.2,37.38,13.66,3.1,35.15,10.8,4.71,28.72,8.36,4.16,0
222960859000000,622,RECORD,P01,S01,tipPinch,54,344,344,211,361,,0,0,222960859000000,27.69,22.97,23.28,41.36,29.49,34.2,37.38,13.66,3.1,35.15,10.8,4.71,28.72,8.36,4.16,0
222960875000000,623,RECORD,P01,S01,tipPinch,54,344,343,211,361,,0,0,222960875000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960875000000,624,RECORD,P01,S01,tipPinch,54,344,343,211,362,,0,0,222960875000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960890000000,625,RECORD,P01,S01,tipPinch,54,345,344,213,364,,0,0,222960890000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960906000000,626,RECORD,P01,S01,tipPinch,54,344,343,212,362,,0,0,222960906000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960906000000,627,RECORD,P01,S01,tipPinch,54,344,344,212,363,,0,0,222960906000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960921000000,628,RECORD,P01,S01,tipPinch,54,344,344,211,362,,0,0,222960921000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960937000000,629,RECORD,P01,S01,tipPinch,54,344,344,213,362,,0,0,222960937000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960937000000,630,RECORD,P01,S01,tipPinch,54,344,344,213,357,,0,0,222960937000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
222960953000000,631,RECORD,P01,S01,tipPinch,54,348,344,211,362,,0,0,222960953000000,27.9,22.6,23.04,40.83,29.12,33.77,37.0,13.7,3.09,35.05,10.96,4.81,28.54,8.45,4.33,0
