t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag,t_monotonic_ns_targets,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag_targets
222865640000000,607,RECORD,P01,S01,tripodGrip,49,466,495,288,380,RECORD_START,0,0,222865640000000,31.98,16.13,1.05,39.84,18.04,3.02,42.8,25.53,12.96,32.52,12.85,4.32,20.65,2.69,3.48,0
222865656000000,608,RECORD,P01,S01,tripodGrip,49,467,494,286,379,,0,0,222865656000000,31.27,16.7,1.73,39.06,19.26,3.88,42.8,26.4,13.95,32.25,12.61,5.02,20.2,3.04,3.39,0
222865656000000,609,RECORD,P01,S01,tripodGrip,49,469,494,286,375,,0,0,222865656000000,31.27,16.7,1.73,39.06,19.26,3.88,42.8,26.4,13.95,32.25,12.61,5.02,20.2,3.04,3.39,0
222865671000000,610,RECORD,P01,S01,tripodGrip,49,466,492,287,377,,0,0,222865671000000,31.27,16.7,1.73,39.06,19.26,3.88,42.8,26.4,13.95,32.25,12.61,5.02,20.2,3.04,3.39,0
222865687000000,611,RECORD,P01,S01,tripodGrip,49,466,490,287,376,,0,0,222865687000000,31.27,16.7,1.73,39.06,19.26,3.88,42.8,26.4,13.95,32.25,12.61,5.02,20.2,3.04,3.39,0
222865687000000,612,RECORD,P01,S01,tripodGrip,49,467,489,287,376,,0,0,222865687000000,31.27,16.7,1.73,39.06,19.26,3.88,42.8,26.4,13.95,32.25,12.61,5.02,20.2,3.04,3.39,0
222865703000000,613,RECORD,P01,S01,tripodGrip,49,467,487,286,375,,0,0,222865703000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865718000000,614,RECORD,P01,S01,tripodGrip,49,469,486,286,376,,0,0,222865718000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865718000000,615,RECORD,P01,S01,tripodGrip,49,462,485,284,376,,0,0,222865718000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865734000000,616,RECORD,P01,S01,tripodGrip,49,468,485,287,376,,0,0,222865734000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865734000000,617,RECORD,P01,S01,tripodGrip,49,466,489,287,376,,0,0,222865734000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865750000000,618,RECORD,P01,S01,tripodGrip,49,465,482,286,377,,0,0,222865750000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865765000000,619,RECORD,P01,S01,tripodGrip,49,468,478,285,377,,0,0,222865765000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865765000000,620,RECORD,P01,S01,tripodGrip,49,464,481,285,378,,0,0,222865765000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865781000000,621,RECORD,P01,S01,tripodGrip,49,464,475,285,377,,0,0,222865781000000,32.65,16.23,1.16,39.83,18.3,3.42,43.09,25.72,13.1,32.44,12.48,3.93,20.35,2.72,4.06,0
222865796000000,622,RECORD,P01,S01,tripodGrip,49,464,475,285,379,,0,0,222865796000000,32.22,15.74,1.85,39.07,18.32,3.0,42.51,25.85,12.57,32.01,12.45,3.77,20.27,2.96,4.22,0
222865796000000,623,RECORD,P01,S01,tripodGrip,49,471,473,286,378,,0,0,222865796000000,32.22,15.74,1.85,39.07,18.32,3.0,42.51,25.85,12.57,32.01,12.45,3.77,20.27,2.96,4.22,0
222865812000000,624,RECORD,P01,S01,tripodGrip,49,463,474,283,379,,0,0,222865812000000,32.22,15.74,1.85,39.07,18.32,3.0,42.51,25.85,12.57,32.01,12.45,3.77,20.27,2.96,4.22,0
222865828000000,625,RECORD,P01,S01,tripodGrip,49,463,474,285,376,,0,0,222865828000000,32.22,15.74,1.85,39.07,18.32,3.0,42.51,25.85,12.57,32.01,12.45,3.77,20.27,2.96,4.22,0
222865828000000,626,RECORD,P01,S01,tripodGrip,49,462,474,284,375,,0,0,222865828000000,32.22,15.74,1.85,39.07,18.32,3.0,42.51,25.85,12.57,32.01,12.45,3.77,20.27,2.96,4.22,0
222865843000000,627,RECORD,P01,S01,tripodGrip,49,455,471,286,376,,0,0,222865843000000,31.67,16.83,1.86,39.11,19.45,3.86,42.98,27.14,13.5,32.66,12.49,3.79,20.75,3.51,4.67,0
222865859000000,628,RECORD,P01,S01,tripodGrip,49,460,472,285,378,,0,0,222865859000000,31.67,16.83,1.86,39.11,19.45,3.86,42.98,27.14,13.5,32.66,12.49,3.79,20.75,3.51,4.67,0
