t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223258640000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258656000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258671000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258671000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258687000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258703000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258703000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258718000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258718000000,29.53,19.82,4.56,22.25,6.53,3.36,14.55,6.4,1.0,18.16,3.75,1.58,25.76,3.93,2.79,0
223258734000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258750000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258750000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258765000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258781000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258781000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258796000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258812000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258812000000,29.25,19.22,4.65,22.22,6.33,3.26,14.59,6.42,1.0,18.22,3.82,1.63,25.8,3.96,2.72,0
223258828000000,29.77,19.39,5.15,22.47,7.21,3.45,15.14,6.94,1.08,19.17,4.18,1.66,26.2,4.06,2.75,0
223258843000000,29.77,19.39,5.15,22.47,7.21,3.45,15.14,6.94,1.08,19.17,4.18,1.66,26.2,4.06,2.75,0
223258843000000,29.77,19.39,5.15,22.47,7.21,3.45,15.14,6.94,1.08,19.17,4.18,1.66,26.2,4.06,2.75,0
223258859000000,29.77,19.39,5.15,22.47,7.21,3.45,15.14,6.94,1.08,19.17,4.18,1.66,26.2,4.06,2.75,0
223258859000000,29.77,19.39,5.15,22.47,7.21,3.45,15.14,6.94,1.08,19.17,4.18,1.66,26.2,4.06,2.75,0
223258875000000,29.34,19.38,5.18,22.59,7.04,3.44,15.13,6.67,1.02,18.92,3.87,1.53,26.2,3.75,2.74,0
223258890000000,29.34,19.38,5.18,22.59,7.04,3.44,15.13,6.67,1.02,18.92,3.87,1.53,26.2,3.75,2.74,0
223258890000000,29.34,19.38,5.18,22.59,7.04,3.44,15.13,6.67,1.02,18.92,3.87,1.53,26.2,3.75,2.74,0
