t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223277640000000,0,PREP,P01,S01,counting,71,415,501,275,401,PREP_START,0,0
223277656000000,1,PREP,P01,S01,counting,71,415,502,277,398,,0,0
223277671000000,2,PREP,P01,S01,counting,71,415,500,276,400,,0,0
223277671000000,3,PREP,P01,S01,counting,71,416,501,277,400,,0,0
223277687000000,4,PREP,P01,S01,counting,71,415,492,276,400,,0,0
223277703000000,5,PREP,P01,S01,counting,71,415,492,276,395,,0,0
223277703000000,6,PREP,P01,S01,counting,71,416,492,276,396,,0,0
223277718000000,7,PREP,P01,S01,counting,71,415,491,276,393,,0,0
223277718000000,8,PREP,P01,S01,counting,71,416,492,277,394,,0,0
223277734000000,9,PREP,P01,S01,counting,71,416,498,277,396,,0,0
223277750000000,10,PREP,P01,S01,counting,71,416,499,277,399,,0,0
223277750000000,11,PREP,P01,S01,counting,71,416,499,277,397,,0,0
223277765000000,12,PREP,P01,S01,counting,71,416,498,277,399,,0,0
223277781000000,13,PREP,P01,S01,counting,71,418,500,277,400,,0,0
223277781000000,14,PREP,P01,S01,counting,71,418,502,278,402,,0,0
223277796000000,15,PREP,P01,S01,counting,71,428,504,279,407,,0,0
223277812000000,16,PREP,P01,S01,counting,71,452,506,282,414,,0,0
223277812000000,17,PREP,P01,S01,counting,71,471,507,283,420,,0,0
223277828000000,18,PREP,P01,S01,counting,71,515,516,283,420,,0,0
223277843000000,19,PREP,P01,S01,counting,71,555,523,283,422,,0,0
223277843000000,20,PREP,P01,S01,counting,71,573,526,283,424,,0,0
223277859000000,21,PREP,P01,S01,counting,71,585,533,289,428,,0,0
223277859000000,22,PREP,P01,S01,counting,71,595,542,293,429,,0,0
223277875000000,23,PREP,P01,S01,counting,71,603,545,296,426,,0,0
223277890000000,24,PREP,P01,S01,counting,71,627,553,309,430,,0,0
223277890000000,25,PREP,P01,S01,counting,71,639,556,332,431,,0,0
223277906000000,26,PREP,P01,S01,counting,71,648,558,338,431,,0,0
223277921000000,27,PREP,P01,S01,counting,71,655,558,351,432,,0,0
223277921000000,28,PREP,P01,S01,counting,71,665,562,356,428,,0,0
223277937000000,29,PREP,P01,S01,counting,71,672,568,371,431,,0,0
223277953000000,30,PREP,P01,S01,counting,71,678,580,379,428,,0,0
223277953000000,31,PREP,P01,S01,counting,71,691,584,381,429,,0,0
223277968000000,32,PREP,P01,S01,counting,71,696,588,388,420,,0,0
223277968000000,33,PREP,P01,S01,counting,71,703,593,386,432,,0,0
223277984000000,34,PREP,P01,S01,counting,71,705,596,388,455,,0,0
223278000000000,35,PREP,P01,S01,counting,71,719,602,388,463,,0,0
223278000000000,36,PREP,P01,S01,counting,71,723,604,385,477,,0,0
223278015000000,37,PREP,P01,S01,counting,71,728,604,389,504,,0,0
223278031000000,38,PREP,P01,S01,counting,71,736,609,388,514,,0,0
223278031000000,39,PREP,P01,S01,counting,71,742,608,388,531,,0,0
223278046000000,40,PREP,P01,S01,counting,71,750,615,388,549,,0,0
223278062000000,41,PREP,P01,S01,counting,71,759,614,385,563,,0,0
223278062000000,42,PREP,P01,S01,counting,71,766,614,412,570,,0,0
