t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223106640000000,21.71,16.88,10.79,13.21,5.15,2.81,9.59,5.29,1.94,17.97,4.12,3.99,23.58,5.99,3.13,0
223106656000000,21.71,16.88,10.79,13.21,5.15,2.81,9.59,5.29,1.94,17.97,4.12,3.99,23.58,5.99,3.13,0
223106671000000,21.71,16.88,10.79,13.21,5.15,2.81,9.59,5.29,1.94,17.97,4.12,3.99,23.58,5.99,3.13,0
223106671000000,21.71,16.88,10.79,13.21,5.15,2.81,9.59,5.29,1.94,17.97,4.12,3.99,23.58,5.99,3.13,0
223106687000000,22.25,16.92,12.54,14.46,5.62,3.01,10.18,5.63,2.16,18.34,4.38,4.09,24.86,6.13,2.88,0
223106687000000,22.25,16.92,12.54,14.46,5.62,3.01,10.18,5.63,2.16,18.34,4.38,4.09,24.86,6.13,2.88,0
223106703000000,22.25,16.92,12.54,14.46,5.62,3.01,10.18,5.63,2.16,18.34,4.38,4.09,24.86,6.13,2.88,0
223106718000000,22.25,16.92,12.54,14.46,5.62,3.01,10.18,5.63,2.16,18.34,4.38,4.09,24.86,6.13,2.88,0
223106718000000,22.25,16.92,12.54,14.46,5.62,3.01,10.18,5.63,2.16,18.34,4.38,4.09,24.86,6.13,2.88,0
223106734000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106750000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106750000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106765000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106781000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106781000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106796000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106796000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106812000000,22.39,17.51,13.09,14.19,4.98,2.81,9.43,5.1,1.82,17.79,4.05,3.61,24.28,5.68,2.89,0
223106828000000,22.0,17.85,14.37,14.78,5.06,2.9,9.86,5.08,1.95,18.12,4.07,3.54,24.75,5.62,2.82,0
223106843000000,22.0,17.85,14.37,14.78,5.06,2.9,9.86,5.08,1.95,18.12,4.07,3.54,24.75,5.62,2.82,0
223106843000000,22.0,17.85,14.37,14.78,5.06,2.9,9.86,5.08,1.95,18.12,4.07,3.54,24.75,5.62,2.82,0
223106859000000,22.0,17.85,14.37,14.78,5.06,2.9,9.86,5.08,1.95,18.12,4.07,3.54,24.75,5.62,2.82,0
223106859000000,22.0,17.85,14.37,14.78,5.06,2.9,9.86,5.08,1.95,18.12,4.07,3.54,24.75,5.62,2.82,0
223106875000000,22.58,17.97,15.77,14.32,4.43,2.78,9.69,4.57,1.8,18.26,3.42,3.56,24.88,5.28,2.84,0
223106890000000,22.58,17.97,15.77,14.32,4.43,2.78,9.69,4.57,1.8,18.26,3.42,3.56,24.88,5.28,2.84,0
223106890000000,22.58,17.97,15.77,14.32,4.43,2.78,9.69,4.57,1.8,18.26,3.42,3.56,24.88,5.28,2.84,0
223106906000000,22.58,17.97,15.77,14.32,4.43,2.78,9.69,4.57,1.8,18.26,3.42,3.56,24.88,5.28,2.84,0
223106921000000,22.22,18.63,16.28,15.56,5.04,2.83,10.1,4.86,2.0,18.11,3.65,3.39,25.03,5.16,2.78,0
223106921000000,22.22,18.63,16.28,15.56,5.04,2.83,10.1,4.86,2.0,18.11,3.65,3.39,25.03,5.16,2.78,0
223106937000000,22.22,18.63,16.28,15.56,5.04,2.83,10.1,4.86,2.0,18.11,3.65,3.39,25.03,5.16,2.78,0
223106937000000,22.22,18.63,16.28,15.56,5.04,2.83,10.1,4.86,2.0,18.11,3.65,3.39,25.03,5.16,2.78,0
223106953000000,22.22,18.63,16.28,15.56,5.04,2.83,10.1,4.86,2.0,18.11,3.65,3.39,25.03,5.16,2.78,0
223106968000000,21.39,18.63,15.21,15.11,4.52,2.69,9.41,4.34,2.16,17.13,3.31,3.59,24.36,4.96,3.0,0
223106968000000,21.39,18.63,15.21,15.11,4.52,2.69,9.41,4.34,2.16,17.13,3.31,3.59,24.36,4.96,3.0,0
223106984000000,21.39,18.63,15.21,15.11,4.52,2.69,9.41,4.34,2.16,17.13,3.31,3.59,24.36,4.96,3.0,0
223107000000000,21.39,18.63,15.21,15.11,4.52,2.69,9.41,4.34,2.16,17.13,3.31,3.59,24.36,4.96,3.0,0
223107000000000,21.39,18.63,15.21,15.11,4.52,2.69,9.41,4.34,2.16,17.13,3.31,3.59,24.36,4.96,3.0,0
223107015000000,21.39,18.63,15.21,15.11,4.52,2.69,9.41,4.34,2.16,17.13,3.31,3.59,24.36,4.96,3.0,0
