t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223125640000000,0,PREP,P01,S01,extensionGrip,63,286,427,260,371,PREP_START,0,0
223125656000000,1,PREP,P01,S01,extensionGrip,63,286,434,249,382,,0,0
223125671000000,2,PREP,P01,S01,extensionGrip,63,286,430,263,384,,0,0
223125671000000,3,PREP,P01,S01,extensionGrip,63,284,431,262,383,,0,0
223125687000000,4,PREP,P01,S01,extensionGrip,63,285,431,260,382,,0,0
223125687000000,5,PREP,P01,S01,extensionGrip,63,286,430,261,382,,0,0
223125703000000,6,PREP,P01,S01,extensionGrip,63,282,432,261,383,,0,0
223125718000000,7,PREP,P01,S01,extensionGrip,63,288,429,260,382,,0,0
223125718000000,8,PREP,P01,S01,extensionGrip,63,282,432,261,382,,0,0
223125734000000,9,PREP,P01,S01,extensionGrip,63,284,431,260,384,,0,0
223125750000000,10,PREP,P01,S01,extensionGrip,63,285,434,261,382,,0,0
223125750000000,11,PREP,P01,S01,extensionGrip,63,285,431,261,384,,0,0
223125765000000,12,PREP,P01,S01,extensionGrip,63,285,432,261,381,,0,0
223125781000000,13,PREP,P01,S01,extensionGrip,63,287,433,261,374,,0,0
223125781000000,14,PREP,P01,S01,extensionGrip,63,284,432,260,381,,0,0
223125796000000,15,PREP,P01,S01,extensionGrip,63,285,430,260,387,,0,0
223125812000000,16,PREP,P01,S01,extensionGrip,63,287,432,260,381,,0,0
223125812000000,17,PREP,P01,S01,extensionGrip,63,282,432,248,379,,0,0
223125828000000,18,PREP,P01,S01,extensionGrip,63,286,431,260,385,,0,0
223125828000000,19,PREP,P01,S01,extensionGrip,63,283,432,259,382,,0,0
223125843000000,20,PREP,P01,S01,extensionGrip,63,285,432,260,383,,0,0
223125859000000,21,PREP,P01,S01,extensionGrip,63,286,431,260,382,,0,0
223125859000000,22,PREP,P01,S01,extensionGrip,63,286,430,258,382,,0,0
223125875000000,23,PREP,P01,S01,extensionGrip,63,287,432,259,383,,0,0
223125890000000,24,PREP,P01,S01,extensionGrip,63,285,432,257,384,,0,0
223125890000000,25,PREP,P01,S01,extensionGrip,63,288,432,259,382,,0,0
223125906000000,26,PREP,P01,S01,extensionGrip,63,290,431,261,382,,0,0
223125921000000,27,PREP,P01,S01,extensionGrip,63,288,431,259,382,,0,0
223125921000000,28,PREP,P01,S01,extensionGrip,63,288,431,259,383,,0,0
223125937000000,29,PREP,P01,S01,extensionGrip,63,290,429,258,382,,0,0
223125937000000,30,PREP,P01,S01,extensionGrip,63,290,431,258,384,,0,0
223125953000000,31,PREP,P01,S01,extensionGrip,63,288,432,258,382,,0,0
223125968000000,32,PREP,P01,S01,extensionGrip,63,289,431,259,383,,0,0
223125968000000,33,PREP,P01,S01,extensionGrip,63,287,432,258,382,,0,0
223125984000000,34,PREP,P01,S01,extensionGrip,63,283,433,258,383,,0,0
223126000000000,35,PREP,P01,S01,extensionGrip,63,289,431,264,382,,0,0
223126000000000,36,PREP,P01,S01,extensionGrip,63,287,431,260,382,,0,0
