t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223220640000000,0,PREP,P01,S01,fingerSpread,68,521,539,318,430,PREP_START,0,0
223220656000000,1,PREP,P01,S01,fingerSpread,68,521,540,316,429,,0,0
223220671000000,2,PREP,P01,S01,fingerSpread,68,520,539,317,431,,0,0
223220671000000,3,PREP,P01,S01,fingerSpread,68,520,539,316,433,,0,0
223220687000000,4,PREP,P01,S01,fingerSpread,68,521,540,317,431,,0,0
223220703000000,5,PREP,P01,S01,fingerSpread,68,520,539,318,430,,0,0
223220703000000,6,PREP,P01,S01,fingerSpread,68,520,540,318,431,,0,0
223220718000000,7,PREP,P01,S01,fingerSpread,68,517,539,319,431,,0,0
223220718000000,8,PREP,P01,S01,fingerSpread,68,521,541,320,432,,0,0
223220734000000,9,PREP,P01,S01,fingerSpread,68,520,542,319,431,,0,0
223220750000000,10,PREP,P01,S01,fingerSpread,68,522,540,319,430,,0,0
223220750000000,11,PREP,P01,S01,fingerSpread,68,521,545,319,431,,0,0
223220765000000,12,PREP,P01,S01,fingerSpread,68,520,540,319,428,,0,0
223220781000000,13,PREP,P01,S01,fingerSpread,68,521,540,320,431,,0,0
223220781000000,14,PREP,P01,S01,fingerSpread,68,524,541,320,430,,0,0
223220796000000,15,PREP,P01,S01,fingerSpread,68,522,541,317,430,,0,0
223220812000000,16,PREP,P01,S01,fingerSpread,68,522,540,320,431,,0,0
223220812000000,17,PREP,P01,S01,fingerSpread,68,521,540,320,430,,0,0
223220828000000,18,PREP,P01,S01,fingerSpread,68,521,541,320,430,,0,0
223220828000000,19,PREP,P01,S01,fingerSpread,68,522,541,320,431,,0,0
223220843000000,20,PREP,P01,S01,fingerSpread,68,522,541,319,430,,0,0
223220859000000,21,PREP,P01,S01,fingerSpread,68,523,540,320,431,,0,0
223220859000000,22,PREP,P01,S01,fingerSpread,68,530,541,318,432,,0,0
223220875000000,23,PREP,P01,S01,fingerSpread,68,522,541,320,431,,0,0
223220890000000,24,PREP,P01,S01,fingerSpread,68,517,541,320,431,,0,0
223220890000000,25,PREP,P01,S01,fingerSpread,68,522,541,321,431,,0,0
223220906000000,26,PREP,P01,S01,fingerSpread,68,521,542,320,431,,0,0
223220921000000,27,PREP,P01,S01,fingerSpread,68,522,541,319,430,,0,0
223220921000000,28,PREP,P01,S01,fingerSpread,68,520,541,320,432,,0,0
223220937000000,29,PREP,P01,S01,fingerSpread,68,522,542,320,431,,0,0
223220953000000,30,PREP,P01,S01,fingerSpread,68,520,541,319,432,,0,0
223220953000000,31,PREP,P01,S01,fingerSpread,68,522,541,320,431,,0,0
223220968000000,32,PREP,P01,S01,fingerSpread,68,520,541,317,431,,0,0
223220968000000,33,PREP,P01,S01,fingerSpread,68,522,545,320,432,,0,0
223220984000000,34,PREP,P01,S01,fingerSpread,68,523,541,320,431,,0,0
223221000000000,35,PREP,P01,S01,fingerSpread,68,522,540,320,431,,0,0
223221000000000,36,PREP,P01,S01,fingerSpread,68,521,541,320,431,,0,0
223221015000000,37,PREP,P01,S01,fingerSpread,68,521,541,318,430,,0,0
223221031000000,38,PREP,P01,S01,fingerSpread,68,523,541,320,431,,0,0
223221031000000,39,PREP,P01,S01,fingerSpread,68,528,541,319,431,,0,0
223221046000000,40,PREP,P01,S01,fingerSpread,68,522,541,318,430,,0,0
223221062000000,41,PREP,P01,S01,fingerSpread,68,522,542,319,431,,0,0
223221062000000,42,PREP,P01,S01,fingerSpread,68,522,540,319,430,,0,0
223221078000000,43,PREP,P01,S01,fingerSpread,68,522,541,319,430,,0,0
223221078000000,44,PREP,P01,S01,fingerSpread,68,521,541,319,431,,0,0
223221093000000,45,PREP,P01,S01,fingerSpread,68,520,540,320,432,,0,0
223221109000000,46,PREP,P01,S01,fingerSpread,68,521,540,320,430,,0,0
223221109000000,47,PREP,P01,S01,fingerSpread,68,519,540,318,430,,0,0
223221125000000,48,PREP,P01,S01,fingerSpread,68,518,540,314,431,,0,0
223221140000000,49,PREP,P01,S01,fingerSpread,68,522,545,317,431,,0,0
223221140000000,50,PREP,P01,S01,fingerSpread,68,521,540,317,433,,0,0
223221156000000,51,PREP,P01,S01,fingerSpread,68,521,542,317,431,,0,0
223221171000000,52,PREP,P01,S01,fingerSpread,68,518,541,318,431,,0,0
223221171000000,53,PREP,P01,S01,fingerSpread,68,521,541,317,432,,0,0
223221187000000,54,PREP,P01,S01,fingerSpread,68,521,540,317,431,,0,0
223221203000000,55,PREP,P01,S01,fingerSpread,68,521,540,317,432,,0,0
223221203000000,56,PREP,P01,S01,fingerSpread,68,522,540,317,432,,0,0
223221218000000,57,PREP,P01,S01,fingerSpread,68,522,539,316,432,,0,0
223221218000000,58,PREP,P01,S01,fingerSpread,68,519,540,318,432,,0,0
223221234000000,59,PREP,P01,S01,fingerSpread,68,523,539,317,433,,0,0
223221250000000,60,PREP,P01,S01,fingerSpread,68,520,544,318,433,,0,0
223221250000000,61,PREP,P01,S01,fingerSpread,68,521,540,317,432,,0,0
223221265000000,62,PREP,P01,S01,fingerSpread,68,520,538,317,432,,0,0
223221281000000,63,PREP,P01,S01,fingerSpread,68,520,539,317,433,,0,0
223221281000000,64,PREP,P01,S01,fingerSpread,68,521,539,317,432,,0,0
223221296000000,65,PREP,P01,S01,fingerSpread,68,521,538,318,434,,0,0
223221296000000,66,PREP,P01,S01,fingerSpread,68,518,538,317,433,,0,0
223221312000000,67,PREP,P01,S01,fingerSpread,68,521,538,318,432,,0,0
223221328000000,68,PREP,P01,S01,fingerSpread,68,523,525,318,433,,0,0
223221328000000,69,PREP,P01,S01,fingerSpread,68,520,537,318,433,,0,0
223221343000000,70,PREP,P01,S01,fingerSpread,68,521,534,318,433,,0,0
223221359000000,71,PREP,P01,S01,fingerSpread,68,520,535,316,433,,0,0
223221359000000,72,PREP,P01,S01,fingerSpread,68,519,536,318,432,,0,0
223221375000000,73,PREP,P01,S01,fingerSpread,68,520,535,317,433,,0,0
223221390000000,74,PREP,P01,S01,fingerSpread,68,519,535,317,433,,0,0
223221390000000,75,PREP,P01,S01,fingerSpread,68,520,535,318,433,,0,0
223221406000000,76,PREP,P01,S01,fingerSpread,68,520,535,316,435,,0,0
223221421000000,77,PREP,P01,S01,fingerSpread,68,519,534,317,434,,0,0
223221421000000,78,PREP,P01,S01,fingerSpread,68,519,533,318,434,,0,0
223221437000000,79,PREP,P01,S01,fingerSpread,68,519,534,318,433,,0,0
223221453000000,80,PREP,P01,S01,fingerSpread,68,519,533,318,433,,0,0
223221453000000,81,PREP,P01,S01,fingerSpread,68,519,533,318,434,,0,0
223221468000000,82,PREP,P01,S01,fingerSpread,68,517,532,316,432,,1,0
223221468000000,83,PREP,P01,S01,fingerSpread,68,517,531,316,433,,1,0
223221484000000,84,PREP,P01,S01,fingerSpread,68,519,531,316,432,,1,0
223221500000000,85,PREP,P01,S01,fingerSpread,68,517,528,316,433,,1,0
