t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223220640000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220656000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220671000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220671000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220687000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220703000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220703000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220718000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220718000000,26.99,15.54,5.49,19.71,4.53,3.03,15.28,5.64,1.44,17.62,4.48,2.58,24.03,4.9,3.79,0
223220734000000,27.69,15.25,5.56,19.95,4.65,3.08,14.67,5.28,1.39,16.47,3.97,2.89,23.32,4.6,3.91,0
223220750000000,27.69,15.25,5.56,19.95,4.65,3.08,14.67,5.28,1.39,16.47,3.97,2.89,23.32,4.6,3.91,0
223220750000000,27.69,15.25,5.56,19.95,4.65,3.08,14.67,5.28,1.39,16.47,3.97,2.89,23.32,4.6,3.91,0
223220765000000,27.69,15.25,5.56,19.95,4.65,3.08,14.67,5.28,1.39,16.47,3.97,2.89,23.32,4.6,3.91,0
