t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223315640000000,24.46,27.75,28.92,30.06,7.78,3.18,21.38,8.16,3.01,25.75,7.54,7.57,31.21,8.75,10.29,0
223315656000000,24.46,27.75,28.92,30.06,7.78,3.18,21.38,8.16,3.01,25.75,7.54,7.57,31.21,8.75,10.29,0
223315671000000,24.46,27.75,28.92,30.06,7.78,3.18,21.38,8.16,3.01,25.75,7.54,7.57,31.21,8.75,10.29,0
223315671000000,24.46,27.75,28.92,30.06,7.78,3.18,21.38,8.16,3.01,25.75,7.54,7.57,31.21,8.75,10.29,0
223315687000000,27.95,27.24,26.27,34.11,10.38,4.03,25.34,10.84,6.5,28.66,10.61,12.84,32.61,10.72,14.85,0
223315703000000,27.95,27.24,26.27,34.11,10.38,4.03,25.34,10.84,6.5,28.66,10.61,12.84,32.61,10.72,14.85,0
223315703000000,27.95,27.24,26.27,34.11,10.38,4.03,25.34,10.84,6.5,28.66,10.61,12.84,32.61,10.72,14.85,0
223315718000000,27.95,27.24,26.27,34.11,10.38,4.03,25.34,10.84,6.5,28.66,10.61,12.84,32.61,10.72,14.85,0
223315718000000,27.95,27.24,26.27,34.11,10.38,4.03,25.34,10.84,6.5,28.66,10.61,12.84,32.61,10.72,14.85,0
223315734000000,28.43,27.04,26.33,41.24,15.26,14.55,32.85,26.44,43.91,35.47,32.78,43.2,37.65,24.01,33.0,0
223315750000000,28.43,27.04,26.33,41.24,15.26,14.55,32.85,26.44,43.91,35.47,32.78,43.2,37.65,24.01,33.0,0
223315750000000,28.43,27.04,26.33,41.24,15.26,14.55,32.85,26.44,43.91,35.47,32.78,43.2,37.65,24.01,33.0,0
223315765000000,28.43,27.04,26.33,41.24,15.26,14.55,32.85,26.44,43.91,35.47,32.78,43.2,37.65,24.01,33.0,0
223315781000000,27.42,27.03,33.68,43.19,39.77,100.18,34.46,57.15,85.69,37.04,63.65,64.38,38.55,40.05,63.12,0
223315781000000,27.42,27.03,33.68,43.19,39.77,100.18,34.46,57.15,85.69,37.04,63.65,64.38,38.55,40.05,63.12,0
223315796000000,27.42,27.03,33.68,43.19,39.77,100.18,34.46,57.15,85.69,37.04,63.65,64.38,38.55,40.05,63.12,0
223315812000000,27.42,27.03,33.68,43.19,39.77,100.18,34.46,57.15,85.69,37.04,63.65,64.38,38.55,40.05,63.12,0
223315812000000,27.42,27.03,33.68,43.19,39.77,100.18,34.46,57.15,85.69,37.04,63.65,64.38,38.55,40.05,63.12,0
223315828000000,29.14,25.01,35.49,39.41,47.74,101.83,29.78,95.52,61.52,34.28,100.55,47.87,39.09,64.71,68.99,0
223315843000000,29.14,25.01,35.49,39.41,47.74,101.83,29.78,95.52,61.52,34.28,100.55,47.87,39.09,64.71,68.99,0
223315843000000,29.14,25.01,35.49,39.41,47.74,101.83,29.78,95.52,61.52,34.28,100.55,47.87,39.09,64.71,68.99,0
223315859000000,29.14,25.01,35.49,39.41,47.74,101.83,29.78,95.52,61.52,34.28,100.55,47.87,39.09,64.71,68.99,0
223315859000000,29.14,25.01,35.49,39.41,47.74,101.83,29.78,95.52,61.52,34.28,100.55,47.87,39.09,64.71,68.99,0
223315875000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315890000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315890000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315906000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315921000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315921000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315937000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315953000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315953000000,27.99,25.65,38.32,39.41,53.16,99.57,29.66,104.34,55.62,34.56,106.04,45.59,39.74,66.54,70.83,0
223315968000000,28.02,28.07,42.26,38.73,143.22,28.37,28.99,141.05,29.69,33.11,135.63,29.15,39.63,115.69,50.36,0
223315984000000,28.02,28.07,42.26,38.73,143.22,28.37,28.99,141.05,29.69,33.11,135.63,29.15,39.63,115.69,50.36,0
223315984000000,28.02,28.07,42.26,38.73,143.22,28.37,28.99,141.05,29.69,33.11,135.63,29.15,39.63,115.69,50.36,0
223316000000000,28.02,28.07,42.26,38.73,143.22,28.37,28.99,141.05,29.69,33.11,135.63,29.15,39.63,115.69,50.36,0
223316000000000,28.02,28.07,42.26,38.73,143.22,28.37,28.99,141.05,29.69,33.11,135.63,29.15,39.63,115.69,50.36,0
223316015000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316031000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316031000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316046000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316062000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316062000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316078000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316093000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316093000000,26.47,30.75,52.04,33.77,160.7,20.55,22.34,150.07,25.35,30.03,141.9,25.87,38.94,124.18,44.46,0
223316109000000,30.61,29.89,44.92,35.31,165.72,16.5,24.51,154.11,20.96,32.7,144.77,22.7,41.3,129.01,41.31,0
223316109000000,30.61,29.89,44.92,35.31,165.72,16.5,24.51,154.11,20.96,32.7,144.77,22.7,41.3,129.01,41.31,0
223316125000000,30.61,29.89,44.92,35.31,165.72,16.5,24.51,154.11,20.96,32.7,144.77,22.7,41.3,129.01,41.31,0
223316140000000,30.61,29.89,44.92,35.31,165.72,16.5,24.51,154.11,20.96,32.7,144.77,22.7,41.3,129.01,41.31,0
223316140000000,30.61,29.89,44.92,35.31,165.72,16.5,24.51,154.11,20.96,32.7,144.77,22.7,41.3,129.01,41.31,0
223316156000000,29.79,30.48,37.79,35.47,162.59,18.07,23.14,149.58,24.7,32.52,139.88,26.58,42.29,122.13,45.0,0
223316171000000,29.79,30.48,37.79,35.47,162.59,18.07,23.14,149.58,24.7,32.52,139.88,26.58,42.29,122.13,45.0,0
223316171000000,29.79,30.48,37.79,35.47,162.59,18.07,23.14,149.58,24.7,32.52,139.88,26.58,42.29,122.13,45.0,0
223316187000000,29.79,30.48,37.79,35.47,162.59,18.07,23.14,149.58,24.7,32.52,139.88,26.58,42.29,122.13,45.0,0
223316203000000,31.79,29.05,39.49,34.66,159.36,19.79,24.72,148.67,26.26,34.29,140.74,27.28,44.01,122.14,46.66,0
223316203000000,31.79,29.05,39.49,34.66,159.36,19.79,24.72,148.67,26.26,34.29,140.74,27.28,44.01,122.14,46.66,0
223316218000000,31.79,29.05,39.49,34.66,159.36,19.79,24.72,148.67,26.26,34.29,140.74,27.28,44.01,122.14,46.66,0
223316234000000,31.79,29.05,39.49,34.66,159.36,19.79,24.72,148.67,26.26,34.29,140.74,27.28,44.01,122.14,46.66,0
223316234000000,31.79,29.05,39.49,34.66,159.36,19.79,24.72,148.67,26.26,34.29,140.74,27.28,44.01,122.14,46.66,0
223316250000000,30.66,30.69,46.41,38.09,157.64,21.45,24.47,145.66,28.21,32.68,139.57,28.47,42.77,127.1,43.35,0
223316250000000,30.66,30.69,46.41,38.09,157.64,21.45,24.47,145.66,28.21,32.68,139.57,28.47,42.77,127.1,43.35,0
223316265000000,30.66,30.69,46.41,38.09,157.64,21.45,24.47,145.66,28.21,32.68,139.57,28.47,42.77,127.1,43.35,0
