t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223385640000000,0,PREP,P01,S01,freeform,74,264,372,229,404,PREP_START,0,0
223385656000000,1,PREP,P01,S01,freeform,74,263,371,229,404,,0,0
223385671000000,2,PREP,P01,S01,freeform,74,262,375,229,404,,0,0
223385671000000,3,PREP,P01,S01,freeform,74,266,374,228,404,,0,0
223385687000000,4,PREP,P01,S01,freeform,74,263,373,230,404,,0,0
223385703000000,5,PREP,P01,S01,freeform,74,264,375,229,402,,0,0
223385703000000,6,PREP,P01,S01,freeform,74,266,376,228,403,,0,0
223385718000000,7,PREP,P01,S01,freeform,74,265,376,229,404,,0,0
223385734000000,8,PREP,P01,S01,freeform,74,263,376,228,403,,0,0
223385734000000,9,PREP,P01,S01,freeform,74,263,377,228,405,,0,0
223385750000000,10,PREP,P01,S01,freeform,74,266,377,230,404,,0,0
223385750000000,11,PREP,P01,S01,freeform,74,266,377,230,404,,0,0
223385765000000,12,PREP,P01,S01,freeform,74,265,378,219,403,,0,0
223385781000000,13,PREP,P01,S01,freeform,74,266,383,230,403,,0,0
223385781000000,14,PREP,P01,S01,freeform,74,265,384,229,403,,0,0
223385796000000,15,PREP,P01,S01,freeform,74,262,384,230,403,,0,0
223385812000000,16,PREP,P01,S01,freeform,74,258,384,231,403,,0,0
223385812000000,17,PREP,P01,S01,freeform,74,254,384,229,401,,0,0
223385828000000,18,PREP,P01,S01,freeform,74,247,380,228,402,,0,0
223385843000000,19,PREP,P01,S01,freeform,74,243,380,230,401,,0,0
223385843000000,20,PREP,P01,S01,freeform,74,239,381,228,400,,0,0
223385859000000,21,PREP,P01,S01,freeform,74,237,380,230,393,,0,0
223385859000000,22,PREP,P01,S01,freeform,74,219,384,229,390,,0,0
223385875000000,23,PREP,P01,S01,freeform,74,221,380,229,386,,0,0
223385890000000,24,PREP,P01,S01,freeform,74,222,381,228,383,,0,0
223385890000000,25,PREP,P01,S01,freeform,74,221,380,227,378,,0,0
223385906000000,26,PREP,P01,S01,freeform,74,221,380,226,376,,0,0
223385921000000,27,PREP,P01,S01,freeform,74,223,381,228,375,,0,0
223385921000000,28,PREP,P01,S01,freeform,74,221,380,224,371,,0,0
223385937000000,29,PREP,P01,S01,freeform,74,222,381,224,360,,0,0
223385953000000,30,PREP,P01,S01,freeform,74,222,380,222,362,,0,0
