t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223182640000000,0,PREP,P01,S01,handOpen,66,302,369,236,328,PREP_START,0,0
223182656000000,1,PREP,P01,S01,handOpen,66,301,369,236,328,,0,0
223182671000000,2,PREP,P01,S01,handOpen,66,299,369,236,329,,0,0
223182671000000,3,PREP,P01,S01,handOpen,66,300,370,237,326,,0,0
223182687000000,4,PREP,P01,S01,handOpen,66,301,368,238,329,,0,0
223182687000000,5,PREP,P01,S01,handOpen,66,302,370,236,328,,0,0
223182703000000,6,PREP,P01,S01,handOpen,66,302,369,236,329,,0,0
223182718000000,7,PREP,P01,S01,handOpen,66,302,369,235,328,,0,0
223182718000000,8,PREP,P01,S01,handOpen,66,302,371,238,329,,0,0
223182734000000,9,PREP,P01,S01,handOpen,66,300,370,237,328,,0,0
223182750000000,10,PREP,P01,S01,handOpen,66,302,370,237,329,,0,0
223182750000000,11,PREP,P01,S01,handOpen,66,302,370,238,328,,0,0
223182765000000,12,PREP,P01,S01,handOpen,66,302,370,232,329,,0,0
223182781000000,13,PREP,P01,S01,handOpen,66,302,371,237,328,,0,0
223182781000000,14,PREP,P01,S01,handOpen,66,302,369,237,328,,0,0
223182796000000,15,PREP,P01,S01,handOpen,66,301,370,237,328,,0,0
223182812000000,16,PREP,P01,S01,handOpen,66,302,369,237,328,,0,0
223182812000000,17,PREP,P01,S01,handOpen,66,302,373,238,328,,0,0
223182828000000,18,PREP,P01,S01,handOpen,66,302,370,237,328,,0,0
223182828000000,19,PREP,P01,S01,handOpen,66,302,370,237,330,,0,0
223182843000000,20,PREP,P01,S01,handOpen,66,302,368,238,329,,0,0
223182859000000,21,PREP,P01,S01,handOpen,66,300,368,237,330,,0,0
223182859000000,22,PREP,P01,S01,handOpen,66,302,370,237,329,,0,0
223182875000000,23,PREP,P01,S01,handOpen,66,300,370,238,329,,0,0
223182890000000,24,PREP,P01,S01,handOpen,66,302,369,238,330,,0,0
223182890000000,25,PREP,P01,S01,handOpen,66,300,369,238,329,,0,0
223182906000000,26,PREP,P01,S01,handOpen,66,301,370,237,330,,0,0
223182921000000,27,PREP,P01,S01,handOpen,66,302,369,237,330,,0,0
223182921000000,28,PREP,P01,S01,handOpen,66,302,369,238,330,,0,0
223182937000000,29,PREP,P01,S01,handOpen,66,302,370,237,329,,0,0
223182937000000,30,PREP,P01,S01,handOpen,66,302,371,238,330,,0,0
223182953000000,31,PREP,P01,S01,handOpen,66,301,370,237,329,,0,0
223182968000000,32,PREP,P01,S01,handOpen,66,302,370,236,330,,0,0
223182968000000,33,PREP,P01,S01,handOpen,66,302,371,237,330,,0,0
223182984000000,34,PREP,P01,S01,handOpen,66,301,371,237,329,,0,0
223183000000000,35,PREP,P01,S01,handOpen,66,300,371,237,330,,0,0
223183000000000,36,PREP,P01,S01,handOpen,66,301,372,237,330,,0,0
223183015000000,37,PREP,P01,S01,handOpen,66,299,372,238,330,,0,0
223183031000000,38,PREP,P01,S01,handOpen,66,301,371,237,331,,0,0
223183031000000,39,PREP,P01,S01,handOpen,66,300,371,237,330,,0,0
223183046000000,40,PREP,P01,S01,handOpen,66,300,371,237,329,,0,0
223183062000000,41,PREP,P01,S01,handOpen,66,302,371,237,330,,0,0
223183062000000,42,PREP,P01,S01,handOpen,66,301,372,236,328,,0,0
223183078000000,43,PREP,P01,S01,handOpen,66,303,371,237,330,,0,0
223183078000000,44,PREP,P01,S01,handOpen,66,302,372,237,330,,0,0
223183093000000,45,PREP,P01,S01,handOpen,66,301,371,237,331,,0,0
223183109000000,46,PREP,P01,S01,handOpen,66,303,370,238,329,,0,0
223183109000000,47,PREP,P01,S01,handOpen,66,303,371,237,331,,0,0
223183125000000,48,PREP,P01,S01,handOpen,66,302,371,238,331,,0,0
223183140000000,49,PREP,P01,S01,handOpen,66,301,371,234,330,,0,0
223183140000000,50,PREP,P01,S01,handOpen,66,301,371,238,331,,0,0
223183156000000,51,PREP,P01,S01,handOpen,66,302,372,238,330,,0,0
223183171000000,52,PREP,P01,S01,handOpen,66,301,371,237,331,,0,0
223183171000000,53,PREP,P01,S01,handOpen,66,301,372,238,330,,0,0
223183187000000,54,PREP,P01,S01,handOpen,66,301,371,238,330,,0,0
223183187000000,55,PREP,P01,S01,handOpen,66,298,370,238,330,,0,0
223183203000000,56,PREP,P01,S01,handOpen,66,300,372,238,330,,0,0
223183218000000,57,PREP,P01,S01,handOpen,66,298,370,237,330,,0,0
223183218000000,58,PREP,P01,S01,handOpen,66,299,371,238,331,,0,0
223183234000000,59,PREP,P01,S01,handOpen,66,301,373,238,330,,0,0
223183250000000,60,PREP,P01,S01,handOpen,66,304,372,238,330,,0,0
223183250000000,61,PREP,P01,S01,handOpen,66,300,371,238,330,,0,0
223183265000000,62,PREP,P01,S01,handOpen,66,300,371,238,332,,0,0
223183281000000,63,PREP,P01,S01,handOpen,66,300,371,237,329,,0,0
223183281000000,64,PREP,P01,S01,handOpen,66,301,371,237,330,,0,0
223183296000000,65,PREP,P01,S01,handOpen,66,300,371,238,330,,0,0
223183312000000,66,PREP,P01,S01,handOpen,66,300,370,237,330,,0,0
223183312000000,67,PREP,P01,S01,handOpen,66,300,371,238,330,,0,0
223183328000000,68,PREP,P01,S01,handOpen,66,297,370,237,332,,0,0
223183328000000,69,PREP,P01,S01,handOpen,66,300,370,237,331,,0,0
223183343000000,70,PREP,P01,S01,handOpen,66,300,371,237,331,,0,0
223183359000000,71,PREP,P01,S01,handOpen,66,299,370,237,330,,0,0
223183359000000,72,PREP,P01,S01,handOpen,66,297,371,236,330,,0,0
223183375000000,73,PREP,P01,S01,handOpen,66,299,371,237,331,,0,0
223183390000000,74,PREP,P01,S01,handOpen,66,299,372,237,331,,0,0
223183390000000,75,PREP,P01,S01,handOpen,66,298,372,237,333,,0,0
223183406000000,76,PREP,P01,S01,handOpen,66,295,372,238,331,,0,0
223183421000000,77,PREP,P01,S01,handOpen,66,297,370,237,330,,0,0
223183421000000,78,PREP,P01,S01,handOpen,66,299,371,237,330,,0,0
223183437000000,79,PREP,P01,S01,handOpen,66,299,371,238,332,,0,0
223183453000000,80,PREP,P01,S01,handOpen,66,297,371,238,331,,0,0
223183453000000,81,PREP,P01,S01,handOpen,66,299,371,240,331,,0,0
223183468000000,82,PREP,P01,S01,handOpen,66,298,370,238,330,,1,0
223183468000000,83,PREP,P01,S01,handOpen,66,297,368,237,332,,1,0
223183484000000,84,PREP,P01,S01,handOpen,66,298,371,239,331,,1,0
223183500000000,85,PREP,P01,S01,handOpen,66,298,373,239,330,,1,0
223183500000000,86,PREP,P01,S01,handOpen,66,298,373,239,330,,1,0
223183515000000,87,PREP,P01,S01,handOpen,66,297,372,238,331,,1,0
223183531000000,88,PREP,P01,S01,handOpen,66,299,374,239,330,,1,0
223183531000000,89,PREP,P01,S01,handOpen,66,298,375,239,330,,1,0
223183546000000,90,PREP,P01,S01,handOpen,66,296,374,239,330,,1,0
223183562000000,91,PREP,P01,S01,handOpen,66,296,374,239,324,,1,0
223183562000000,92,PREP,P01,S01,handOpen,66,298,374,240,330,,0,0
223183578000000,93,PREP,P01,S01,handOpen,66,301,376,238,331,,0,0
223183578000000,94,PREP,P01,S01,handOpen,66,299,377,240,331,,0,0
223183593000000,95,PREP,P01,S01,handOpen,66,299,378,240,332,,0,0
223183609000000,96,PREP,P01,S01,handOpen,66,300,378,240,332,,0,0
223183609000000,97,PREP,P01,S01,handOpen,66,300,378,241,331,,0,0
223183625000000,98,PREP,P01,S01,handOpen,66,307,379,241,330,,0,0
223183640000000,99,PREP,P01,S01,handOpen,66,310,383,242,342,,0,0
223183640000000,100,PREP,P01,S01,handOpen,66,315,383,243,348,,0,0
223183656000000,101,PREP,P01,S01,handOpen,66,327,391,231,349,,0,0
223183671000000,102,PREP,P01,S01,handOpen,66,332,401,250,361,,0,0
223183671000000,103,PREP,P01,S01,handOpen,66,335,402,254,362,,0,0
223183687000000,104,PREP,P01,S01,handOpen,66,337,405,260,359,,0,0
223183687000000,105,PREP,P01,S01,handOpen,66,351,406,262,360,,0,0
223183703000000,106,PREP,P01,S01,handOpen,66,355,407,263,360,,0,0
223183718000000,107,PREP,P01,S01,handOpen,66,368,410,263,372,,0,0
223183718000000,108,PREP,P01,S01,handOpen,66,374,414,265,376,,0,0
223183734000000,109,PREP,P01,S01,handOpen,66,375,412,264,375,,0,0
223183750000000,110,PREP,P01,S01,handOpen,66,391,412,263,380,,0,0
223183750000000,111,PREP,P01,S01,handOpen,66,395,410,263,375,,0,0
223183765000000,112,PREP,P01,S01,handOpen,66,399,414,263,401,,0,0
223183781000000,113,PREP,P01,S01,handOpen,66,418,445,263,404,,0,0
223183781000000,114,PREP,P01,S01,handOpen,66,460,466,263,422,,0,0
223183796000000,115,PREP,P01,S01,handOpen,66,479,491,263,429,,0,0
223183812000000,116,PREP,P01,S01,handOpen,66,485,517,264,428,,0,0
223183812000000,117,PREP,P01,S01,handOpen,66,492,520,273,425,,0,0
223183828000000,118,PREP,P01,S01,handOpen,66,502,546,273,432,,0,0
223183828000000,119,PREP,P01,S01,handOpen,66,523,568,266,427,,0,0
223183843000000,120,PREP,P01,S01,handOpen,66,538,592,267,421,,0,0
223183859000000,121,PREP,P01,S01,handOpen,66,558,608,274,423,,0,0
223183859000000,122,PREP,P01,S01,handOpen,66,567,617,282,432,,0,0
223183875000000,123,PREP,P01,S01,handOpen,66,573,628,279,442,,0,0
223183890000000,124,PREP,P01,S01,handOpen,66,574,637,281,440,,0,0
223183890000000,125,PREP,P01,S01,handOpen,66,577,648,283,437,,0,0
223183906000000,126,PREP,P01,S01,handOpen,66,581,656,287,438,,0,0
223183921000000,127,PREP,P01,S01,handOpen,66,583,666,289,439,,0,0
223183921000000,128,PREP,P01,S01,handOpen,66,589,672,294,435,,0,0
223183937000000,129,PREP,P01,S01,handOpen,66,595,681,294,454,,0,0
223183937000000,130,PREP,P01,S01,handOpen,66,597,687,298,455,,0,0
223183953000000,131,PREP,P01,S01,handOpen,66,600,691,304,452,,0,0
223183968000000,132,PREP,P01,S01,handOpen,66,603,703,306,453,,0,0
223183968000000,133,PREP,P01,S01,handOpen,66,611,704,307,460,,0,0
