t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223182640000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182656000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182671000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182671000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182687000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182687000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182703000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182718000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182718000000,21.98,17.77,12.15,17.09,6.66,3.83,11.74,7.14,3.62,19.05,5.97,5.13,26.08,7.32,3.58,0
223182734000000,21.57,17.6,12.41,17.25,7.11,3.74,12.27,7.71,3.41,19.62,6.54,4.96,26.76,7.49,3.58,0
223182750000000,21.57,17.6,12.41,17.25,7.11,3.74,12.27,7.71,3.41,19.62,6.54,4.96,26.76,7.49,3.58,0
223182750000000,21.57,17.6,12.41,17.25,7.11,3.74,12.27,7.71,3.41,19.62,6.54,4.96,26.76,7.49,3.58,0
223182765000000,21.57,17.6,12.41,17.25,7.11,3.74,12.27,7.71,3.41,19.62,6.54,4.96,26.76,7.49,3.58,0
223182781000000,21.29,17.99,13.17,17.17,6.88,3.76,12.09,7.43,3.56,19.4,6.31,5.14,26.44,7.44,3.58,0
223182781000000,21.29,17.99,13.17,17.17,6.88,3.76,12.09,7.43,3.56,19.4,6.31,5.14,26.44,7.44,3.58,0
223182796000000,21.29,17.99,13.17,17.17,6.88,3.76,12.09,7.43,3.56,19.4,6.31,5.14,26.44,7.44,3.58,0
223182812000000,21.29,17.99,13.17,17.17,6.88,3.76,12.09,7.43,3.56,19.4,6.31,5.14,26.44,7.44,3.58,0
223182812000000,21.29,17.99,13.17,17.17,6.88,3.76,12.09,7.43,3.56,19.4,6.31,5.14,26.44,7.44,3.58,0
223182828000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182828000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182843000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182859000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182859000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182875000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182890000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182890000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182906000000,21.64,17.66,12.27,16.97,6.65,3.65,12.02,7.26,3.13,19.61,6.06,4.66,26.65,7.09,3.32,0
223182921000000,21.79,18.04,11.99,17.12,6.74,3.91,11.91,7.26,3.54,19.22,6.1,4.92,26.25,7.33,3.4,0
223182921000000,21.79,18.04,11.99,17.12,6.74,3.91,11.91,7.26,3.54,19.22,6.1,4.92,26.25,7.33,3.4,0
223182937000000,21.79,18.04,11.99,17.12,6.74,3.91,11.91,7.26,3.54,19.22,6.1,4.92,26.25,7.33,3.4,0
223182937000000,21.79,18.04,11.99,17.12,6.74,3.91,11.91,7.26,3.54,19.22,6.1,4.92,26.25,7.33,3.4,0
223182953000000,21.79,18.04,11.99,17.12,6.74,3.91,11.91,7.26,3.54,19.22,6.1,4.92,26.25,7.33,3.4,0
223182968000000,21.07,17.85,13.91,17.03,6.65,3.48,12.29,7.15,3.15,19.73,5.98,4.78,26.48,7.17,3.43,0
223182968000000,21.07,17.85,13.91,17.03,6.65,3.48,12.29,7.15,3.15,19.73,5.98,4.78,26.48,7.17,3.43,0
223182984000000,21.07,17.85,13.91,17.03,6.65,3.48,12.29,7.15,3.15,19.73,5.98,4.78,26.48,7.17,3.43,0
223183000000000,21.07,17.85,13.91,17.03,6.65,3.48,12.29,7.15,3.15,19.73,5.98,4.78,26.48,7.17,3.43,0
223183000000000,21.07,17.85,13.91,17.03,6.65,3.48,12.29,7.15,3.15,19.73,5.98,4.78,26.48,7.17,3.43,0
223183015000000,20.96,17.6,13.1,16.52,6.39,3.68,11.66,6.88,3.5,19.4,5.97,5.08,26.39,7.43,3.64,0
223183031000000,20.96,17.6,13.1,16.52,6.39,3.68,11.66,6.88,3.5,19.4,5.97,5.08,26.39,7.43,3.64,0
223183031000000,20.96,17.6,13.1,16.52,6.39,3.68,11.66,6.88,3.5,19.4,5.97,5.08,26.39,7.43,3.64,0
