t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222232484000000,0,PREP,P01,S01,indexDipIso,16,209,473,205,275,PREP_START,1,0
222232500000000,1,PREP,P01,S01,indexDipIso,16,211,473,208,274,,1,0
222232500000000,2,PREP,P01,S01,indexDipIso,16,210,470,208,274,,1,0
222232515000000,3,PREP,P01,S01,indexDipIso,16,209,473,211,275,,1,0
222232531000000,4,PREP,P01,S01,indexDipIso,16,209,471,210,270,,1,0
222232531000000,5,PREP,P01,S01,indexDipIso,16,210,473,210,274,,1,0
222232546000000,6,PREP,P01,S01,indexDipIso,16,210,475,211,274,,1,0
222232562000000,7,PREP,P01,S01,indexDipIso,16,211,475,212,275,,0,0
222232562000000,8,PREP,P01,S01,indexDipIso,16,220,473,211,275,,0,0
222232578000000,9,PREP,P01,S01,indexDipIso,16,213,475,209,276,,0,0
222232593000000,10,PREP,P01,S01,indexDipIso,16,212,475,209,275,,0,0
222232593000000,11,PREP,P01,S01,indexDipIso,16,210,476,210,274,,0,0
222232609000000,12,PREP,P01,S01,indexDipIso,16,207,475,209,277,,0,0
222232609000000,13,PREP,P01,S01,indexDipIso,16,211,482,207,276,,0,0
222232625000000,14,PREP,P01,S01,indexDipIso,16,211,475,208,277,,0,0
222232640000000,15,PREP,P01,S01,indexDipIso,16,210,475,219,276,,0,0
222232640000000,16,PREP,P01,S01,indexDipIso,16,208,475,209,275,,0,0
222232656000000,17,PREP,P01,S01,indexDipIso,16,210,474,210,276,,0,0
222232671000000,18,PREP,P01,S01,indexDipIso,16,211,475,213,275,,0,0
222232671000000,19,PREP,P01,S01,indexDipIso,16,209,473,210,277,,0,0
222232687000000,20,PREP,P01,S01,indexDipIso,16,210,475,211,277,,0,0
222232703000000,21,PREP,P01,S01,indexDipIso,16,207,475,214,277,,0,0
222232703000000,22,PREP,P01,S01,indexDipIso,16,226,472,211,275,,0,0
222232718000000,23,PREP,P01,S01,indexDipIso,16,209,475,210,277,,0,0
222232718000000,24,PREP,P01,S01,indexDipIso,16,210,474,210,282,,0,0
222232734000000,25,PREP,P01,S01,indexDipIso,16,211,475,212,276,,0,0
222232750000000,26,PREP,P01,S01,indexDipIso,16,214,476,210,275,,0,0
222232750000000,27,PREP,P01,S01,indexDipIso,16,209,475,206,274,,0,0
222232765000000,28,PREP,P01,S01,indexDipIso,16,210,475,209,275,,0,0
222232781000000,29,PREP,P01,S01,indexDipIso,16,208,474,209,269,,0,0
222232781000000,30,PREP,P01,S01,indexDipIso,16,212,472,210,279,,0,0
222232796000000,31,PREP,P01,S01,indexDipIso,16,209,474,210,274,,0,0
222232812000000,32,PREP,P01,S01,indexDipIso,16,207,474,210,272,,0,0
222232812000000,33,PREP,P01,S01,indexDipIso,16,209,475,209,275,,0,0
222232828000000,34,PREP,P01,S01,indexDipIso,16,210,475,210,276,,0,0
222232843000000,35,PREP,P01,S01,indexDipIso,16,210,475,215,275,,0,0
222232843000000,36,PREP,P01,S01,indexDipIso,16,209,478,210,275,,0,0
222232859000000,37,PREP,P01,S01,indexDipIso,16,211,475,209,277,,0,0
222232859000000,38,PREP,P01,S01,indexDipIso,16,210,472,207,276,,0,0
222232875000000,39,PREP,P01,S01,indexDipIso,16,216,474,207,277,,0,0
222232890000000,40,PREP,P01,S01,indexDipIso,16,210,474,208,276,,0,0
222232890000000,41,PREP,P01,S01,indexDipIso,16,211,467,208,275,,0,0
222232906000000,42,PREP,P01,S01,indexDipIso,16,201,473,209,276,,0,0
222232921000000,43,PREP,P01,S01,indexDipIso,16,211,473,208,278,,0,0
222232921000000,44,PREP,P01,S01,indexDipIso,16,204,475,216,275,,0,0
222232937000000,45,PREP,P01,S01,indexDipIso,16,201,473,208,275,,0,0
222232953000000,46,PREP,P01,S01,indexDipIso,16,206,474,209,275,,0,0
222232953000000,47,PREP,P01,S01,indexDipIso,16,210,472,208,275,,0,0
222232968000000,48,PREP,P01,S01,indexDipIso,16,207,475,209,274,,0,0
222232984000000,49,PREP,P01,S01,indexDipIso,16,210,473,207,270,,0,0
222232984000000,50,PREP,P01,S01,indexDipIso,16,211,474,206,274,,0,0
222233000000000,51,PREP,P01,S01,indexDipIso,16,212,473,206,276,,0,0
222233000000000,52,PREP,P01,S01,indexDipIso,16,208,473,208,274,,0,0
222233015000000,53,PREP,P01,S01,indexDipIso,16,222,473,208,273,,0,0
222233031000000,54,PREP,P01,S01,indexDipIso,16,206,470,210,275,,0,0
222233031000000,55,PREP,P01,S01,indexDipIso,16,210,474,211,274,,0,0
222233046000000,56,PREP,P01,S01,indexDipIso,16,210,462,207,274,,0,0
222233062000000,57,PREP,P01,S01,indexDipIso,16,209,471,208,274,,0,0
222233062000000,58,PREP,P01,S01,indexDipIso,16,210,473,212,275,,0,0
222233078000000,59,PREP,P01,S01,indexDipIso,16,208,472,211,274,,0,0
222233093000000,60,PREP,P01,S01,indexDipIso,16,207,472,209,275,,0,0
222233093000000,61,PREP,P01,S01,indexDipIso,16,210,478,209,274,,0,0
222233109000000,62,PREP,P01,S01,indexDipIso,16,206,475,208,275,,0,0
222233109000000,63,PREP,P01,S01,indexDipIso,16,208,473,209,273,,0,0
222233125000000,64,PREP,P01,S01,indexDipIso,16,207,473,210,274,,0,0
222233140000000,65,PREP,P01,S01,indexDipIso,16,217,474,208,273,,0,0
222233140000000,66,PREP,P01,S01,indexDipIso,16,208,475,209,273,,0,0
222233156000000,67,PREP,P01,S01,indexDipIso,16,200,475,209,275,,0,0
222233171000000,68,PREP,P01,S01,indexDipIso,16,204,473,208,275,,0,0
222233171000000,69,PREP,P01,S01,indexDipIso,16,209,474,208,273,,0,0
222233187000000,70,PREP,P01,S01,indexDipIso,16,205,462,208,273,,0,0
222233203000000,71,PREP,P01,S01,indexDipIso,16,212,473,209,278,,0,0
222233203000000,72,PREP,P01,S01,indexDipIso,16,209,474,208,274,,0,0
222233218000000,73,PREP,P01,S01,indexDipIso,16,208,474,215,274,,0,0
