t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222251484000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251500000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251500000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251515000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251531000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251531000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251546000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251562000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251562000000,18.99,17.46,17.37,13.09,4.89,5.33,9.67,4.76,2.13,13.2,4.35,3.47,22.3,6.1,4.24,0
222251578000000,18.76,16.99,18.18,12.53,5.0,5.36,9.59,4.6,2.24,13.48,4.1,3.54,22.47,5.94,4.22,0
222251593000000,18.76,16.99,18.18,12.53,5.0,5.36,9.59,4.6,2.24,13.48,4.1,3.54,22.47,5.94,4.22,0
222251593000000,18.76,16.99,18.18,12.53,5.0,5.36,9.59,4.6,2.24,13.48,4.1,3.54,22.47,5.94,4.22,0
222251609000000,18.76,16.99,18.18,12.53,5.0,5.36,9.59,4.6,2.24,13.48,4.1,3.54,22.47,5.94,4.22,0
222251609000000,18.76,16.99,18.18,12.53,5.0,5.36,9.59,4.6,2.24,13.48,4.1,3.54,22.47,5.94,4.22,0
222251625000000,18.78,16.97,19.05,12.6,5.04,5.32,9.63,4.65,2.21,13.17,4.23,3.62,22.1,5.94,4.18,0
222251640000000,18.78,16.97,19.05,12.6,5.04,5.32,9.63,4.65,2.21,13.17,4.23,3.62,22.1,5.94,4.18,0
222251640000000,18.78,16.97,19.05,12.6,5.04,5.32,9.63,4.65,2.21,13.17,4.23,3.62,22.1,5.94,4.18,0
222251656000000,18.78,16.97,19.05,12.6,5.04,5.32,9.63,4.65,2.21,13.17,4.23,3.62,22.1,5.94,4.18,0
222251671000000,18.71,17.25,18.61,12.28,4.79,5.29,9.24,4.42,2.24,13.23,4.1,3.6,22.4,5.91,4.15,0
222251671000000,18.71,17.25,18.61,12.28,4.79,5.29,9.24,4.42,2.24,13.23,4.1,3.6,22.4,5.91,4.15,0
222251687000000,18.71,17.25,18.61,12.28,4.79,5.29,9.24,4.42,2.24,13.23,4.1,3.6,22.4,5.91,4.15,0
222251703000000,18.71,17.25,18.61,12.28,4.79,5.29,9.24,4.42,2.24,13.23,4.1,3.6,22.4,5.91,4.15,0
222251703000000,18.71,17.25,18.61,12.28,4.79,5.29,9.24,4.42,2.24,13.23,4.1,3.6,22.4,5.91,4.15,0
222251718000000,19.1,17.52,17.44,12.34,3.71,4.42,9.06,3.85,1.88,12.71,3.44,3.33,21.85,5.48,4.04,0
222251734000000,19.1,17.52,17.44,12.34,3.71,4.42,9.06,3.85,1.88,12.71,3.44,3.33,21.85,5.48,4.04,0
222251734000000,19.1,17.52,17.44,12.34,3.71,4.42,9.06,3.85,1.88,12.71,3.44,3.33,21.85,5.48,4.04,0
222251750000000,19.1,17.52,17.44,12.34,3.71,4.42,9.06,3.85,1.88,12.71,3.44,3.33,21.85,5.48,4.04,0
222251750000000,19.1,17.52,17.44,12.34,3.71,4.42,9.06,3.85,1.88,12.71,3.44,3.33,21.85,5.48,4.04,0
222251765000000,18.53,17.22,16.73,11.17,3.75,4.48,8.67,4.0,1.87,13.34,3.59,3.29,22.27,5.6,3.98,0
222251781000000,18.53,17.22,16.73,11.17,3.75,4.48,8.67,4.0,1.87,13.34,3.59,3.29,22.27,5.6,3.98,0
222251781000000,18.53,17.22,16.73,11.17,3.75,4.48,8.67,4.0,1.87,13.34,3.59,3.29,22.27,5.6,3.98,0
222251796000000,18.53,17.22,16.73,11.17,3.75,4.48,8.67,4.0,1.87,13.34,3.59,3.29,22.27,5.6,3.98,0
222251812000000,17.99,16.96,18.59,10.79,3.11,4.45,8.92,3.78,1.89,13.25,3.38,3.32,22.25,5.7,4.12,0
222251812000000,17.99,16.96,18.59,10.79,3.11,4.45,8.92,3.78,1.89,13.25,3.38,3.32,22.25,5.7,4.12,0
222251828000000,17.99,16.96,18.59,10.79,3.11,4.45,8.92,3.78,1.89,13.25,3.38,3.32,22.25,5.7,4.12,0
222251843000000,17.99,16.96,18.59,10.79,3.11,4.45,8.92,3.78,1.89,13.25,3.38,3.32,22.25,5.7,4.12,0
222251843000000,17.99,16.96,18.59,10.79,3.11,4.45,8.92,3.78,1.89,13.25,3.38,3.32,22.25,5.7,4.12,0
222251859000000,17.86,17.85,17.48,11.53,3.29,4.12,9.37,3.59,1.44,13.07,2.87,3.04,21.82,5.29,4.11,0
222251859000000,17.86,17.85,17.48,11.53,3.29,4.12,9.37,3.59,1.44,13.07,2.87,3.04,21.82,5.29,4.11,0
222251875000000,17.86,17.85,17.48,11.53,3.29,4.12,9.37,3.59,1.44,13.07,2.87,3.04,21.82,5.29,4.11,0
222251890000000,17.86,17.85,17.48,11.53,3.29,4.12,9.37,3.59,1.44,13.07,2.87,3.04,21.82,5.29,4.11,0
222251890000000,17.86,17.85,17.48,11.53,3.29,4.12,9.37,3.59,1.44,13.07,2.87,3.04,21.82,5.29,4.11,0
222251906000000,18.46,17.68,16.86,10.9,3.35,4.13,8.55,3.68,1.76,12.71,3.24,3.41,21.53,5.46,4.26,0
222251921000000,18.46,17.68,16.86,10.9,3.35,4.13,8.55,3.68,1.76,12.71,3.24,3.41,21.53,5.46,4.26,0
222251921000000,18.46,17.68,16.86,10.9,3.35,4.13,8.55,3.68,1.76,12.71,3.24,3.41,21.53,5.46,4.26,0
222251937000000,18.46,17.68,16.86,10.9,3.35,4.13,8.55,3.68,1.76,12.71,3.24,3.41,21.53,5.46,4.26,0
222251953000000,18.83,17.77,17.28,10.62,3.13,4.45,8.5,3.6,1.83,12.78,3.12,3.34,21.83,5.39,4.28,0
222251953000000,18.83,17.77,17.28,10.62,3.13,4.45,8.5,3.6,1.83,12.78,3.12,3.34,21.83,5.39,4.28,0
222251968000000,18.83,17.77,17.28,10.62,3.13,4.45,8.5,3.6,1.83,12.78,3.12,3.34,21.83,5.39,4.28,0
222251984000000,18.83,17.77,17.28,10.62,3.13,4.45,8.5,3.6,1.83,12.78,3.12,3.34,21.83,5.39,4.28,0
222251984000000,18.83,17.77,17.28,10.62,3.13,4.45,8.5,3.6,1.83,12.78,3.12,3.34,21.83,5.39,4.28,0
222252000000000,19.07,18.48,17.19,11.14,3.57,4.06,8.96,3.72,1.78,12.7,2.96,3.26,21.1,5.37,4.3,0
222252000000000,19.07,18.48,17.19,11.14,3.57,4.06,8.96,3.72,1.78,12.7,2.96,3.26,21.1,5.37,4.3,0
222252015000000,19.07,18.48,17.19,11.14,3.57,4.06,8.96,3.72,1.78,12.7,2.96,3.26,21.1,5.37,4.3,0
222252031000000,19.07,18.48,17.19,11.14,3.57,4.06,8.96,3.72,1.78,12.7,2.96,3.26,21.1,5.37,4.3,0
222252031000000,19.07,18.48,17.19,11.14,3.57,4.06,8.96,3.72,1.78,12.7,2.96,3.26,21.1,5.37,4.3,0
222252046000000,18.82,18.39,17.7,10.94,3.54,4.0,9.24,3.73,1.74,12.72,2.91,3.3,21.17,5.28,4.31,0
222252062000000,18.82,18.39,17.7,10.94,3.54,4.0,9.24,3.73,1.74,12.72,2.91,3.3,21.17,5.28,4.31,0
222252062000000,18.82,18.39,17.7,10.94,3.54,4.0,9.24,3.73,1.74,12.72,2.91,3.3,21.17,5.28,4.31,0
222252078000000,18.82,18.39,17.7,10.94,3.54,4.0,9.24,3.73,1.74,12.72,2.91,3.3,21.17,5.28,4.31,0
