t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222137468000000,0,PREP,P01,S01,indexMcpIso,11,207,477,214,329,PREP_START,1,0
222137484000000,1,PREP,P01,S01,indexMcpIso,11,208,476,215,332,,1,0
222137500000000,2,PREP,P01,S01,indexMcpIso,11,209,476,213,331,,1,0
222137500000000,3,PREP,P01,S01,indexMcpIso,11,208,476,215,333,,1,0
222137515000000,4,PREP,P01,S01,indexMcpIso,11,230,476,216,334,,1,0
222137531000000,5,PREP,P01,S01,indexMcpIso,11,230,475,216,335,,1,0
222137531000000,6,PREP,P01,S01,indexMcpIso,11,237,476,217,334,,1,0
222137546000000,7,PREP,P01,S01,indexMcpIso,11,239,475,216,334,,1,0
222137562000000,8,PREP,P01,S01,indexMcpIso,11,242,477,217,338,,0,0
222137562000000,9,PREP,P01,S01,indexMcpIso,11,240,476,218,335,,0,0
222137578000000,10,PREP,P01,S01,indexMcpIso,11,244,477,217,335,,0,0
222137578000000,11,PREP,P01,S01,indexMcpIso,11,248,476,218,336,,0,0
222137593000000,12,PREP,P01,S01,indexMcpIso,11,248,472,218,336,,0,0
222137609000000,13,PREP,P01,S01,indexMcpIso,11,251,474,217,337,,0,0
222137609000000,14,PREP,P01,S01,indexMcpIso,11,255,477,218,337,,0,0
222137625000000,15,PREP,P01,S01,indexMcpIso,11,255,483,219,341,,0,0
222137640000000,16,PREP,P01,S01,indexMcpIso,11,257,477,220,338,,0,0
222137640000000,17,PREP,P01,S01,indexMcpIso,11,259,476,220,338,,0,0
222137656000000,18,PREP,P01,S01,indexMcpIso,11,259,478,221,335,,0,0
222137671000000,19,PREP,P01,S01,indexMcpIso,11,260,477,216,339,,0,0
222137671000000,20,PREP,P01,S01,indexMcpIso,11,261,476,222,338,,0,0
222137687000000,21,PREP,P01,S01,indexMcpIso,11,264,473,222,339,,0,0
222137703000000,22,PREP,P01,S01,indexMcpIso,11,269,477,222,342,,0,0
222137703000000,23,PREP,P01,S01,indexMcpIso,11,275,476,223,342,,0,0
222137718000000,24,PREP,P01,S01,indexMcpIso,11,276,475,223,343,,0,0
222137734000000,25,PREP,P01,S01,indexMcpIso,11,278,476,224,343,,0,0
222137734000000,26,PREP,P01,S01,indexMcpIso,11,278,476,225,342,,0,0
222137750000000,27,PREP,P01,S01,indexMcpIso,11,274,475,225,343,,0,0
222137750000000,28,PREP,P01,S01,indexMcpIso,11,278,475,224,343,,0,0
222137765000000,29,PREP,P01,S01,indexMcpIso,11,278,476,225,343,,0,0
222137781000000,30,PREP,P01,S01,indexMcpIso,11,277,475,225,343,,0,0
222137781000000,31,PREP,P01,S01,indexMcpIso,11,280,476,225,342,,0,0
222137796000000,32,PREP,P01,S01,indexMcpIso,11,281,475,226,344,,0,0
