t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222137468000000,18.09,20.06,26.45,14.88,4.52,4.23,10.14,5.35,2.23,16.18,5.41,3.82,21.83,6.7,4.78,0
222137484000000,18.09,20.06,26.45,14.88,4.52,4.23,10.14,5.35,2.23,16.18,5.41,3.82,21.83,6.7,4.78,0
222137500000000,18.09,20.06,26.45,14.88,4.52,4.23,10.14,5.35,2.23,16.18,5.41,3.82,21.83,6.7,4.78,0
222137500000000,18.09,20.06,26.45,14.88,4.52,4.23,10.14,5.35,2.23,16.18,5.41,3.82,21.83,6.7,4.78,0
222137515000000,17.3,20.04,26.48,15.18,5.0,4.26,10.79,5.75,2.28,16.85,5.72,3.81,22.05,7.0,4.64,0
222137531000000,17.3,20.04,26.48,15.18,5.0,4.26,10.79,5.75,2.28,16.85,5.72,3.81,22.05,7.0,4.64,0
222137531000000,17.3,20.04,26.48,15.18,5.0,4.26,10.79,5.75,2.28,16.85,5.72,3.81,22.05,7.0,4.64,0
222137546000000,17.3,20.04,26.48,15.18,5.0,4.26,10.79,5.75,2.28,16.85,5.72,3.81,22.05,7.0,4.64,0
222137562000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137562000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137578000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137578000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137593000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137609000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137609000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137625000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137640000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137640000000,18.03,19.53,26.11,14.74,4.76,4.2,9.94,5.53,2.38,16.26,5.62,4.11,22.1,6.87,4.86,0
222137656000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137671000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137671000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137687000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137703000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137703000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137718000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137734000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137734000000,17.96,20.25,26.61,14.88,4.78,4.02,10.12,5.41,2.19,16.46,5.42,3.82,22.07,6.86,4.77,0
222137750000000,18.23,21.33,26.7,15.35,4.65,4.16,10.77,5.27,2.04,17.11,5.17,3.49,22.61,6.59,4.74,0
222137750000000,18.23,21.33,26.7,15.35,4.65,4.16,10.77,5.27,2.04,17.11,5.17,3.49,22.61,6.59,4.74,0
222137765000000,18.23,21.33,26.7,15.35,4.65,4.16,10.77,5.27,2.04,17.11,5.17,3.49,22.61,6.59,4.74,0
222137781000000,18.23,21.33,26.7,15.35,4.65,4.16,10.77,5.27,2.04,17.11,5.17,3.49,22.61,6.59,4.74,0
222137781000000,18.23,21.33,26.7,15.35,4.65,4.16,10.77,5.27,2.04,17.11,5.17,3.49,22.61,6.59,4.74,0
222137796000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137812000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137812000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137828000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137828000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137843000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137859000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137859000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137875000000,18.58,21.57,24.34,15.33,4.71,4.01,10.87,5.34,2.15,17.01,5.13,3.69,22.13,6.63,4.72,0
222137890000000,18.53,20.62,25.83,15.49,4.94,3.83,10.48,5.4,2.24,16.65,5.26,3.81,21.87,6.77,4.72,0
222137890000000,18.53,20.62,25.83,15.49,4.94,3.83,10.48,5.4,2.24,16.65,5.26,3.81,21.87,6.77,4.72,0
222137906000000,18.53,20.62,25.83,15.49,4.94,3.83,10.48,5.4,2.24,16.65,5.26,3.81,21.87,6.77,4.72,0
222137921000000,18.53,20.62,25.83,15.49,4.94,3.83,10.48,5.4,2.24,16.65,5.26,3.81,21.87,6.77,4.72,0
