t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222175468000000,0,PREP,P01,S01,indexPipIso,13,160,510,190,286,PREP_START,1,0
222175484000000,1,PREP,P01,S01,indexPipIso,13,161,511,191,283,,1,0
222175500000000,2,PREP,P01,S01,indexPipIso,13,162,513,188,284,,1,0
222175500000000,3,PREP,P01,S01,indexPipIso,13,162,512,190,285,,1,0
222175515000000,4,PREP,P01,S01,indexPipIso,13,160,514,190,281,,1,0
222175531000000,5,PREP,P01,S01,indexPipIso,13,161,512,188,284,,1,0
222175531000000,6,PREP,P01,S01,indexPipIso,13,161,512,190,287,,1,0
222175546000000,7,PREP,P01,S01,indexPipIso,13,160,510,191,283,,1,0
222175562000000,8,PREP,P01,S01,indexPipIso,13,149,509,192,284,,0,0
222175562000000,9,PREP,P01,S01,indexPipIso,13,138,509,190,283,,0,0
222175578000000,10,PREP,P01,S01,indexPipIso,13,138,512,191,284,,0,0
222175578000000,11,PREP,P01,S01,indexPipIso,13,131,514,190,284,,0,0
222175593000000,12,PREP,P01,S01,indexPipIso,13,132,514,190,285,,0,0
222175609000000,13,PREP,P01,S01,indexPipIso,13,135,514,191,287,,0,0
222175609000000,14,PREP,P01,S01,indexPipIso,13,135,515,197,286,,0,0
222175625000000,15,PREP,P01,S01,indexPipIso,13,136,515,197,287,,0,0
222175640000000,16,PREP,P01,S01,indexPipIso,13,136,516,206,286,,0,0
222175640000000,17,PREP,P01,S01,indexPipIso,13,142,526,210,293,,0,0
222175656000000,18,PREP,P01,S01,indexPipIso,13,138,529,207,287,,0,0
222175671000000,19,PREP,P01,S01,indexPipIso,13,143,528,206,286,,0,0
222175671000000,20,PREP,P01,S01,indexPipIso,13,142,528,208,287,,0,0
222175687000000,21,PREP,P01,S01,indexPipIso,13,151,528,207,287,,0,0
222175703000000,22,PREP,P01,S01,indexPipIso,13,147,527,207,287,,0,0
222175703000000,23,PREP,P01,S01,indexPipIso,13,151,528,208,290,,0,0
222175718000000,24,PREP,P01,S01,indexPipIso,13,150,528,206,288,,0,0
222175718000000,25,PREP,P01,S01,indexPipIso,13,160,527,207,288,,0,0
222175734000000,26,PREP,P01,S01,indexPipIso,13,160,528,207,288,,0,0
222175750000000,27,PREP,P01,S01,indexPipIso,13,160,526,207,290,,0,0
222175750000000,28,PREP,P01,S01,indexPipIso,13,161,524,207,290,,0,0
222175765000000,29,PREP,P01,S01,indexPipIso,13,161,521,207,288,,0,0
222175781000000,30,PREP,P01,S01,indexPipIso,13,156,515,208,292,,0,0
222175781000000,31,PREP,P01,S01,indexPipIso,13,160,515,207,290,,0,0
222175796000000,32,PREP,P01,S01,indexPipIso,13,160,517,208,289,,0,0
222175812000000,33,PREP,P01,S01,indexPipIso,13,160,517,207,290,,0,0
222175812000000,34,PREP,P01,S01,indexPipIso,13,157,517,208,289,,0,0
222175828000000,35,PREP,P01,S01,indexPipIso,13,154,518,209,287,,0,0
222175828000000,36,PREP,P01,S01,indexPipIso,13,144,516,209,289,,0,0
222175843000000,37,PREP,P01,S01,indexPipIso,13,150,516,207,290,,0,0
222175859000000,38,PREP,P01,S01,indexPipIso,13,146,516,205,288,,0,0
222175859000000,39,PREP,P01,S01,indexPipIso,13,153,516,214,289,,0,0
222175875000000,40,PREP,P01,S01,indexPipIso,13,150,517,208,288,,0,0
222175890000000,41,PREP,P01,S01,indexPipIso,13,148,516,208,289,,0,0
222175890000000,42,PREP,P01,S01,indexPipIso,13,146,515,207,287,,0,0
222175906000000,43,PREP,P01,S01,indexPipIso,13,147,517,206,289,,0,0
222175921000000,44,PREP,P01,S01,indexPipIso,13,141,516,206,288,,0,0
222175921000000,45,PREP,P01,S01,indexPipIso,13,142,515,205,292,,0,0
222175937000000,46,PREP,P01,S01,indexPipIso,13,137,516,205,288,,0,0
222175953000000,47,PREP,P01,S01,indexPipIso,13,135,514,208,289,,0,0
222175953000000,48,PREP,P01,S01,indexPipIso,13,138,516,207,290,,0,0
222175968000000,49,PREP,P01,S01,indexPipIso,13,134,509,207,288,,0,0
222175968000000,50,PREP,P01,S01,indexPipIso,13,136,516,206,291,,0,0
222175984000000,51,PREP,P01,S01,indexPipIso,13,131,515,207,289,,0,0
222176000000000,52,PREP,P01,S01,indexPipIso,13,133,515,207,289,,0,0
222176000000000,53,PREP,P01,S01,indexPipIso,13,135,524,206,289,,0,0
222176015000000,54,PREP,P01,S01,indexPipIso,13,133,516,207,289,,0,0
222176031000000,55,PREP,P01,S01,indexPipIso,13,132,516,206,288,,0,0
222176031000000,56,PREP,P01,S01,indexPipIso,13,136,514,206,298,,0,0
222176046000000,57,PREP,P01,S01,indexPipIso,13,133,515,206,287,,0,0
222176062000000,58,PREP,P01,S01,indexPipIso,13,132,520,207,288,,0,0
222176062000000,59,PREP,P01,S01,indexPipIso,13,134,515,206,287,,0,0
222176078000000,60,PREP,P01,S01,indexPipIso,13,134,514,204,285,,0,0
222176093000000,61,PREP,P01,S01,indexPipIso,13,124,513,205,285,,0,0
222176093000000,62,PREP,P01,S01,indexPipIso,13,124,508,206,283,,0,0
222176109000000,63,PREP,P01,S01,indexPipIso,13,112,512,205,285,,0,0
222176109000000,64,PREP,P01,S01,indexPipIso,13,111,510,202,286,,0,0
222176125000000,65,PREP,P01,S01,indexPipIso,13,111,505,203,285,,0,0
222176140000000,66,PREP,P01,S01,indexPipIso,13,91,506,203,285,,0,0
222176140000000,67,PREP,P01,S01,indexPipIso,13,117,502,202,287,,0,0
222176156000000,68,PREP,P01,S01,indexPipIso,13,114,506,200,283,,0,0
222176171000000,69,PREP,P01,S01,indexPipIso,13,117,505,190,285,,0,0
222176171000000,70,PREP,P01,S01,indexPipIso,13,115,505,191,278,,0,0
