t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222194484000000,17.0,19.71,33.57,14.5,5.12,4.58,9.77,6.17,2.29,16.54,5.73,3.33,22.82,7.0,3.89,0
222194500000000,17.0,19.71,33.57,14.5,5.12,4.58,9.77,6.17,2.29,16.54,5.73,3.33,22.82,7.0,3.89,0
222194500000000,17.0,19.71,33.57,14.5,5.12,4.58,9.77,6.17,2.29,16.54,5.73,3.33,22.82,7.0,3.89,0
222194515000000,17.0,19.71,33.57,14.5,5.12,4.58,9.77,6.17,2.29,16.54,5.73,3.33,22.82,7.0,3.89,0
222194531000000,17.03,19.56,32.81,14.2,4.65,4.46,9.4,5.83,2.24,15.81,5.54,3.77,22.25,7.23,4.16,0
222194531000000,17.03,19.56,32.81,14.2,4.65,4.46,9.4,5.83,2.24,15.81,5.54,3.77,22.25,7.23,4.16,0
222194546000000,17.03,19.56,32.81,14.2,4.65,4.46,9.4,5.83,2.24,15.81,5.54,3.77,22.25,7.23,4.16,0
222194562000000,17.03,19.56,32.81,14.2,4.65,4.46,9.4,5.83,2.24,15.81,5.54,3.77,22.25,7.23,4.16,0
222194562000000,17.03,19.56,32.81,14.2,4.65,4.46,9.4,5.83,2.24,15.81,5.54,3.77,22.25,7.23,4.16,0
222194578000000,17.22,19.27,33.05,14.82,5.34,4.66,10.12,6.4,2.45,16.53,5.9,3.55,22.74,7.07,4.05,0
222194593000000,17.22,19.27,33.05,14.82,5.34,4.66,10.12,6.4,2.45,16.53,5.9,3.55,22.74,7.07,4.05,0
222194593000000,17.22,19.27,33.05,14.82,5.34,4.66,10.12,6.4,2.45,16.53,5.9,3.55,22.74,7.07,4.05,0
222194609000000,17.22,19.27,33.05,14.82,5.34,4.66,10.12,6.4,2.45,16.53,5.9,3.55,22.74,7.07,4.05,0
222194609000000,17.22,19.27,33.05,14.82,5.34,4.66,10.12,6.4,2.45,16.53,5.9,3.55,22.74,7.07,4.05,0
222194625000000,16.97,19.44,31.93,14.33,4.89,4.44,9.58,6.03,2.33,16.15,5.85,3.85,22.49,7.47,4.22,0
222194640000000,16.97,19.44,31.93,14.33,4.89,4.44,9.58,6.03,2.33,16.15,5.85,3.85,22.49,7.47,4.22,0
222194640000000,16.97,19.44,31.93,14.33,4.89,4.44,9.58,6.03,2.33,16.15,5.85,3.85,22.49,7.47,4.22,0
222194656000000,16.97,19.44,31.93,14.33,4.89,4.44,9.58,6.03,2.33,16.15,5.85,3.85,22.49,7.47,4.22,0
222194671000000,16.68,19.75,32.58,14.85,5.41,4.53,10.51,6.28,2.29,16.78,5.82,3.33,22.54,7.17,3.95,0
222194671000000,16.68,19.75,32.58,14.85,5.41,4.53,10.51,6.28,2.29,16.78,5.82,3.33,22.54,7.17,3.95,0
222194687000000,16.68,19.75,32.58,14.85,5.41,4.53,10.51,6.28,2.29,16.78,5.82,3.33,22.54,7.17,3.95,0
222194703000000,16.68,19.75,32.58,14.85,5.41,4.53,10.51,6.28,2.29,16.78,5.82,3.33,22.54,7.17,3.95,0
222194703000000,16.68,19.75,32.58,14.85,5.41,4.53,10.51,6.28,2.29,16.78,5.82,3.33,22.54,7.17,3.95,0
