t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
223011640000000,0,PREP,P01,S01,lateralGrip,57,302,405,251,395,PREP_START,0,0
223011656000000,1,PREP,P01,S01,lateralGrip,57,302,407,252,393,,0,0
223011656000000,2,PREP,P01,S01,lateralGrip,57,302,410,251,395,,0,0
223011671000000,3,PREP,P01,S01,lateralGrip,57,302,406,249,395,,0,0
223011687000000,4,PREP,P01,S01,lateralGrip,57,302,406,249,394,,0,0
223011687000000,5,PREP,P01,S01,lateralGrip,57,302,405,251,396,,0,0
223011703000000,6,PREP,P01,S01,lateralGrip,57,301,406,251,394,,0,0
223011718000000,7,PREP,P01,S01,lateralGrip,57,300,407,251,395,,0,0
223011718000000,8,PREP,P01,S01,lateralGrip,57,298,408,251,396,,0,0
223011734000000,9,PREP,P01,S01,lateralGrip,57,298,407,252,401,,0,0
223011750000000,10,PREP,P01,S01,lateralGrip,57,297,405,250,393,,0,0
223011750000000,11,PREP,P01,S01,lateralGrip,57,293,410,250,397,,0,0
223011765000000,12,PREP,P01,S01,lateralGrip,57,299,409,253,395,,0,0
223011765000000,13,PREP,P01,S01,lateralGrip,57,298,410,255,395,,0,0
223011781000000,14,PREP,P01,S01,lateralGrip,57,298,411,256,392,,0,0
223011796000000,15,PREP,P01,S01,lateralGrip,57,304,408,254,394,,0,0
223011796000000,16,PREP,P01,S01,lateralGrip,57,297,410,254,394,,0,0
223011812000000,17,PREP,P01,S01,lateralGrip,57,303,409,253,401,,0,0
223011828000000,18,PREP,P01,S01,lateralGrip,57,298,409,254,395,,0,0
223011828000000,19,PREP,P01,S01,lateralGrip,57,297,407,254,395,,0,0
223011843000000,20,PREP,P01,S01,lateralGrip,57,301,411,254,393,,0,0
223011859000000,21,PREP,P01,S01,lateralGrip,57,298,411,255,395,,0,0
223011859000000,22,PREP,P01,S01,lateralGrip,57,300,411,254,394,,0,0
223011875000000,23,PREP,P01,S01,lateralGrip,57,297,410,256,395,,0,0
223011890000000,24,PREP,P01,S01,lateralGrip,57,295,411,253,395,,0,0
223011890000000,25,PREP,P01,S01,lateralGrip,57,295,410,254,395,,0,0
223011906000000,26,PREP,P01,S01,lateralGrip,57,295,407,255,395,,0,0
223011906000000,27,PREP,P01,S01,lateralGrip,57,296,409,253,396,,0,0
223011921000000,28,PREP,P01,S01,lateralGrip,57,294,411,255,395,,0,0
223011937000000,29,PREP,P01,S01,lateralGrip,57,293,410,256,395,,0,0
223011937000000,30,PREP,P01,S01,lateralGrip,57,292,411,255,397,,0,0
223011953000000,31,PREP,P01,S01,lateralGrip,57,292,411,254,392,,0,0
223011968000000,32,PREP,P01,S01,lateralGrip,57,294,408,263,396,,0,0
223011968000000,33,PREP,P01,S01,lateralGrip,57,293,410,257,397,,0,0
223011984000000,34,PREP,P01,S01,lateralGrip,57,290,410,255,397,,0,0
223012000000000,35,PREP,P01,S01,lateralGrip,57,292,410,256,394,,0,0
223012000000000,36,PREP,P01,S01,lateralGrip,57,290,409,255,395,,0,0
223012015000000,37,PREP,P01,S01,lateralGrip,57,291,413,255,395,,0,0
223012015000000,38,PREP,P01,S01,lateralGrip,57,291,411,256,396,,0,0
223012031000000,39,PREP,P01,S01,lateralGrip,57,291,409,256,397,,0,0
223012046000000,40,PREP,P01,S01,lateralGrip,57,292,412,255,396,,0,0
223012046000000,41,PREP,P01,S01,lateralGrip,57,289,408,255,396,,0,0
223012062000000,42,PREP,P01,S01,lateralGrip,57,296,412,255,395,,0,0
223012078000000,43,PREP,P01,S01,lateralGrip,57,290,407,256,399,,0,0
223012078000000,44,PREP,P01,S01,lateralGrip,57,294,409,258,389,,0,0
223012093000000,45,PREP,P01,S01,lateralGrip,57,289,410,256,396,,0,0
223012109000000,46,PREP,P01,S01,lateralGrip,57,286,410,257,395,,0,0
223012109000000,47,PREP,P01,S01,lateralGrip,57,288,409,254,396,,0,0
223012125000000,48,PREP,P01,S01,lateralGrip,57,289,410,258,396,,0,0
223012140000000,49,PREP,P01,S01,lateralGrip,57,288,409,256,394,,0,0
223012140000000,50,PREP,P01,S01,lateralGrip,57,288,409,254,396,,0,0
223012156000000,51,PREP,P01,S01,lateralGrip,57,288,411,256,394,,0,0
223012156000000,52,PREP,P01,S01,lateralGrip,57,288,411,256,396,,0,0
223012171000000,53,PREP,P01,S01,lateralGrip,57,287,412,256,396,,0,0
223012187000000,54,PREP,P01,S01,lateralGrip,57,288,408,256,396,,0,0
223012187000000,55,PREP,P01,S01,lateralGrip,57,290,411,257,397,,0,0
223012203000000,56,PREP,P01,S01,lateralGrip,57,283,413,256,396,,0,0
223012218000000,57,PREP,P01,S01,lateralGrip,57,288,411,256,396,,0,0
223012218000000,58,PREP,P01,S01,lateralGrip,57,288,411,254,396,,0,0
223012234000000,59,PREP,P01,S01,lateralGrip,57,288,410,256,396,,0,0
223012250000000,60,PREP,P01,S01,lateralGrip,57,287,409,256,394,,0,0
223012250000000,61,PREP,P01,S01,lateralGrip,57,282,410,255,394,,0,0
223012265000000,62,PREP,P01,S01,lateralGrip,57,285,410,257,393,,0,0
223012265000000,63,PREP,P01,S01,lateralGrip,57,284,407,252,395,,0,0
223012281000000,64,PREP,P01,S01,lateralGrip,57,276,409,256,394,,0,0
223012296000000,65,PREP,P01,S01,lateralGrip,57,284,408,254,396,,0,0
223012296000000,66,PREP,P01,S01,lateralGrip,57,282,409,265,393,,0,0
223012312000000,67,PREP,P01,S01,lateralGrip,57,285,405,253,389,,0,0
223012328000000,68,PREP,P01,S01,lateralGrip,57,284,395,251,393,,0,0
223012328000000,69,PREP,P01,S01,lateralGrip,57,277,405,253,385,,0,0
223012343000000,70,PREP,P01,S01,lateralGrip,57,276,405,252,387,,0,0
223012359000000,71,PREP,P01,S01,lateralGrip,57,267,403,253,383,,0,0
223012359000000,72,PREP,P01,S01,lateralGrip,57,266,401,253,384,,0,0
223012375000000,73,PREP,P01,S01,lateralGrip,57,268,401,261,385,,0,0
223012390000000,74,PREP,P01,S01,lateralGrip,57,266,396,250,386,,0,0
