t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
223011640000000,26.38,23.82,11.8,21.14,5.09,3.49,15.91,5.81,1.0,24.29,4.28,2.35,29.97,5.5,4.3,0
223011656000000,26.38,23.82,11.8,21.14,5.09,3.49,15.91,5.81,1.0,24.29,4.28,2.35,29.97,5.5,4.3,0
223011656000000,26.38,23.82,11.8,21.14,5.09,3.49,15.91,5.81,1.0,24.29,4.28,2.35,29.97,5.5,4.3,0
223011671000000,26.38,23.82,11.8,21.14,5.09,3.49,15.91,5.81,1.0,24.29,4.28,2.35,29.97,5.5,4.3,0
223011687000000,25.93,23.59,12.17,20.46,4.94,3.53,15.35,5.91,1.12,23.85,4.59,2.4,29.65,5.73,4.25,0
223011687000000,25.93,23.59,12.17,20.46,4.94,3.53,15.35,5.91,1.12,23.85,4.59,2.4,29.65,5.73,4.25,0
223011703000000,25.93,23.59,12.17,20.46,4.94,3.53,15.35,5.91,1.12,23.85,4.59,2.4,29.65,5.73,4.25,0
223011718000000,25.93,23.59,12.17,20.46,4.94,3.53,15.35,5.91,1.12,23.85,4.59,2.4,29.65,5.73,4.25,0
223011718000000,25.93,23.59,12.17,20.46,4.94,3.53,15.35,5.91,1.12,23.85,4.59,2.4,29.65,5.73,4.25,0
223011734000000,26.03,23.59,12.96,20.53,4.88,3.49,15.22,6.11,1.13,23.91,4.94,2.47,29.68,5.73,4.43,0
223011750000000,26.03,23.59,12.96,20.53,4.88,3.49,15.22,6.11,1.13,23.91,4.94,2.47,29.68,5.73,4.43,0
223011750000000,26.03,23.59,12.96,20.53,4.88,3.49,15.22,6.11,1.13,23.91,4.94,2.47,29.68,5.73,4.43,0
223011765000000,26.03,23.59,12.96,20.53,4.88,3.49,15.22,6.11,1.13,23.91,4.94,2.47,29.68,5.73,4.43,0
223011765000000,26.03,23.59,12.96,20.53,4.88,3.49,15.22,6.11,1.13,23.91,4.94,2.47,29.68,5.73,4.43,0
223011781000000,26.03,24.26,14.02,21.33,4.77,3.43,15.41,5.98,1.15,23.88,4.71,2.44,29.7,5.57,4.36,0
223011796000000,26.03,24.26,14.02,21.33,4.77,3.43,15.41,5.98,1.15,23.88,4.71,2.44,29.7,5.57,4.36,0
223011796000000,26.03,24.26,14.02,21.33,4.77,3.43,15.41,5.98,1.15,23.88,4.71,2.44,29.7,5.57,4.36,0
223011812000000,26.03,24.26,14.02,21.33,4.77,3.43,15.41,5.98,1.15,23.88,4.71,2.44,29.7,5.57,4.36,0
223011828000000,26.11,24.19,12.85,21.03,4.86,3.48,15.93,6.01,0.9,24.51,4.81,2.37,30.09,5.77,4.51,0
223011828000000,26.11,24.19,12.85,21.03,4.86,3.48,15.93,6.01,0.9,24.51,4.81,2.37,30.09,5.77,4.51,0
223011843000000,26.11,24.19,12.85,21.03,4.86,3.48,15.93,6.01,0.9,24.51,4.81,2.37,30.09,5.77,4.51,0
223011859000000,26.11,24.19,12.85,21.03,4.86,3.48,15.93,6.01,0.9,24.51,4.81,2.37,30.09,5.77,4.51,0
223011859000000,26.11,24.19,12.85,21.03,4.86,3.48,15.93,6.01,0.9,24.51,4.81,2.37,30.09,5.77,4.51,0
223011875000000,26.17,24.5,13.21,21.52,4.78,3.38,15.47,5.83,1.11,23.97,4.61,2.43,29.71,5.65,4.37,0
223011890000000,26.17,24.5,13.21,21.52,4.78,3.38,15.47,5.83,1.11,23.97,4.61,2.43,29.71,5.65,4.37,0
223011890000000,26.17,24.5,13.21,21.52,4.78,3.38,15.47,5.83,1.11,23.97,4.61,2.43,29.71,5.65,4.37,0
223011906000000,26.17,24.5,13.21,21.52,4.78,3.38,15.47,5.83,1.11,23.97,4.61,2.43,29.71,5.65,4.37,0
223011906000000,26.17,24.5,13.21,21.52,4.78,3.38,15.47,5.83,1.11,23.97,4.61,2.43,29.71,5.65,4.37,0
223011921000000,25.99,24.43,12.86,20.85,4.62,3.51,15.71,5.54,0.95,24.32,4.4,2.42,29.94,5.81,4.58,0
223011937000000,25.99,24.43,12.86,20.85,4.62,3.51,15.71,5.54,0.95,24.32,4.4,2.42,29.94,5.81,4.58,0
223011937000000,25.99,24.43,12.86,20.85,4.62,3.51,15.71,5.54,0.95,24.32,4.4,2.42,29.94,5.81,4.58,0
223011953000000,25.99,24.43,12.86,20.85,4.62,3.51,15.71,5.54,0.95,24.32,4.4,2.42,29.94,5.81,4.58,0
223011968000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223011968000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223011984000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012000000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012000000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012015000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012015000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012031000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012046000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012046000000,26.12,24.5,13.48,20.63,4.51,3.37,15.22,5.68,0.93,23.84,4.53,2.33,29.38,5.75,4.49,0
223012062000000,25.79,24.27,12.47,20.68,4.73,3.58,15.75,5.77,0.96,24.3,4.6,2.47,29.86,5.89,4.65,0
223012078000000,25.79,24.27,12.47,20.68,4.73,3.58,15.75,5.77,0.96,24.3,4.6,2.47,29.86,5.89,4.65,0
223012078000000,25.79,24.27,12.47,20.68,4.73,3.58,15.75,5.77,0.96,24.3,4.6,2.47,29.86,5.89,4.65,0
223012093000000,25.79,24.27,12.47,20.68,4.73,3.58,15.75,5.77,0.96,24.3,4.6,2.47,29.86,5.89,4.65,0
223012109000000,26.07,24.36,13.2,20.92,4.82,3.33,15.22,5.81,1.06,23.88,4.58,2.38,29.45,5.61,4.51,0
223012109000000,26.07,24.36,13.2,20.92,4.82,3.33,15.22,5.81,1.06,23.88,4.58,2.38,29.45,5.61,4.51,0
223012125000000,26.07,24.36,13.2,20.92,4.82,3.33,15.22,5.81,1.06,23.88,4.58,2.38,29.45,5.61,4.51,0
223012140000000,26.07,24.36,13.2,20.92,4.82,3.33,15.22,5.81,1.06,23.88,4.58,2.38,29.45,5.61,4.51,0
223012140000000,26.07,24.36,13.2,20.92,4.82,3.33,15.22,5.81,1.06,23.88,4.58,2.38,29.45,5.61,4.51,0
223012156000000,26.26,24.05,13.23,21.41,4.77,3.43,15.65,5.86,1.0,24.38,4.54,2.3,30.05,5.56,4.4,0
223012156000000,26.26,24.05,13.23,21.41,4.77,3.43,15.65,5.86,1.0,24.38,4.54,2.3,30.05,5.56,4.4,0
223012171000000,26.26,24.05,13.23,21.41,4.77,3.43,15.65,5.86,1.0,24.38,4.54,2.3,30.05,5.56,4.4,0
223012187000000,26.26,24.05,13.23,21.41,4.77,3.43,15.65,5.86,1.0,24.38,4.54,2.3,30.05,5.56,4.4,0
223012187000000,26.26,24.05,13.23,21.41,4.77,3.43,15.65,5.86,1.0,24.38,4.54,2.3,30.05,5.56,4.4,0
223012203000000,26.01,24.07,13.4,20.67,4.56,3.36,14.74,5.59,1.08,23.45,4.37,2.45,29.41,5.53,4.61,0
