t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222422484000000,0,PREP,P01,S01,middleDipIso,26,446,492,287,500,PREP_START,1,0
222422500000000,1,PREP,P01,S01,middleDipIso,26,446,493,288,500,,1,0
222422500000000,2,PREP,P01,S01,middleDipIso,26,446,492,287,500,,1,0
222422515000000,3,PREP,P01,S01,middleDipIso,26,445,493,288,500,,1,0
222422531000000,4,PREP,P01,S01,middleDipIso,26,443,493,288,500,,1,0
222422531000000,5,PREP,P01,S01,middleDipIso,26,440,492,288,500,,1,0
222422546000000,6,PREP,P01,S01,middleDipIso,26,440,493,288,500,,1,0
222422562000000,7,PREP,P01,S01,middleDipIso,26,441,494,289,502,,0,0
222422562000000,8,PREP,P01,S01,middleDipIso,26,443,494,288,502,,0,0
222422578000000,9,PREP,P01,S01,middleDipIso,26,443,495,289,502,,0,0
222422593000000,10,PREP,P01,S01,middleDipIso,26,444,495,289,501,,0,0
222422593000000,11,PREP,P01,S01,middleDipIso,26,443,495,290,500,,0,0
222422609000000,12,PREP,P01,S01,middleDipIso,26,441,495,289,501,,0,0
222422625000000,13,PREP,P01,S01,middleDipIso,26,439,496,289,501,,0,0
222422625000000,14,PREP,P01,S01,middleDipIso,26,438,495,289,501,,0,0
222422640000000,15,PREP,P01,S01,middleDipIso,26,431,494,289,502,,0,0
222422656000000,16,PREP,P01,S01,middleDipIso,26,427,495,289,501,,0,0
222422656000000,17,PREP,P01,S01,middleDipIso,26,427,495,289,500,,0,0
222422671000000,18,PREP,P01,S01,middleDipIso,26,427,496,290,502,,0,0
222422671000000,19,PREP,P01,S01,middleDipIso,26,426,495,289,502,,0,0
222422687000000,20,PREP,P01,S01,middleDipIso,26,425,496,289,501,,0,0
222422703000000,21,PREP,P01,S01,middleDipIso,26,425,495,289,501,,0,0
222422703000000,22,PREP,P01,S01,middleDipIso,26,426,495,289,501,,0,0
222422718000000,23,PREP,P01,S01,middleDipIso,26,426,496,289,501,,0,0
222422734000000,24,PREP,P01,S01,middleDipIso,26,426,495,289,501,,0,0
222422734000000,25,PREP,P01,S01,middleDipIso,26,425,495,289,502,,0,0
222422750000000,26,PREP,P01,S01,middleDipIso,26,425,496,290,502,,0,0
222422750000000,27,PREP,P01,S01,middleDipIso,26,426,495,290,501,,0,0
222422765000000,28,PREP,P01,S01,middleDipIso,26,426,496,290,502,,0,0
222422781000000,29,PREP,P01,S01,middleDipIso,26,426,496,289,501,,0,0
222422781000000,30,PREP,P01,S01,middleDipIso,26,426,496,290,502,,0,0
222422796000000,31,PREP,P01,S01,middleDipIso,26,431,499,290,502,,0,0
222422812000000,32,PREP,P01,S01,middleDipIso,26,436,495,289,501,,0,0
222422812000000,33,PREP,P01,S01,middleDipIso,26,442,496,289,502,,0,0
222422828000000,34,PREP,P01,S01,middleDipIso,26,444,496,290,502,,0,0
222422843000000,35,PREP,P01,S01,middleDipIso,26,444,497,290,502,,0,0
222422843000000,36,PREP,P01,S01,middleDipIso,26,444,496,290,502,,0,0
222422859000000,37,PREP,P01,S01,middleDipIso,26,444,496,290,501,,0,0
222422875000000,38,PREP,P01,S01,middleDipIso,26,445,496,289,501,,0,0
222422875000000,39,PREP,P01,S01,middleDipIso,26,444,496,290,502,,0,0
222422890000000,40,PREP,P01,S01,middleDipIso,26,445,496,290,502,,0,0
222422906000000,41,PREP,P01,S01,middleDipIso,26,445,496,290,502,,0,0
222422906000000,42,PREP,P01,S01,middleDipIso,26,445,496,290,501,,0,0
222422921000000,43,PREP,P01,S01,middleDipIso,26,447,496,289,502,,0,0
222422921000000,44,PREP,P01,S01,middleDipIso,26,448,496,290,502,,0,0
222422937000000,45,PREP,P01,S01,middleDipIso,26,448,496,289,501,,0,0
222422953000000,46,PREP,P01,S01,middleDipIso,26,449,496,290,503,,0,0
222422953000000,47,PREP,P01,S01,middleDipIso,26,450,496,289,503,,0,0
222422968000000,48,PREP,P01,S01,middleDipIso,26,452,496,290,502,,0,0
222422984000000,49,PREP,P01,S01,middleDipIso,26,452,495,290,502,,0,0
222422984000000,50,PREP,P01,S01,middleDipIso,26,453,495,290,502,,0,0
222423000000000,51,PREP,P01,S01,middleDipIso,26,452,496,290,503,,0,0
