t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222441484000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441500000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441515000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441515000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441531000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441531000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441546000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441562000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441562000000,29.35,27.59,24.33,22.66,5.72,3.13,14.84,6.45,2.03,21.18,4.85,4.56,27.09,5.19,4.8,0
222441578000000,29.93,27.42,24.25,23.06,5.68,2.83,14.76,6.49,1.98,20.55,4.59,4.75,26.26,5.09,4.64,0
222441593000000,29.93,27.42,24.25,23.06,5.68,2.83,14.76,6.49,1.98,20.55,4.59,4.75,26.26,5.09,4.64,0
222441593000000,29.93,27.42,24.25,23.06,5.68,2.83,14.76,6.49,1.98,20.55,4.59,4.75,26.26,5.09,4.64,0
222441609000000,29.93,27.42,24.25,23.06,5.68,2.83,14.76,6.49,1.98,20.55,4.59,4.75,26.26,5.09,4.64,0
222441625000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441625000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441640000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441640000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441656000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441671000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441671000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441687000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441703000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441703000000,30.12,27.16,21.68,23.68,6.11,3.29,15.14,7.12,2.13,20.59,5.61,4.62,26.44,5.48,4.96,0
222441718000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441734000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441734000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441750000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441765000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441765000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441781000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441781000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441796000000,30.27,27.44,24.36,22.18,5.57,2.93,14.25,6.34,2.0,20.13,4.82,4.61,26.06,5.0,4.62,0
222441812000000,30.56,27.43,24.68,22.38,5.78,2.81,14.61,6.42,1.96,20.4,4.77,4.71,26.06,5.16,4.82,0
222441812000000,30.56,27.43,24.68,22.38,5.78,2.81,14.61,6.42,1.96,20.4,4.77,4.71,26.06,5.16,4.82,0
222441828000000,30.56,27.43,24.68,22.38,5.78,2.81,14.61,6.42,1.96,20.4,4.77,4.71,26.06,5.16,4.82,0
222441843000000,30.56,27.43,24.68,22.38,5.78,2.81,14.61,6.42,1.96,20.4,4.77,4.71,26.06,5.16,4.82,0
222441843000000,30.56,27.43,24.68,22.38,5.78,2.81,14.61,6.42,1.96,20.4,4.77,4.71,26.06,5.16,4.82,0
222441859000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441875000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441875000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441890000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441906000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441906000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441921000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441921000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441937000000,30.44,27.16,24.39,22.28,5.88,2.9,14.63,6.45,2.04,20.52,4.73,4.74,26.17,5.02,4.81,0
222441953000000,30.06,27.41,23.77,22.33,5.89,2.76,14.32,6.39,1.64,20.51,4.25,4.27,26.36,4.69,4.31,0
222441953000000,30.06,27.41,23.77,22.33,5.89,2.76,14.32,6.39,1.64,20.51,4.25,4.27,26.36,4.69,4.31,0
222441968000000,30.06,27.41,23.77,22.33,5.89,2.76,14.32,6.39,1.64,20.51,4.25,4.27,26.36,4.69,4.31,0
222441984000000,30.06,27.41,23.77,22.33,5.89,2.76,14.32,6.39,1.64,20.51,4.25,4.27,26.36,4.69,4.31,0
222441984000000,30.06,27.41,23.77,22.33,5.89,2.76,14.32,6.39,1.64,20.51,4.25,4.27,26.36,4.69,4.31,0
222442000000000,30.53,27.49,24.82,22.91,6.06,2.89,14.94,6.61,1.85,20.9,4.55,4.46,26.7,4.88,4.62,0
222442015000000,30.53,27.49,24.82,22.91,6.06,2.89,14.94,6.61,1.85,20.9,4.55,4.46,26.7,4.88,4.62,0
222442015000000,30.53,27.49,24.82,22.91,6.06,2.89,14.94,6.61,1.85,20.9,4.55,4.46,26.7,4.88,4.62,0
222442031000000,30.53,27.49,24.82,22.91,6.06,2.89,14.94,6.61,1.85,20.9,4.55,4.46,26.7,4.88,4.62,0
222442031000000,30.53,27.49,24.82,22.91,6.06,2.89,14.94,6.61,1.85,20.9,4.55,4.46,26.7,4.88,4.62,0
222442046000000,30.67,27.28,24.31,22.19,5.86,2.77,14.55,6.36,1.84,20.67,4.48,4.53,26.48,4.88,4.68,0
222442062000000,30.67,27.28,24.31,22.19,5.86,2.77,14.55,6.36,1.84,20.67,4.48,4.53,26.48,4.88,4.68,0
222442062000000,30.67,27.28,24.31,22.19,5.86,2.77,14.55,6.36,1.84,20.67,4.48,4.53,26.48,4.88,4.68,0
222442078000000,30.67,27.28,24.31,22.19,5.86,2.77,14.55,6.36,1.84,20.67,4.48,4.53,26.48,4.88,4.68,0
222442093000000,30.33,27.18,23.97,21.61,5.65,2.64,14.45,6.14,1.31,20.96,3.9,3.89,26.45,4.62,4.05,0
222442093000000,30.33,27.18,23.97,21.61,5.65,2.64,14.45,6.14,1.31,20.96,3.9,3.89,26.45,4.62,4.05,0
222442109000000,30.33,27.18,23.97,21.61,5.65,2.64,14.45,6.14,1.31,20.96,3.9,3.89,26.45,4.62,4.05,0
222442125000000,30.33,27.18,23.97,21.61,5.65,2.64,14.45,6.14,1.31,20.96,3.9,3.89,26.45,4.62,4.05,0
222442125000000,30.33,27.18,23.97,21.61,5.65,2.64,14.45,6.14,1.31,20.96,3.9,3.89,26.45,4.62,4.05,0
222442140000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442156000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442156000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442171000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442171000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442187000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442203000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442203000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442218000000,30.25,27.21,24.69,22.17,6.06,2.7,14.85,6.49,1.39,21.12,4.08,3.97,26.88,4.45,3.95,0
222442234000000,30.36,27.4,24.69,22.19,5.99,2.7,15.1,6.46,1.53,21.32,4.12,4.13,26.71,4.58,4.19,0
222442234000000,30.36,27.4,24.69,22.19,5.99,2.7,15.1,6.46,1.53,21.32,4.12,4.13,26.71,4.58,4.19,0
222442250000000,30.36,27.4,24.69,22.19,5.99,2.7,15.1,6.46,1.53,21.32,4.12,4.13,26.71,4.58,4.19,0
222442265000000,30.36,27.4,24.69,22.19,5.99,2.7,15.1,6.46,1.53,21.32,4.12,4.13,26.71,4.58,4.19,0
222442265000000,30.36,27.4,24.69,22.19,5.99,2.7,15.1,6.46,1.53,21.32,4.12,4.13,26.71,4.58,4.19,0
222442296000000,30.51,27.06,23.45,22.12,6.07,2.59,15.09,6.5,1.36,21.32,4.12,3.96,26.88,4.57,4.13,0
222442296000000,30.51,27.06,23.45,22.12,6.07,2.59,15.09,6.5,1.36,21.32,4.12,3.96,26.88,4.57,4.13,0
222442296000000,30.51,27.06,23.45,22.12,6.07,2.59,15.09,6.5,1.36,21.32,4.12,3.96,26.88,4.57,4.13,0
222442312000000,30.51,27.06,23.45,22.12,6.07,2.59,15.09,6.5,1.36,21.32,4.12,3.96,26.88,4.57,4.13,0
222442312000000,30.51,27.06,23.45,22.12,6.07,2.59,15.09,6.5,1.36,21.32,4.12,3.96,26.88,4.57,4.13,0
222442328000000,30.51,27.06,23.45,22.12,6.07,2.59,15.09,6.5,1.36,21.32,4.12,3.96,26.88,4.57,4.13,0
222442343000000,30.82,26.69,22.44,22.34,6.5,2.77,15.57,6.82,1.42,21.56,4.61,3.88,27.14,4.62,4.1,0
222442343000000,30.82,26.69,22.44,22.34,6.5,2.77,15.57,6.82,1.42,21.56,4.61,3.88,27.14,4.62,4.1,0
222442359000000,30.82,26.69,22.44,22.34,6.5,2.77,15.57,6.82,1.42,21.56,4.61,3.88,27.14,4.62,4.1,0
222442375000000,30.82,26.69,22.44,22.34,6.5,2.77,15.57,6.82,1.42,21.56,4.61,3.88,27.14,4.62,4.1,0
222442375000000,30.82,26.69,22.44,22.34,6.5,2.77,15.57,6.82,1.42,21.56,4.61,3.88,27.14,4.62,4.1,0
222442390000000,30.29,26.7,22.93,22.16,6.1,2.66,15.1,6.48,1.74,21.43,4.54,4.44,27.19,4.63,4.3,0
222442406000000,30.29,26.7,22.93,22.16,6.1,2.66,15.1,6.48,1.74,21.43,4.54,4.44,27.19,4.63,4.3,0
222442406000000,30.29,26.7,22.93,22.16,6.1,2.66,15.1,6.48,1.74,21.43,4.54,4.44,27.19,4.63,4.3,0
