t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222327484000000,0,PREP,P01,S01,middleMcpIso,21,727,676,390,564,PREP_START,1,0
222327500000000,1,PREP,P01,S01,middleMcpIso,21,725,678,391,562,,1,0
222327500000000,2,PREP,P01,S01,middleMcpIso,21,729,679,400,569,,1,0
222327515000000,3,PREP,P01,S01,middleMcpIso,21,729,679,404,570,,1,0
222327531000000,4,PREP,P01,S01,middleMcpIso,21,729,680,404,572,,1,0
222327531000000,5,PREP,P01,S01,middleMcpIso,21,728,679,404,567,,1,0
222327546000000,6,PREP,P01,S01,middleMcpIso,21,726,680,404,568,,1,0
222327562000000,7,PREP,P01,S01,middleMcpIso,21,724,688,407,568,,0,0
222327562000000,8,PREP,P01,S01,middleMcpIso,21,714,692,408,568,,0,0
222327578000000,9,PREP,P01,S01,middleMcpIso,21,709,693,408,567,,0,0
222327593000000,10,PREP,P01,S01,middleMcpIso,21,706,692,407,568,,0,0
222327593000000,11,PREP,P01,S01,middleMcpIso,21,702,691,409,567,,0,0
222327609000000,12,PREP,P01,S01,middleMcpIso,21,701,692,408,567,,0,0
222327625000000,13,PREP,P01,S01,middleMcpIso,21,699,692,406,567,,0,0
222327625000000,14,PREP,P01,S01,middleMcpIso,21,694,694,408,571,,0,0
222327640000000,15,PREP,P01,S01,middleMcpIso,21,689,694,407,570,,0,0
222327640000000,16,PREP,P01,S01,middleMcpIso,21,687,695,407,570,,0,0
222327656000000,17,PREP,P01,S01,middleMcpIso,21,684,696,407,568,,0,0
222327671000000,18,PREP,P01,S01,middleMcpIso,21,678,696,407,569,,0,0
222327671000000,19,PREP,P01,S01,middleMcpIso,21,678,696,407,570,,0,0
222327687000000,20,PREP,P01,S01,middleMcpIso,21,677,697,407,572,,0,0
222327703000000,21,PREP,P01,S01,middleMcpIso,21,673,695,405,570,,0,0
222327703000000,22,PREP,P01,S01,middleMcpIso,21,673,692,398,569,,0,0
222327718000000,23,PREP,P01,S01,middleMcpIso,21,670,692,396,569,,0,0
222327734000000,24,PREP,P01,S01,middleMcpIso,21,667,691,397,569,,0,0
222327734000000,25,PREP,P01,S01,middleMcpIso,21,666,690,397,569,,0,0
222327750000000,26,PREP,P01,S01,middleMcpIso,21,665,692,393,570,,0,0
222327765000000,27,PREP,P01,S01,middleMcpIso,21,664,691,397,566,,0,0
222327765000000,28,PREP,P01,S01,middleMcpIso,21,660,691,397,569,,0,0
222327781000000,29,PREP,P01,S01,middleMcpIso,21,656,693,397,566,,0,0
222327781000000,30,PREP,P01,S01,middleMcpIso,21,655,693,398,567,,0,0
222327796000000,31,PREP,P01,S01,middleMcpIso,21,655,694,399,562,,0,0
222327812000000,32,PREP,P01,S01,middleMcpIso,21,654,693,398,564,,0,0
222327812000000,33,PREP,P01,S01,middleMcpIso,21,651,693,399,565,,0,0
222327828000000,34,PREP,P01,S01,middleMcpIso,21,652,695,398,565,,0,0
222327843000000,35,PREP,P01,S01,middleMcpIso,21,648,694,399,566,,0,0
222327843000000,36,PREP,P01,S01,middleMcpIso,21,651,693,400,567,,0,0
222327859000000,37,PREP,P01,S01,middleMcpIso,21,650,692,399,568,,0,0
222327859000000,38,PREP,P01,S01,middleMcpIso,21,649,694,399,569,,0,0
222327875000000,39,PREP,P01,S01,middleMcpIso,21,648,693,400,569,,0,0
222327890000000,40,PREP,P01,S01,middleMcpIso,21,644,693,401,569,,0,0
222327890000000,41,PREP,P01,S01,middleMcpIso,21,643,692,400,568,,0,0
222327906000000,42,PREP,P01,S01,middleMcpIso,21,643,691,401,564,,0,0
222327921000000,43,PREP,P01,S01,middleMcpIso,21,639,689,397,543,,0,0
222327921000000,44,PREP,P01,S01,middleMcpIso,21,641,689,398,538,,0,0
222327937000000,45,PREP,P01,S01,middleMcpIso,21,644,682,392,532,,0,0
222327953000000,46,PREP,P01,S01,middleMcpIso,21,642,682,393,510,,0,0
222327953000000,47,PREP,P01,S01,middleMcpIso,21,637,680,389,498,,0,0
222327968000000,48,PREP,P01,S01,middleMcpIso,21,634,680,386,481,,0,0
222327984000000,49,PREP,P01,S01,middleMcpIso,21,629,681,376,472,,0,0
222327984000000,50,PREP,P01,S01,middleMcpIso,21,626,680,376,470,,0,0
222328000000000,51,PREP,P01,S01,middleMcpIso,21,624,679,373,473,,0,0
222328000000000,52,PREP,P01,S01,middleMcpIso,21,618,678,370,472,,0,0
222328015000000,53,PREP,P01,S01,middleMcpIso,21,609,675,373,473,,0,0
222328031000000,54,PREP,P01,S01,middleMcpIso,21,608,676,371,474,,0,0
222328031000000,55,PREP,P01,S01,middleMcpIso,21,607,676,373,475,,0,0
222328046000000,56,PREP,P01,S01,middleMcpIso,21,607,675,373,474,,0,0
222328062000000,57,PREP,P01,S01,middleMcpIso,21,606,676,372,476,,0,0
222328062000000,58,PREP,P01,S01,middleMcpIso,21,607,677,372,477,,0,0
222328078000000,59,PREP,P01,S01,middleMcpIso,21,604,674,371,477,,0,0
222328093000000,60,PREP,P01,S01,middleMcpIso,21,608,674,374,472,,0,0
222328093000000,61,PREP,P01,S01,middleMcpIso,21,603,672,371,464,,0,0
222328109000000,62,PREP,P01,S01,middleMcpIso,21,601,672,374,452,,0,0
222328109000000,63,PREP,P01,S01,middleMcpIso,21,601,672,377,456,,0,0
222328125000000,64,PREP,P01,S01,middleMcpIso,21,600,673,376,451,,0,0
222328140000000,65,PREP,P01,S01,middleMcpIso,21,599,669,375,451,,0,0
222328140000000,66,PREP,P01,S01,middleMcpIso,21,598,672,377,451,,0,0
222328156000000,67,PREP,P01,S01,middleMcpIso,21,597,673,378,450,,0,0
222328171000000,68,PREP,P01,S01,middleMcpIso,21,598,673,378,451,,0,0
222328171000000,69,PREP,P01,S01,middleMcpIso,21,597,672,380,453,,0,0
222328187000000,70,PREP,P01,S01,middleMcpIso,21,597,673,380,452,,0,0
222328203000000,71,PREP,P01,S01,middleMcpIso,21,598,672,380,452,,0,0
222328203000000,72,PREP,P01,S01,middleMcpIso,21,598,673,381,452,,0,0
222328218000000,73,PREP,P01,S01,middleMcpIso,21,599,673,381,452,,0,0
222328234000000,74,PREP,P01,S01,middleMcpIso,21,600,672,383,453,,0,0
222328234000000,75,PREP,P01,S01,middleMcpIso,21,600,673,383,452,,0,0
222328250000000,76,PREP,P01,S01,middleMcpIso,21,601,672,382,452,,0,0
222328250000000,77,PREP,P01,S01,middleMcpIso,21,602,671,383,453,,0,0
222328265000000,78,PREP,P01,S01,middleMcpIso,21,602,672,384,452,,0,0
222328281000000,79,PREP,P01,S01,middleMcpIso,21,601,671,385,454,,0,0
222328281000000,80,PREP,P01,S01,middleMcpIso,21,603,672,384,454,,0,0
222328296000000,81,PREP,P01,S01,middleMcpIso,21,603,672,385,454,,0,0
222328312000000,82,PREP,P01,S01,middleMcpIso,21,605,672,384,454,,0,0
222328312000000,83,PREP,P01,S01,middleMcpIso,21,608,673,381,451,,0,0
222328328000000,84,PREP,P01,S01,middleMcpIso,21,617,673,384,452,,0,0
222328343000000,85,PREP,P01,S01,middleMcpIso,21,629,671,385,445,,0,0
222328343000000,86,PREP,P01,S01,middleMcpIso,21,631,671,385,445,,0,0
222328359000000,87,PREP,P01,S01,middleMcpIso,21,632,671,385,440,,0,0
222328359000000,88,PREP,P01,S01,middleMcpIso,21,633,670,385,442,,0,0
222328375000000,89,PREP,P01,S01,middleMcpIso,21,632,668,384,437,,0,0
222328390000000,90,PREP,P01,S01,middleMcpIso,21,632,669,382,433,,0,0
222328390000000,91,PREP,P01,S01,middleMcpIso,21,630,667,382,434,,0,0
222328406000000,92,PREP,P01,S01,middleMcpIso,21,627,665,378,428,,0,0
222328421000000,93,PREP,P01,S01,middleMcpIso,21,625,665,377,421,,0,0
222328421000000,94,PREP,P01,S01,middleMcpIso,21,625,665,368,416,,0,0
222328437000000,95,PREP,P01,S01,middleMcpIso,21,632,665,366,413,,0,0
222328453000000,96,PREP,P01,S01,middleMcpIso,21,643,665,363,413,,0,0
222328453000000,97,PREP,P01,S01,middleMcpIso,21,643,661,349,413,,1,0
222328468000000,98,PREP,P01,S01,middleMcpIso,21,644,660,348,416,,1,0
222328484000000,99,PREP,P01,S01,middleMcpIso,21,642,660,346,413,,1,0
222328484000000,100,PREP,P01,S01,middleMcpIso,21,636,657,340,416,,1,0
222328500000000,101,PREP,P01,S01,middleMcpIso,21,626,654,327,419,,1,0
222328500000000,102,PREP,P01,S01,middleMcpIso,21,630,652,317,417,,1,0
222328515000000,103,PREP,P01,S01,middleMcpIso,21,624,647,311,418,,1,0
222328531000000,104,PREP,P01,S01,middleMcpIso,21,621,642,310,419,,1,0
222328531000000,105,PREP,P01,S01,middleMcpIso,21,620,638,307,421,,1,0
222328546000000,106,PREP,P01,S01,middleMcpIso,21,619,635,309,419,,1,0
222328562000000,107,PREP,P01,S01,middleMcpIso,21,620,634,308,421,,0,0
222328562000000,108,PREP,P01,S01,middleMcpIso,21,620,632,304,422,,0,0
222328578000000,109,PREP,P01,S01,middleMcpIso,21,619,630,292,421,,0,0
222328593000000,110,PREP,P01,S01,middleMcpIso,21,619,626,289,420,,0,0
222328593000000,111,PREP,P01,S01,middleMcpIso,21,619,624,288,420,,0,0
222328609000000,112,PREP,P01,S01,middleMcpIso,21,616,621,291,420,,0,0
222328625000000,113,PREP,P01,S01,middleMcpIso,21,618,618,282,421,,0,0
222328625000000,114,PREP,P01,S01,middleMcpIso,21,620,615,278,420,,0,0
222328640000000,115,PREP,P01,S01,middleMcpIso,21,623,618,277,419,,0,0
222328640000000,116,PREP,P01,S01,middleMcpIso,21,624,614,276,419,,0,0
222328656000000,117,PREP,P01,S01,middleMcpIso,21,623,611,275,416,,0,0
222328671000000,118,PREP,P01,S01,middleMcpIso,21,620,604,274,414,,0,0
222328671000000,119,PREP,P01,S01,middleMcpIso,21,619,602,272,413,,0,0
222328687000000,120,PREP,P01,S01,middleMcpIso,21,619,598,272,414,,0,0
222328703000000,121,PREP,P01,S01,middleMcpIso,21,621,596,273,415,,0,0
222328703000000,122,PREP,P01,S01,middleMcpIso,21,620,589,272,415,,0,0
222328718000000,123,PREP,P01,S01,middleMcpIso,21,621,586,273,415,,0,0
222328734000000,124,PREP,P01,S01,middleMcpIso,21,621,583,271,414,,0,0
222328734000000,125,PREP,P01,S01,middleMcpIso,21,623,581,272,413,,0,0
222328750000000,126,PREP,P01,S01,middleMcpIso,21,621,578,270,417,,0,0
222328750000000,127,PREP,P01,S01,middleMcpIso,21,621,579,268,416,,0,0
222328765000000,128,PREP,P01,S01,middleMcpIso,21,620,577,267,416,,0,0
222328781000000,129,PREP,P01,S01,middleMcpIso,21,617,572,267,412,,0,0
222328781000000,130,PREP,P01,S01,middleMcpIso,21,616,567,272,417,,0,0
222328796000000,131,PREP,P01,S01,middleMcpIso,21,613,567,264,416,,0,0
222328812000000,132,PREP,P01,S01,middleMcpIso,21,608,557,264,419,,0,0
