t_monotonic_ns,target_thumb_cmc_flex,target_thumb_mcp_flex,target_thumb_ip_flex,target_index_mcp_flex,target_index_pip_flex,target_index_dip_flex,target_middle_mcp_flex,target_middle_pip_flex,target_middle_dip_flex,target_ring_mcp_flex,target_ring_pip_flex,target_ring_dip_flex,target_pinky_mcp_flex,target_pinky_pip_flex,target_pinky_dip_flex,quality_flag
222327484000000,24.22,20.96,18.45,15.4,6.42,7.12,4.93,82.09,70.55,9.56,12.54,10.34,20.11,7.5,5.5,0
222327500000000,24.22,20.96,18.45,15.4,6.42,7.12,4.93,82.09,70.55,9.56,12.54,10.34,20.11,7.5,5.5,0
222327500000000,24.22,20.96,18.45,15.4,6.42,7.12,4.93,82.09,70.55,9.56,12.54,10.34,20.11,7.5,5.5,0
222327515000000,24.22,20.96,18.45,15.4,6.42,7.12,4.93,82.09,70.55,9.56,12.54,10.34,20.11,7.5,5.5,0
222327531000000,26.12,21.17,20.81,15.84,6.25,6.73,4.59,87.54,69.96,9.82,10.58,9.91,20.43,6.47,5.27,0
222327531000000,26.12,21.17,20.81,15.84,6.25,6.73,4.59,87.54,69.96,9.82,10.58,9.91,20.43,6.47,5.27,0
222327546000000,26.12,21.17,20.81,15.84,6.25,6.73,4.59,87.54,69.96,9.82,10.58,9.91,20.43,6.47,5.27,0
222327562000000,26.12,21.17,20.81,15.84,6.25,6.73,4.59,87.54,69.96,9.82,10.58,9.91,20.43,6.47,5.27,0
222327562000000,26.12,21.17,20.81,15.84,6.25,6.73,4.59,87.54,69.96,9.82,10.58,9.91,20.43,6.47,5.27,0
222327578000000,25.2,21.19,19.83,16.84,6.46,6.51,5.48,85.19,70.64,10.26,12.38,10.41,20.96,6.8,5.66,0
222327593000000,25.2,21.19,19.83,16.84,6.46,6.51,5.48,85.19,70.64,10.26,12.38,10.41,20.96,6.8,5.66,0
222327593000000,25.2,21.19,19.83,16.84,6.46,6.51,5.48,85.19,70.64,10.26,12.38,10.41,20.96,6.8,5.66,0
222327609000000,25.2,21.19,19.83,16.84,6.46,6.51,5.48,85.19,70.64,10.26,12.38,10.41,20.96,6.8,5.66,0
222327625000000,25.92,20.97,18.69,16.64,6.66,6.86,4.82,100.57,59.04,9.67,12.38,11.0,20.08,6.94,6.18,0
222327625000000,25.92,20.97,18.69,16.64,6.66,6.86,4.82,100.57,59.04,9.67,12.38,11.0,20.08,6.94,6.18,0
222327640000000,25.92,20.97,18.69,16.64,6.66,6.86,4.82,100.57,59.04,9.67,12.38,11.0,20.08,6.94,6.18,0
222327640000000,25.92,20.97,18.69,16.64,6.66,6.86,4.82,100.57,59.04,9.67,12.38,11.0,20.08,6.94,6.18,0
222327656000000,25.92,20.97,18.69,16.64,6.66,6.86,4.82,100.57,59.04,9.67,12.38,11.0,20.08,6.94,6.18,0
222327671000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327671000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327687000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327703000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327703000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327718000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327734000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327734000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327750000000,25.92,20.86,18.44,16.06,6.4,6.64,4.06,99.88,59.58,9.16,12.2,10.94,20.05,6.62,6.33,0
222327765000000,26.07,21.28,17.32,17.02,6.58,6.58,4.47,100.34,59.4,9.46,12.58,10.89,20.0,6.67,6.21,0
222327765000000,26.07,21.28,17.32,17.02,6.58,6.58,4.47,100.34,59.4,9.46,12.58,10.89,20.0,6.67,6.21,0
222327781000000,26.07,21.28,17.32,17.02,6.58,6.58,4.47,100.34,59.4,9.46,12.58,10.89,20.0,6.67,6.21,0
222327781000000,26.07,21.28,17.32,17.02,6.58,6.58,4.47,100.34,59.4,9.46,12.58,10.89,20.0,6.67,6.21,0
222327796000000,26.07,21.28,17.32,17.02,6.58,6.58,4.47,100.34,59.4,9.46,12.58,10.89,20.0,6.67,6.21,0
222327812000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327812000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327828000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327843000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327843000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327859000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327859000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327875000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327890000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327890000000,25.27,21.1,17.16,17.26,6.45,5.83,4.2,105.4,52.52,8.25,11.05,11.25,19.85,6.22,5.85,0
222327906000000,24.39,20.8,17.65,16.35,6.09,5.19,4.94,100.49,52.95,8.99,10.94,11.08,20.87,6.73,6.04,0
222327921000000,24.39,20.8,17.65,16.35,6.09,5.19,4.94,100.49,52.95,8.99,10.94,11.08,20.87,6.73,6.04,0
222327921000000,24.39,20.8,17.65,16.35,6.09,5.19,4.94,100.49,52.95,8.99,10.94,11.08,20.87,6.73,6.04,0
222327937000000,24.39,20.8,17.65,16.35,6.09,5.19,4.94,100.49,52.95,8.99,10.94,11.08,20.87,6.73,6.04,0
222327953000000,24.24,20.6,18.86,15.3,5.77,5.5,5.56,100.96,52.35,10.04,9.32,10.18,21.35,6.92,5.25,0
222327953000000,24.24,20.6,18.86,15.3,5.77,5.5,5.56,100.96,52.35,10.04,9.32,10.18,21.35,6.92,5.25,0
222327968000000,24.24,20.6,18.86,15.3,5.77,5.5,5.56,100.96,52.35,10.04,9.32,10.18,21.35,6.92,5.25,0
222327984000000,24.24,20.6,18.86,15.3,5.77,5.5,5.56,100.96,52.35,10.04,9.32,10.18,21.35,6.92,5.25,0
222327984000000,24.24,20.6,18.86,15.3,5.77,5.5,5.56,100.96,52.35,10.04,9.32,10.18,21.35,6.92,5.25,0
222328000000000,24.36,21.03,16.71,15.88,5.88,6.18,5.61,119.5,37.48,9.82,7.35,9.53,21.44,6.73,5.01,0
222328000000000,24.36,21.03,16.71,15.88,5.88,6.18,5.61,119.5,37.48,9.82,7.35,9.53,21.44,6.73,5.01,0
222328015000000,24.36,21.03,16.71,15.88,5.88,6.18,5.61,119.5,37.48,9.82,7.35,9.53,21.44,6.73,5.01,0
222328031000000,24.36,21.03,16.71,15.88,5.88,6.18,5.61,119.5,37.48,9.82,7.35,9.53,21.44,6.73,5.01,0
222328031000000,24.36,21.03,16.71,15.88,5.88,6.18,5.61,119.5,37.48,9.82,7.35,9.53,21.44,6.73,5.01,0
222328046000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328062000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328062000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328078000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328093000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328093000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328109000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328109000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328125000000,24.35,19.95,19.07,16.75,5.38,5.72,4.2,126.61,32.31,9.41,6.56,8.43,20.84,6.47,4.58,0
222328140000000,22.94,20.14,16.64,17.01,6.59,5.3,5.32,121.32,35.87,9.34,7.24,7.99,19.8,6.75,4.75,0
222328140000000,22.94,20.14,16.64,17.01,6.59,5.3,5.32,121.32,35.87,9.34,7.24,7.99,19.8,6.75,4.75,0
222328156000000,22.94,20.14,16.64,17.01,6.59,5.3,5.32,121.32,35.87,9.34,7.24,7.99,19.8,6.75,4.75,0
222328171000000,22.94,20.14,16.64,17.01,6.59,5.3,5.32,121.32,35.87,9.34,7.24,7.99,19.8,6.75,4.75,0
222328171000000,22.94,20.14,16.64,17.01,6.59,5.3,5.32,121.32,35.87,9.34,7.24,7.99,19.8,6.75,4.75,0
222328187000000,22.43,20.33,16.11,16.06,5.95,5.12,5.73,118.98,35.37,9.04,6.83,8.05,19.93,6.77,4.38,0
222328203000000,22.43,20.33,16.11,16.06,5.95,5.12,5.73,118.98,35.37,9.04,6.83,8.05,19.93,6.77,4.38,0
222328203000000,22.43,20.33,16.11,16.06,5.95,5.12,5.73,118.98,35.37,9.04,6.83,8.05,19.93,6.77,4.38,0
222328218000000,22.43,20.33,16.11,16.06,5.95,5.12,5.73,118.98,35.37,9.04,6.83,8.05,19.93,6.77,4.38,0
222328234000000,21.44,20.57,18.81,16.31,5.74,5.01,5.78,114.18,38.26,9.22,6.87,8.02,20.61,7.22,4.39,0
222328234000000,21.44,20.57,18.81,16.31,5.74,5.01,5.78,114.18,38.26,9.22,6.87,8.02,20.61,7.22,4.39,0
222328250000000,21.44,20.57,18.81,16.31,5.74,5.01,5.78,114.18,38.26,9.22,6.87,8.02,20.61,7.22,4.39,0
222328250000000,21.44,20.57,18.81,16.31,5.74,5.01,5.78,114.18,38.26,9.22,6.87,8.02,20.61,7.22,4.39,0
222328265000000,21.44,20.57,18.81,16.31,5.74,5.01,5.78,114.18,38.26,9.22,6.87,8.02,20.61,7.22,4.39,0
222328281000000,22.8,19.65,17.58,17.02,6.0,5.12,4.93,120.42,37.34,9.46,7.65,7.68,19.53,7.06,4.52,0
222328281000000,22.8,19.65,17.58,17.02,6.0,5.12,4.93,120.42,37.34,9.46,7.65,7.68,19.53,7.06,4.52,0
222328296000000,22.8,19.65,17.58,17.02,6.0,5.12,4.93,120.42,37.34,9.46,7.65,7.68,19.53,7.06,4.52,0
