t_monotonic_ns,sample_idx,phase,participant_id,session_id,task,run,fsr0,fsr1,fsr2,fsr3,cue_event,led_fsr,quality_flag
222346484000000,0,PREP,P01,S01,middlePipIso,22,857,491,380,482,PREP_START,1,0
222346500000000,1,PREP,P01,S01,middlePipIso,22,852,484,374,462,,1,0
222346500000000,2,PREP,P01,S01,middlePipIso,22,835,471,373,435,,1,0
222346515000000,3,PREP,P01,S01,middlePipIso,22,811,462,371,418,,1,0
222346531000000,4,PREP,P01,S01,middlePipIso,22,775,452,368,419,,1,0
222346531000000,5,PREP,P01,S01,middlePipIso,22,721,420,363,430,,1,0
222346546000000,6,PREP,P01,S01,middlePipIso,22,692,405,368,417,,1,0
222346562000000,7,PREP,P01,S01,middlePipIso,22,657,396,350,408,,0,0
222346562000000,8,PREP,P01,S01,middlePipIso,22,627,398,350,410,,0,0
222346578000000,9,PREP,P01,S01,middlePipIso,22,595,390,350,410,,0,0
222346593000000,10,PREP,P01,S01,middlePipIso,22,581,394,351,407,,0,0
222346593000000,11,PREP,P01,S01,middlePipIso,22,571,394,350,405,,0,0
222346609000000,12,PREP,P01,S01,middlePipIso,22,561,382,349,406,,0,0
222346625000000,13,PREP,P01,S01,middlePipIso,22,542,386,347,408,,0,0
222346625000000,14,PREP,P01,S01,middlePipIso,22,498,389,332,408,,0,0
222346640000000,15,PREP,P01,S01,middlePipIso,22,474,383,322,412,,0,0
222346640000000,16,PREP,P01,S01,middlePipIso,22,442,389,293,410,,0,0
222346656000000,17,PREP,P01,S01,middlePipIso,22,414,409,267,406,,0,0
222346671000000,18,PREP,P01,S01,middlePipIso,22,390,409,262,404,,0,0
222346671000000,19,PREP,P01,S01,middlePipIso,22,362,415,251,407,,0,0
222346687000000,20,PREP,P01,S01,middlePipIso,22,358,416,251,408,,0,0
222346703000000,21,PREP,P01,S01,middlePipIso,22,353,425,251,406,,0,0
222346703000000,22,PREP,P01,S01,middlePipIso,22,342,426,252,406,,0,0
222346718000000,23,PREP,P01,S01,middlePipIso,22,336,426,251,408,,0,0
222346734000000,24,PREP,P01,S01,middlePipIso,22,322,414,250,409,,0,0
222346734000000,25,PREP,P01,S01,middlePipIso,22,312,413,241,409,,0,0
222346750000000,26,PREP,P01,S01,middlePipIso,22,291,414,237,408,,0,0
222346750000000,27,PREP,P01,S01,middlePipIso,22,272,394,234,402,,0,0
222346765000000,28,PREP,P01,S01,middlePipIso,22,251,415,234,386,,0,0
222346781000000,29,PREP,P01,S01,middlePipIso,22,228,412,230,379,,0,0
222346781000000,30,PREP,P01,S01,middlePipIso,22,195,409,226,375,,0,0
222346796000000,31,PREP,P01,S01,middlePipIso,22,190,408,225,383,,0,0
222346812000000,32,PREP,P01,S01,middlePipIso,22,188,413,220,378,,0,0
222346812000000,33,PREP,P01,S01,middlePipIso,22,187,412,213,375,,0,0
222346828000000,34,PREP,P01,S01,middlePipIso,22,183,420,210,380,,0,0
222346843000000,35,PREP,P01,S01,middlePipIso,22,176,425,211,379,,0,0
222346843000000,36,PREP,P01,S01,middlePipIso,22,169,422,204,378,,0,0
222346859000000,37,PREP,P01,S01,middlePipIso,22,167,419,192,377,,0,0
222346875000000,38,PREP,P01,S01,middlePipIso,22,167,420,193,376,,0,0
222346875000000,39,PREP,P01,S01,middlePipIso,22,161,425,193,375,,0,0
222346890000000,40,PREP,P01,S01,middlePipIso,22,158,427,193,375,,0,0
222346890000000,41,PREP,P01,S01,middlePipIso,22,153,431,190,375,,0,0
222346906000000,42,PREP,P01,S01,middlePipIso,22,143,435,187,379,,0,0
222346921000000,43,PREP,P01,S01,middlePipIso,22,138,439,187,389,,0,0
222346921000000,44,PREP,P01,S01,middlePipIso,22,138,439,187,390,,0,0
222346937000000,45,PREP,P01,S01,middlePipIso,22,137,434,188,393,,0,0
222346953000000,46,PREP,P01,S01,middlePipIso,22,139,435,186,381,,0,0
222346953000000,47,PREP,P01,S01,middlePipIso,22,144,437,185,378,,0,0
222346968000000,48,PREP,P01,S01,middlePipIso,22,146,436,183,375,,0,0
222346984000000,49,PREP,P01,S01,middlePipIso,22,145,434,182,376,,0,0
222346984000000,50,PREP,P01,S01,middlePipIso,22,142,440,179,373,,0,0
222347000000000,51,PREP,P01,S01,middlePipIso,22,140,439,177,377,,0,0
222347015000000,52,PREP,P01,S01,middlePipIso,22,137,438,166,373,,0,0
222347015000000,53,PREP,P01,S01,middlePipIso,22,135,437,165,371,,0,0
222347031000000,54,PREP,P01,S01,middlePipIso,22,133,438,166,371,,0,0
222347031000000,55,PREP,P01,S01,middlePipIso,22,135,435,167,367,,0,0
222347046000000,56,PREP,P01,S01,middlePipIso,22,134,436,168,364,,0,0
222347062000000,57,PREP,P01,S01,middlePipIso,22,138,436,145,367,,0,0
222347062000000,58,PREP,P01,S01,middlePipIso,22,138,446,146,367,,0,0
222347078000000,59,PREP,P01,S01,middlePipIso,22,142,449,148,367,,0,0
222347093000000,60,PREP,P01,S01,middlePipIso,22,144,453,149,369,,0,0
222347093000000,61,PREP,P01,S01,middlePipIso,22,152,454,150,374,,0,0
222347109000000,62,PREP,P01,S01,middlePipIso,22,156,454,149,373,,0,0
222347125000000,63,PREP,P01,S01,middlePipIso,22,160,456,168,373,,0,0
222347125000000,64,PREP,P01,S01,middlePipIso,22,162,461,167,369,,0,0
222347140000000,65,PREP,P01,S01,middlePipIso,22,162,460,167,362,,0,0
222347140000000,66,PREP,P01,S01,middlePipIso,22,167,460,166,354,,0,0
222347156000000,67,PREP,P01,S01,middlePipIso,22,165,457,166,358,,0,0
222347171000000,68,PREP,P01,S01,middlePipIso,22,176,457,166,359,,0,0
222347171000000,69,PREP,P01,S01,middlePipIso,22,177,454,166,362,,0,0
222347187000000,70,PREP,P01,S01,middlePipIso,22,177,451,166,360,,0,0
222347203000000,71,PREP,P01,S01,middlePipIso,22,180,446,164,359,,0,0
222347203000000,72,PREP,P01,S01,middlePipIso,22,181,438,164,353,,0,0
222347218000000,73,PREP,P01,S01,middlePipIso,22,181,416,164,352,,0,0
222347234000000,74,PREP,P01,S01,middlePipIso,22,171,418,131,353,,0,0
222347234000000,75,PREP,P01,S01,middlePipIso,22,172,414,131,347,,0,0
222347250000000,76,PREP,P01,S01,middlePipIso,22,172,416,131,347,,0,0
222347250000000,77,PREP,P01,S01,middlePipIso,22,172,417,131,349,,0,0
222347265000000,78,PREP,P01,S01,middlePipIso,22,174,419,131,350,,0,0
222347281000000,79,PREP,P01,S01,middlePipIso,22,175,417,131,353,,0,0
222347281000000,80,PREP,P01,S01,middlePipIso,22,176,416,132,355,,0,0
222347296000000,81,PREP,P01,S01,middlePipIso,22,179,417,134,356,,0,0
222347312000000,82,PREP,P01,S01,middlePipIso,22,189,436,133,355,,0,0
222347312000000,83,PREP,P01,S01,middlePipIso,22,191,444,130,354,,0,0
222347328000000,84,PREP,P01,S01,middlePipIso,22,190,440,127,351,,0,0
222347343000000,85,PREP,P01,S01,middlePipIso,22,191,441,127,346,,0,0
222347343000000,86,PREP,P01,S01,middlePipIso,22,191,441,128,345,,0,0
222347359000000,87,PREP,P01,S01,middlePipIso,22,191,441,128,345,,0,0
222347359000000,88,PREP,P01,S01,middlePipIso,22,194,441,128,347,,0,0
222347375000000,89,PREP,P01,S01,middlePipIso,22,196,440,128,348,,0,0
222347390000000,90,PREP,P01,S01,middlePipIso,22,196,438,133,352,,0,0
222347390000000,91,PREP,P01,S01,middlePipIso,22,197,440,132,353,,0,0
222347406000000,92,PREP,P01,S01,middlePipIso,22,196,441,129,356,,0,0
222347421000000,93,PREP,P01,S01,middlePipIso,22,186,445,126,356,,0,0
222347421000000,94,PREP,P01,S01,middlePipIso,22,185,443,123,357,,0,0
222347437000000,95,PREP,P01,S01,middlePipIso,22,183,429,123,353,,0,0
222347453000000,96,PREP,P01,S01,middlePipIso,22,183,415,124,353,,0,0
222347453000000,97,PREP,P01,S01,middlePipIso,22,182,409,122,344,,1,0
222347468000000,98,PREP,P01,S01,middlePipIso,22,179,405,122,342,,1,0
